Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Features","Termination Style","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR2M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23047-A1110-A501.JPG,PB660-ND,V23047-A1024-A511,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY DPST 6A 24V,1241,0,"10.92000","0","1","Tube","SR2M, SCHRACK","Active","Through Hole","24VDC","DPST-NO/NC (1 Form A, 1 Form B)","6A","400VAC - Max","Sealed - Fully","PC Pin","18 VDC","2.4 VDC","-","-","-25°C ~ 70°C","Silver Nickel (AgNi)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR2M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23047-A1110-A501.JPG,PB675-ND,V23047-A1012-A501,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY DPDT 6A 12V,1941,0,"11.93000","0","1","Tube","SR2M, SCHRACK","Active","Through Hole","12VDC","DPDT (2 Form C)","6A","400VAC - Max","Sealed - Fully","PC Pin","9 VDC","1.2 VDC","-","-","-25°C ~ 70°C","Silver Nickel (AgNi)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR2M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23047-A1110-A501.JPG,PB1286-ND,V23047A1005A501,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY DPDT 6A 5V,396,0,"11.93000","0","1","Tube","SR2M, SCHRACK","Active","Through Hole","5VDC","DPDT (2 Form C)","6A","400VAC - Max","Sealed - Fully","PC Pin","3.8 VDC","0.5 VDC","-","-","-25°C ~ 70°C","Silver Nickel (AgNi)"
https://industrial.panasonic.com/ac/cdn/e/control/relay/safety/catalog/mech_eng_sf.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SFS2-DC24V.jpg,255-3094-ND,SFS2-DC12V,Panasonic Electric Works,RELAY SAFETY 4PST 6A 12V,280,0,"20.99000","0","1","Bulk","SFS","Active","Through Hole","12VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","6A","250VAC, 30VDC - Max","-","PC Pin","9 VDC","1.2 VDC","20ms","20ms","-40°C ~ 85°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/6-1415027-1.JPG,PB1636-ND,SR6D4024,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 24V,511,0,"21.64000","0","1","Tube","SR6 D/M, SCHRACK","Active","Through Hole","24VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","8A","400VAC - Max","-","PC Pin","18 VDC","2.4 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23050-A1110-A533.JPG,PB664-ND,V23050-A1024-A542,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 6PST 8A 24V,861,0,"23.82000","0","1","Tube","SR6, SCHRACK","Active","Through Hole","24VDC","6PST-4NO/2NC (4 Form A, 2 Form B)","8A","400VAC - Max","-","PC Pin","18 VDC","2.4 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/3-1415353-1.JPG,PB1635-ND,SR6M4024,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 24V,321,0,"22.00000","0","1","Tube","SR6 D/M, SCHRACK","Active","Through Hole","24VDC","4PST-3NO/1NC (3 Form A, 1 Form B)","8A","400VAC - Max","-","PC Pin","18 VDC","2.4 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR4_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SR4%20SERIES.JPG,PB1000-ND,SR4M4012,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 12V,8467,0,"20.86000","0","1","Tube","SR4, SCHRACK","Active","Through Hole","12VDC","4PST-3NO/1NC (3 Form A, 1 Form B)","8A","400VAC - Max","-","PC Pin","9 VDC","1.2 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23050-A1110-A533.JPG,PB1309-ND,V23050A1012A542,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 6PST 8A 12V,478,0,"23.82000","0","1","Tube","SR6, SCHRACK","Active","Through Hole","12VDC","6PST-4NO/2NC (4 Form A, 2 Form B)","8A","400VAC - Max","-","PC Pin","9 VDC","1.2 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23050-A1110-A533.JPG,PB663-ND,V23050-A1024-A533,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 6PST 8A 24V,858,0,"24.50000","0","1","Tube","SR6, SCHRACK","Active","Through Hole","24VDC","6PST-3NO/3NC (3 Form A, 3 Form B)","8A","400VAC - Max","-","PC Pin","18 VDC","2.4 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
