Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Coil Insulation","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material","Relay Type"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1393789-3&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23079-SERIES.jpg,PB1078TR-ND,V23079G2003B301,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE DPDT 2A 12VDC,5500,0,"0.97500","0","500","Tape & Reel (TR)","V23079, AXICOM","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","11.7mA","Non Latching","-","Gull Wing","-","-","9 VDC","1.2 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1393789-3&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23079-SERIES.jpg,PB1078CT-ND,V23079G2003B301,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE DPDT 2A 12VDC,5678,0,"1.72000","0","1","Cut Tape (CT)","V23079, AXICOM","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","11.7mA","Non Latching","-","Gull Wing","-","-","9 VDC","1.2 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1393789-3&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23079-SERIES.jpg,PB1078DKR-ND,V23079G2003B301,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE DPDT 2A 12VDC,5678,0,"Digi-Reel","0","1","Digi-Reel®","V23079, AXICOM","Active","Surface Mount","12VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","11.7mA","Non Latching","-","Gull Wing","-","-","9 VDC","1.2 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-5NUH-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11016-2-ND,EE2-5NUH-L,KEMET,RELAY GEN PURPOSE DPDT 2A 5VDC,8500,0,"1.08000","0","500","Tape & Reel (TR)","EE2","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","28.0mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-5NUH-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11016-1-ND,EE2-5NUH-L,KEMET,RELAY GEN PURPOSE DPDT 2A 5VDC,8854,0,"1.90000","0","1","Cut Tape (CT)","EE2","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","28.0mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-5NUH-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11016-6-ND,EE2-5NUH-L,KEMET,RELAY GEN PURPOSE DPDT 2A 5VDC,8854,0,"Digi-Reel","0","1","Digi-Reel®","EE2","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","28.0mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-5NU-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11017-2-ND,EE2-5NU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 5VDC,2000,0,"1.08000","0","500","Tape & Reel (TR)","EE2","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","28.0mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-5NU-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11017-1-ND,EE2-5NU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 5VDC,2409,0,"1.90000","0","1","Cut Tape (CT)","EE2","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","28.0mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-5NU-L.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-11017-6-ND,EE2-5NU-L,KEMET,RELAY GEN PURPOSE DPDT 2A 5VDC,2409,0,"Digi-Reel","0","1","Digi-Reel®","EE2","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","28.0mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_gn.pdf,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/AGN210A,%20AGN200,%20AGN210S%20SERIES%20.jpg",255-3357-2-ND,AGN210A4HZ,Panasonic Electric Works,RELAY TELECOM DPDT 1A 4.5VDC,9000,2000,"1.12500","0","500","Tape & Reel (TR)","AGN","Active","Surface Mount","4.5VDC","DPDT (2 Form C)","1A","125VAC, 110VDC - Max","22.2mA","Latching, Single Coil","-","Gull Wing","-","-","3.38 VDC","-","4ms","4ms","-40°C ~ 85°C","Silver Palladium (AgPd), Gold (Au)","Telecom"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_gq.pdf,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/AGQ210A,%20AGQ200A%20SERIES.jpg",255-1860-2-ND,AGQ200A4HZ,Panasonic Electric Works,RELAY TELECOM DPDT 2A 4.5VDC,3600,0,"1.12500","0","900","Tape & Reel (TR)","AGQ","Active","Surface Mount","4.5VDC","DPDT (2 Form C)","2A","125VAC, 110VDC - Max","31.0mA","Non Latching","-","Gull Wing","-","-","3.38 VDC","0.45 VDC","4ms","4ms","-40°C ~ 85°C","Silver Palladium (AgPd), Gold (Au)","Telecom"
