Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Output Type","Voltage - Input","Voltage - Load","Load Current","On-State Resistance (Max)","Termination Style","Package / Case","Supplier Device Package"
https://toshiba.semicon-storage.com/info/docget.jsp?did=13665&prodName=TLP175A,//media.digikey.com/Renders/Toshiba%20Renders/264;11-4M1S;;4.jpg,TLP175A(TPLETR-ND,"TLP175A(TPL,E",Toshiba Semiconductor and Storage,SSR RELAY SPST-NO 100MA 0-60V,6000,0,"0.40964","0","3000","Tape & Reel (TR)","TLP175A","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.27VDC","0V ~ 60V","100mA","50 Ohms","Gull Wing","6-SOP (0.179"", 4.55mm), 4 Leads","6-SOP"
https://toshiba.semicon-storage.com/info/docget.jsp?did=13665&prodName=TLP175A,//media.digikey.com/Renders/Toshiba%20Renders/264;11-4M1S;;4.jpg,TLP175A(TPLECT-ND,"TLP175A(TPL,E",Toshiba Semiconductor and Storage,SSR RELAY SPST-NO 100MA 0-60V,8027,0,"1.36000","0","1","Cut Tape (CT)","TLP175A","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.27VDC","0V ~ 60V","100mA","50 Ohms","Gull Wing","6-SOP (0.179"", 4.55mm), 4 Leads","6-SOP"
https://toshiba.semicon-storage.com/info/docget.jsp?did=13665&prodName=TLP175A,//media.digikey.com/Renders/Toshiba%20Renders/264;11-4M1S;;4.jpg,TLP175A(TPLEDKR-ND,"TLP175A(TPL,E",Toshiba Semiconductor and Storage,SSR RELAY SPST-NO 100MA 0-60V,8027,0,"Digi-Reel","0","1","Digi-Reel®","TLP175A","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.27VDC","0V ~ 60V","100mA","50 Ohms","Gull Wing","6-SOP (0.179"", 4.55mm), 4 Leads","6-SOP"
http://www.ixysic.com/home/pdfs.nsf/www/CPC1017N.pdf/$file/CPC1017N.pdf,//media.digikey.com/Renders/TE%20Connectivity/4-SOP.jpg,CLA233TR-ND,CPC1017NTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 100MA 0-60V,62000,0,"0.42000","0","2000","Tape & Reel (TR)","CPC, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.2VDC","0V ~ 60V","100mA","16 Ohms","Gull Wing","4-SOP (0.150"", 3.81mm)","4-SOP"
http://www.ixysic.com/home/pdfs.nsf/www/CPC1017N.pdf/$file/CPC1017N.pdf,//media.digikey.com/Renders/TE%20Connectivity/4-SOP.jpg,CLA233CT-ND,CPC1017NTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 100MA 0-60V,62454,0,"1.16000","0","1","Cut Tape (CT)","CPC, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.2VDC","0V ~ 60V","100mA","16 Ohms","Gull Wing","4-SOP (0.150"", 3.81mm)","4-SOP"
http://www.ixysic.com/home/pdfs.nsf/www/CPC1017N.pdf/$file/CPC1017N.pdf,//media.digikey.com/Renders/TE%20Connectivity/4-SOP.jpg,CLA233DKR-ND,CPC1017NTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 100MA 0-60V,62454,0,"Digi-Reel","0","1","Digi-Reel®","CPC, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.2VDC","0V ~ 60V","100mA","16 Ohms","Gull Wing","4-SOP (0.150"", 3.81mm)","4-SOP"
http://www.ixysic.com/home/pdfs.nsf/0/E16FD7FE1462A2DD852570F800586DFD/$file/CPC1972.pdf,//media.digikey.com/photos/Clare%20Photos/212-6-SMD.jpg,CLA273TR-ND,CPC1972GSTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 250MA 0-800V,17000,0,"0.61500","0","1000","Tape & Reel (TR)","CPC","Active","Surface Mount","SPST-NO (1 Form A)","AC, Zero Cross","1.2VDC","0V ~ 800V","250mA","-","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
http://www.ixysic.com/home/pdfs.nsf/0/E16FD7FE1462A2DD852570F800586DFD/$file/CPC1972.pdf,//media.digikey.com/photos/Clare%20Photos/212-6-SMD.jpg,CLA273CT-ND,CPC1972GSTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 250MA 0-800V,17498,0,"1.58000","0","1","Cut Tape (CT)","CPC","Active","Surface Mount","SPST-NO (1 Form A)","AC, Zero Cross","1.2VDC","0V ~ 800V","250mA","-","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
http://www.ixysic.com/home/pdfs.nsf/0/E16FD7FE1462A2DD852570F800586DFD/$file/CPC1972.pdf,//media.digikey.com/photos/Clare%20Photos/212-6-SMD.jpg,CLA273DKR-ND,CPC1972GSTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 250MA 0-800V,17498,0,"Digi-Reel","0","1","Digi-Reel®","CPC","Active","Surface Mount","SPST-NO (1 Form A)","AC, Zero Cross","1.2VDC","0V ~ 800V","250mA","-","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
http://www.vishay.com/docs/84724/vo1400aeftr.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/751;i79089;;4.jpg,VO1400AEFTR-ND,VO1400AEFTR,Vishay Semiconductor Opto Division,SSR RELAY SPST-NO 100MA 0-60V,48000,0,"0.63000","0","2000","Tape & Reel (TR)","-","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.1VDC","0V ~ 60V","100mA","5 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
http://www.vishay.com/docs/84724/vo1400aeftr.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/751;i79089;;4.jpg,VO1400AEFCT-ND,VO1400AEFTR,Vishay Semiconductor Opto Division,SSR RELAY SPST-NO 100MA 0-60V,49957,0,"1.19000","0","1","Cut Tape (CT)","-","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.1VDC","0V ~ 60V","100mA","5 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
http://www.vishay.com/docs/84724/vo1400aeftr.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/751;i79089;;4.jpg,VO1400AEFDKR-ND,VO1400AEFTR,Vishay Semiconductor Opto Division,SSR RELAY SPST-NO 100MA 0-60V,49957,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.1VDC","0V ~ 60V","100mA","5 Ohms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
http://www.ixysic.com/home/pdfs.nsf/www/CPC1002N.pdf/$file/CPC1002N.pdf,//media.digikey.com/Renders/TE%20Connectivity/4-SOP.jpg,CLA230TR-ND,CPC1002NTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 700MA 0-60V,20000,0,"0.63000","0","2000","Tape & Reel (TR)","CPC, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A)","DC","1.2VDC","0V ~ 60V","700mA","550 mOhms","Gull Wing","4-SOP (0.150"", 3.81mm)","4-SOP"
http://www.ixysic.com/home/pdfs.nsf/www/CPC1002N.pdf/$file/CPC1002N.pdf,//media.digikey.com/Renders/TE%20Connectivity/4-SOP.jpg,CLA230CT-ND,CPC1002NTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 700MA 0-60V,22610,0,"1.73000","0","1","Cut Tape (CT)","CPC, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A)","DC","1.2VDC","0V ~ 60V","700mA","550 mOhms","Gull Wing","4-SOP (0.150"", 3.81mm)","4-SOP"
http://www.ixysic.com/home/pdfs.nsf/www/CPC1002N.pdf/$file/CPC1002N.pdf,//media.digikey.com/Renders/TE%20Connectivity/4-SOP.jpg,CLA230DKR-ND,CPC1002NTR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 700MA 0-60V,22610,0,"Digi-Reel","0","1","Digi-Reel®","CPC, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A)","DC","1.2VDC","0V ~ 60V","700mA","550 mOhms","Gull Wing","4-SOP (0.150"", 3.81mm)","4-SOP"
