Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
-,//media.digikey.com/Photos/Vishay%20Photos/K1016.jpg,HEIKIT1030300E293-ND,HEIKIT1030300E293,Vishay Huntington Electric Inc.,MOUNTING KIT FOR FVE AND AVE 300,949,0,"9.10000","0","1","FVE, AVE 300","Active","Mounting Kit","Huntington Electric FVE and AVE300 Resistors"
https://www.ohmite.com/assets/docs/hardware_resistor.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/6127p-8%201-2e.JPG,6127-P-81-2E-ND,6127P-8 1-2E,Ohmite,MOUNTING BRACKET 2 RESISTOR,125,0,"25.54000","0","1","200, 210, 270","Active","Mounting Brackets","Ohmite 200, 210, 270 Series Resistors"
-,//media.digikey.com/photos/Huntington%20Electric%20Photos/B1002.JPG,HEIKIT206100E29-ND,HEIKIT206100E29,Vishay Huntington Electric Inc.,MOUNTING BRACKET FOR 100W RES,2990,0,"0.54500","0","2","AVT, FVT","Active","Mounting Brackets","Huntington Electric 100W Resistors"
-,//media.digikey.com/photos/Huntington%20Electric%20Photos/B1003.JPG,HEIKIT204025E29-ND,HEIKIT204025E29,Vishay Huntington Electric Inc.,MOUNTING BRACKET FOR 25/50W RES,5874,0,"0.67000","0","1","AVT, FVT","Active","Mounting Brackets","Huntington Electric 25/50W Resistors"
https://www.ohmite.com/assets/docs/hardware_resistor.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/12-100e.JPG,12E-100-ND,12E-100,Ohmite,BRACKET MOUNTING FOR 100W RES,3107,0,"1.74500","0","2","200, 210, 270","Active","Mounting Brackets","Ohmite 200, 210, 270 Series Resistors"
https://www.ohmite.com/assets/docs/hardware_resistor.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/18E-100.JPG,18E-100-ND,18E-100,Ohmite,BRACKET MOUNTING FOR 225W RES,2788,0,"1.83000","0","2","200, 210, 270","Active","Mounting Brackets","Ohmite 200, 210, 270 Series Resistors"
https://www.ohmite.com/assets/docs/hardware_resistor.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/7pa200e.JPG,7PA200E-ND,7PA200E,Ohmite,MOUNTING HDWR THRU BOLT 225WATT,712,0,"19.30000","0","1","200, 210, 270","Active","Mounting Hardware","Ohmite 200, 210, 270 Series Resistors"
https://www.ohmite.com/assets/docs/hardware_resistor.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/6110-10%201-2E.JPG,6110-101-2E-ND,6110-10 1-2E,Ohmite,MOUNTING HDWR BRACKET SLOTTED,153,0,"20.35000","0","1","200, 210, 270","Active","Mounting Brackets","Ohmite 200, 210, 270 Series Resistors"
-,//media.digikey.com/Photos/Vishay%20Photos/HEI75023005E66.JPG,HEI75023005E29-ND,HEI75023005E29,Vishay Huntington Electric Inc.,BRACKET FOR 25W RESISTOR,2058,0,"0.54500","0","2","AVT, FVT","Active","Mounting Brackets","-"
https://www.ohmite.com/assets/docs/hardware_resistor.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/6001E.JPG,6001E-ND,6001E,Ohmite,WASHER CENTERING 100W RESISTOR,1198,0,"0.89000","0","2","200, 210, 270","Active","Washer","Ohmite 200, 210, 270 Series Resistors"
