Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Tolerance","Power (Watts)","Composition","Temperature Coefficient","Operating Temperature","Features","Coating, Housing Type","Mounting Feature","Size / Dimension","Height - Seated (Max)","Lead Style","Package / Case","Failure Rate"
https://www.seielect.com/catalog/sei-kal.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KAL%20SERIES%2027x27.4mm.JPG,KAL25FB1R00-ND,KAL25FB1R00,Stackpole Electronics Inc,RES CHAS MNT 1 OHM 1% 25W,2111,0,"3.08000","0","1","Bulk","KAL","Active","1 Ohms","±1%","25W","Wirewound","±50ppm/°C","-55°C ~ 275°C","Moisture Resistant","Aluminum","Flanges","1.062"" L x 1.080"" W (26.97mm x 27.43mm)","0.577"" (14.66mm)","Solder Lugs","Axial, Box","-"
https://www.seielect.com/catalog/sei-kal.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KAL%20SERIES%2027x27.4mm.JPG,KAL25FB10R0-ND,KAL25FB10R0,Stackpole Electronics Inc,RES CHAS MNT 10 OHM 1% 25W,1203,0,"3.08000","0","1","Bulk","KAL","Active","10 Ohms","±1%","25W","Wirewound","±30ppm/°C","-55°C ~ 275°C","Moisture Resistant","Aluminum","Flanges","1.062"" L x 1.080"" W (26.97mm x 27.43mm)","0.577"" (14.66mm)","Solder Lugs","Axial, Box","-"
https://www.seielect.com/catalog/sei-kal.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KAL%20SERIES%2050x29mm.JPG,KAL50FB6R00-ND,KAL50FB6R00,Stackpole Electronics Inc,RES CHAS MNT 6 OHM 1% 50W,2302,0,"3.64000","0","1","Bulk","KAL","Active","6 Ohms","±1%","50W","Wirewound","±50ppm/°C","-55°C ~ 275°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.641"" (16.28mm)","Solder Lugs","Axial, Box","-"
https://www.seielect.com/catalog/sei-kal.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KAL%20SERIES%2050x29mm.JPG,KAL50FB50R0-ND,KAL50FB50R0,Stackpole Electronics Inc,RES CHAS MNT 50 OHM 1% 50W,2210,0,"3.64000","0","1","Bulk","KAL","Active","50 Ohms","±1%","50W","Wirewound","±20ppm/°C","-55°C ~ 275°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.641"" (16.28mm)","Solder Lugs","Axial, Box","-"
https://www.seielect.com/catalog/sei-kal.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KAL%20SERIES%2050x29mm.JPG,KAL50FB10R0-ND,KAL50FB10R0,Stackpole Electronics Inc,RES CHAS MNT 10 OHM 1% 50W,1419,0,"3.64000","0","1","Bulk","KAL","Active","10 Ohms","±1%","50W","Wirewound","±30ppm/°C","-55°C ~ 275°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.641"" (16.28mm)","Solder Lugs","Axial, Box","-"
https://www.seielect.com/catalog/sei-kal.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KAL%20SERIES%2050x29mm.JPG,KAL50FB30R0-ND,KAL50FB30R0,Stackpole Electronics Inc,RES CHAS MNT 30 OHM 1% 50W,1242,0,"3.64000","0","1","Bulk","KAL","Active","30 Ohms","±1%","50W","Wirewound","±30ppm/°C","-55°C ~ 275°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.641"" (16.28mm)","Solder Lugs","Axial, Box","-"
https://www.seielect.com/catalog/sei-kal.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KAL%20SERIES%2050x29mm.JPG,KAL50FB5R00-ND,KAL50FB5R00,Stackpole Electronics Inc,RES CHAS MNT 5 OHM 1% 50W,1161,0,"3.64000","0","1","Bulk","KAL","Active","5 Ohms","±1%","50W","Wirewound","±50ppm/°C","-55°C ~ 275°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.641"" (16.28mm)","Solder Lugs","Axial, Box","-"
https://www.seielect.com/catalog/sei-kal.pdf,//media.digikey.com/Photos/Stackpole%20Photos/KAL%20SERIES%2050x29mm.JPG,KAL50FB3R00-ND,KAL50FB3R00,Stackpole Electronics Inc,RES CHAS MNT 3 OHM 1% 50W,1101,0,"3.64000","0","1","Bulk","KAL","Active","3 Ohms","±1%","50W","Wirewound","±50ppm/°C","-55°C ~ 275°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.641"" (16.28mm)","Solder Lugs","Axial, Box","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1625984&DocType=Customer+Drawing&DocLang=English,"//media.digikey.com/Photos/TE%20Connectivity/HS,-CGS-51.jpg",A102163-ND,HSA502K2J,TE Connectivity Passive Product,RES CHAS MNT 2.2K OHM 5% 50W,1575,0,"3.97000","0","1","Bulk","HS, CGS","Active","2.2 kOhms","±5%","50W","Wirewound","±30ppm/°C","-55°C ~ 200°C","-","Aluminum","Flanges","2.008"" L x 1.181"" W (51.00mm x 30.00mm)","0.669"" (17.00mm)","Solder Lugs","Axial, Box","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1625984&DocType=Customer+Drawing&DocLang=English,"//media.digikey.com/Photos/TE%20Connectivity/HS,-CGS-51.jpg",A102175-ND,HSA505R6J,TE Connectivity Passive Product,RES CHAS MNT 5.6 OHM 5% 50W,761,0,"3.97000","0","1","Bulk","HS, CGS","Active","5.6 Ohms","±5%","50W","Wirewound","±50ppm/°C","-55°C ~ 200°C","-","Aluminum","Flanges","2.008"" L x 1.181"" W (51.00mm x 30.00mm)","0.669"" (17.00mm)","Solder Lugs","Axial, Box","-"
