Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
https://www.seielect.com/catalog/sei-cf_cfm.pdf,//media.digikey.com/Renders/Stackpole%20Renders/CF%2010k.jpg,CF14JT10K0TR-ND,CF14JT10K0,Stackpole Electronics Inc,RES 10K OHM 1/4W 5% AXIAL,1515000,0,"0.00475","0","5000","Tape & Reel (TR)","CF","Active","10 kOhms","±5%","0.25W, 1/4W","Carbon Film","Flame Retardant Coating, Safety","0/ -500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.091"" Dia x 0.236"" L (2.30mm x 6.00mm)","-","2","-"
https://www.seielect.com/catalog/sei-cf_cfm.pdf,//media.digikey.com/Renders/Stackpole%20Renders/CF%2010k.jpg,CF14JT10K0CT-ND,CF14JT10K0,Stackpole Electronics Inc,RES 10K OHM 1/4W 5% AXIAL,1524462,0,"0.10000","0","1","Cut Tape (CT)","CF","Active","10 kOhms","±5%","0.25W, 1/4W","Carbon Film","Flame Retardant Coating, Safety","0/ -500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.091"" Dia x 0.236"" L (2.30mm x 6.00mm)","-","2","-"
https://www.seielect.com/catalog/sei-cf_cfm.pdf,//media.digikey.com/Renders/Stackpole%20Renders/CF%201k.jpg,CF14JT1K00TR-ND,CF14JT1K00,Stackpole Electronics Inc,RES 1K OHM 1/4W 5% AXIAL,935000,0,"0.00475","0","5000","Tape & Reel (TR)","CF","Active","1 kOhms","±5%","0.25W, 1/4W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.091"" Dia x 0.236"" L (2.30mm x 6.00mm)","-","2","-"
https://www.seielect.com/catalog/sei-cf_cfm.pdf,//media.digikey.com/Renders/Stackpole%20Renders/CF%201k.jpg,CF14JT1K00CT-ND,CF14JT1K00,Stackpole Electronics Inc,RES 1K OHM 1/4W 5% AXIAL,945726,0,"0.10000","0","1","Cut Tape (CT)","CF","Active","1 kOhms","±5%","0.25W, 1/4W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.091"" Dia x 0.236"" L (2.30mm x 6.00mm)","-","2","-"
https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,//media.digikey.com/Renders/Stackpole%20Renders/RNF-1KOhm1%25.jpg,RNF14FTD1K00TR-ND,RNF14FTD1K00,Stackpole Electronics Inc,RES 1K OHM 1/4W 1% AXIAL,425000,0,"0.00850","0","5000","Tape & Reel (TR)","RNF","Active","1 kOhms","±1%","0.25W, 1/4W","Metal Film","Flame Retardant Coating, Safety","±100ppm/°C","-55°C ~ 155°C","Axial","Axial","0.093"" Dia x 0.250"" L (2.35mm x 6.35mm)","-","2","-"
https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,//media.digikey.com/Renders/Stackpole%20Renders/RNF-1KOhm1%25.jpg,RNF14FTD1K00CT-ND,RNF14FTD1K00,Stackpole Electronics Inc,RES 1K OHM 1/4W 1% AXIAL,425259,0,"0.10000","0","1","Cut Tape (CT)","RNF","Active","1 kOhms","±1%","0.25W, 1/4W","Metal Film","Flame Retardant Coating, Safety","±100ppm/°C","-55°C ~ 155°C","Axial","Axial","0.093"" Dia x 0.250"" L (2.35mm x 6.35mm)","-","2","-"
https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,//media.digikey.com/Renders/Stackpole%20Renders/RNF-10KOhm1%25.jpg,RNF14FTD10K0TR-ND,RNF14FTD10K0,Stackpole Electronics Inc,RES 10K OHM 1/4W 1% AXIAL,320000,0,"0.00850","0","5000","Tape & Reel (TR)","RNF","Active","10 kOhms","±1%","0.25W, 1/4W","Metal Film","Flame Retardant Coating, Safety","±100ppm/°C","-55°C ~ 155°C","Axial","Axial","0.093"" Dia x 0.250"" L (2.35mm x 6.35mm)","-","2","-"
https://www.seielect.com/catalog/sei-rnf_rnmf.pdf,//media.digikey.com/Renders/Stackpole%20Renders/RNF-10KOhm1%25.jpg,RNF14FTD10K0CT-ND,RNF14FTD10K0,Stackpole Electronics Inc,RES 10K OHM 1/4W 1% AXIAL,332508,0,"0.10000","0","1","Cut Tape (CT)","RNF","Active","10 kOhms","±1%","0.25W, 1/4W","Metal Film","Flame Retardant Coating, Safety","±100ppm/°C","-55°C ~ 155°C","Axial","Axial","0.093"" Dia x 0.250"" L (2.35mm x 6.35mm)","-","2","-"
http://www.yageo.com/documents/recent/Yageo%20LR_MFR_2013.pdf,//media.digikey.com/Renders/Yageo%20Renders/MFR-25FRF52-10K.jpg,10.0KXTR-ND,MFR-25FRF52-10K,Yageo,RES 10K OHM 1/4W 1% AXIAL,1000000,0,"0.01047","0","5000","Tape & Reel (TR)","MFR","Active","10 kOhms","±1%","0.25W, 1/4W","Metal Film","-","±100ppm/°C","-55°C ~ 155°C","Axial","Axial","0.094"" Dia x 0.248"" L (2.40mm x 6.30mm)","-","2","-"
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_ZOR_2013.pdf,//media.digikey.com/Renders/Yageo%20Renders/ZOR.jpg,0.0ETR-ND,ZOR-12-R-52-0R,Yageo,RES 0 OHM 1/6W JUMP AXIAL,320000,0,"0.01668","0","5000","Tape & Reel (TR)","ZOR","Active","0 Ohms","Jumper","0.167W, 1/6W","Carbon Film","-","-","-55°C ~ 155°C","Axial","Axial","0.071"" Dia x 0.130"" L (1.80mm x 3.30mm)","-","2","-"
http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/throughhole/Yageo_LR_ZOR_2013.pdf,//media.digikey.com/Renders/Yageo%20Renders/ZOR.jpg,0.0QTR-ND,ZOR-25-R-52-0R,Yageo,RES 0 OHM 1/4W JUMP AXIAL,495000,0,"0.02037","0","5000","Tape & Reel (TR)","ZOR","Active","0 Ohms","Jumper","0.25W, 1/4W","Carbon Film","-","-","-55°C ~ 155°C","Axial","Axial","0.091"" Dia x 0.248"" L (2.30mm x 6.30mm)","-","2","-"
http://www.vishay.com/docs/28729/pr010203.pdf,//media.digikey.com/Renders/Vishay%20BC%20Renders/PR03-1K-OHM.jpg,PPC1.0KW-1TR-ND,PR01000101001JR500,Vishay BC Components,RES 1K OHM 1W 5% AXIAL,170000,0,"0.02550","0","5000","Tape & Reel (TR)","PR01","Active","1 kOhms","±5%","1W","Metal Film","Automotive AEC-Q200, Flame Retardant Coating, Safety","±250ppm/°C","-55°C ~ 155°C","Axial","Axial","0.098"" Dia x 0.256"" L (2.50mm x 6.50mm)","-","2","-"
http://www.vishay.com/docs/28729/pr010203.pdf,//media.digikey.com/Renders/Vishay%20BC%20Renders/PR03-1K-OHM.jpg,PPC1.0KW-1CT-ND,PR01000101001JR500,Vishay BC Components,RES 1K OHM 1W 5% AXIAL,174666,0,"0.24000","0","1","Cut Tape (CT)","PR01","Active","1 kOhms","±5%","1W","Metal Film","Automotive AEC-Q200, Flame Retardant Coating, Safety","±250ppm/°C","-55°C ~ 155°C","Axial","Axial","0.098"" Dia x 0.256"" L (2.50mm x 6.50mm)","-","2","-"
https://www.seielect.com/catalog/sei-rnv.pdf,"//media.digikey.com/Renders/Stackpole%20Renders/1,5m-RNV-1%25.jpg",RNV14FAL1M50TB-ND,RNV14FAL1M50,Stackpole Electronics Inc,RES MF HV .25W 1.5M OHM 1% AXIAL,44000,0,"0.02970","0","2000","Tape & Box (TB)","RNV","Active","1.5 MOhms","±1%","0.25W, 1/4W","Metal Film","Flame Retardant Coating, High Voltage, Moisture Resistant, Pulse Withstanding, Safety","±200ppm/°C","-55°C ~ 155°C","Axial","Axial","0.094"" Dia x 0.236"" L (2.40mm x 6.00mm)","-","2","-"
