Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Amplifier Type","Voltage - Supply","Output Type","Current - Supply","Operating Temperature","Mounting Type"
-,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_SEN-13879.jpg,1568-1436-ND,SEN-13879,SparkFun Electronics,LOAD CELL AMP HX711,484,0,"9.95000","0","1","-","Active","External Input","2.6V ~ 5.5V","Digital","1.5mA","-45°C ~ 85°C","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fx-500_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-501.jpg,1110-1656-ND,FX-501,Panasonic Industrial Automation Sales,DIGITAL FIBER AMP NPN 1 OUTPUT,40,9,"160.00000","0","1","FX-500","Active","Fiber Amp","12V ~ 24V","Analog","40mA","-10°C ~ 55°C (TA)","DIN Rail"
http://www.vishaypg.com/docs/11042/mr-series.pdf,//media.digikey.com/Photos/Micro-Measurements/MMF011361.jpg,1033-1039-ND,MMF011361,Micro-Measurements (Division of Vishay Precision Group),MR1-350-127 BRIDGE COMP MODULE(1,47,0,"169.02000","0","1","MR","Active","General Purpose","0.5V ~ 25V","-","-","-45°C ~ 120°C","-"
-,//media.digikey.com/photos/Honeywell%20Photos/060-6827-04.JPG,480-6097-ND,060-6827-04,Honeywell Sensing and Productivity Solutions T&M,AMPLIFIER 10 VDC OUT 32 VDC INPU,48,0,"463.35000","0","1","UV-10","Active","Analog Output","18V ~ 32V","Analog","60mA","-15°C ~ 71°C (TA)","Chassis Mount"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/ga-311_gh_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/GA-311.jpg,1110-1915-ND,GA-311,Panasonic Industrial Automation Sales,CONTROLLER NPN INDUCTIVE AMP,29,21,"125.00000","0","1","GA-311","Active","Standard","12V ~ 24V","NPN - Open Collector","25mA","-10°C ~ 60°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fx-500_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-502.jpg,1110-1658-ND,FX-502,Panasonic Industrial Automation Sales,DIGITAL FIBER AMP NPN 2 OUTPUTS,49,0,"180.00000","0","1","FX-500","Active","Fiber Amp","12V ~ 24V","Analog","40mA","-10°C ~ 55°C (TA)","DIN Rail"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Sensors%20PDFs/FX2%20Series.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX2-A3R.jpg,1110-1908-ND,FX2-A3R,Panasonic Industrial Automation Sales,SENSOR FIBER NPN 12-24VDC,27,15,"268.70000","0","1","FX2","Active","External Input","12V","NPN","55mA","-10°C ~ 50°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fx-500_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-505-C2.jpg,1110-1660-ND,FX-505-C2,Panasonic Industrial Automation Sales,DGTL FIBER SENS ANALOG 2-NPN OUT,126,0,"210.00000","0","1","FX-500","Active","Fiber Amp","12V ~ 24V","Analog","40mA","-10°C ~ 55°C (TA)","DIN Rail"
-,//media.digikey.com/Photos/BEI%20Sensors/EM-DR1-AD-24-TB-28V%5EV.jpg,1724-1469-ND,60003-007,Sensata-BEI Sensors,ELECTRONIC MOD ANTIDITHER,29,0,"350.00000","0","1","*","Active","Encoder Amplifier/Isolator","5V ~ 28V","-","-","-","DIN Rail"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Load_Cell_Amp_HX711_HookupGuide.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_SEN-13230.jpg,1568-1218-ND,SEN-13230,SparkFun Electronics,LOAD CELL AMP HX711 13230,145,0,"8.94000","0","1","-","Obsolete","General Purpose","2.6V ~ 5.5V","Digital","1.4mA","-40°C ~ 85°C (TA)","Chassis Mount"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fiberguide_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-101-CC2.JPG,1110-2184-ND,FX-101-CC2,Panasonic Industrial Automation Sales,SENSOR FIBER NPN W/CONN CABLE 2M,92,42,"87.60000","0","1","-","Active","Standard","12V ~ 24V","NPN - Open Collector","30mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/photoelectric/catalog/su-7_sh_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/SU-7.JPG,1110-2064-ND,SU-7,Panasonic Industrial Automation Sales,NPN AUTO-TEACHING AMP,23,30,"146.00000","0","1","SU-7/SH","Active","Standard","12V ~ 24V","NPN","35mA","-10°C ~ 55°C (TA)","-"
http://downloads.omron.eu/IAB/Products/Sensing/Fiber%20Optic%20Sensors/Digital%20Fiber%20Optic%20Amplifiers/E3X-HD/E88E/E3X-HD_DS_E_6_1_(E88E).pdf,//media.digikey.com/Photos/Omron%20Auto/E3X-HD41%202M.jpg,Z3764-ND,E3X-HD41 2M,Omron Automation and Safety,"SMART PWR, HI LED, CBL, PNP",2,155,"191.52000","0","1","E3X-HD","Active","Standard","12V ~ 24V","PNP - Open Collector","60mA","-25°C ~ 55°C (TA)","-"
-,//media.digikey.com/photos/Honeywell%20Photos/060-6827-02.JPG,480-6098-ND,060-6827-02,Honeywell Sensing and Productivity Solutions T&M,AMPLIFIER 5 VDC OUTPUT 28 VDC IN,20,0,"463.35000","0","1","UV","Active","Analog Output","11V ~ 28V","Analog","50mA","-15°C ~ 71°C (TA)","Chassis Mount"
https://measurementsensors.honeywell.com/ProductDocuments/Instruments/Model_DV-10_Datasheet.pdf,//media.digikey.com/Photos/Honeywell%20Photos/MFG_060-6881-02.jpg,480-6100-ND,060-6881-02,Honeywell Sensing and Productivity Solutions T&M,AMPLIFIER FOR MV/V INPUT 10V OUT,4,0,"469.37000","0","1","DV-10","Active","Analog Output","15V ~ 28V","Analog","60mA","-29°C ~ 82°C (TA)","DIN Rail"
-,//media.digikey.com/Photos/Phoenix%20Photos/5604058.jpg,277-4864-ND,5604058,Phoenix Contact,24VDC LOAD/STRAIN CAGE 3-WAY,7,166,"678.44000","0","1","-","Active","Analog Output","11V ~ 30V","-","200mA","-25°C ~ 85°C (TA)","-"
http://www.beisensors.com/pdfs/broadcaster.pdf,//media.digikey.com/Photos/BEI%20Sensors/60011-001.jpg,1724-1061-ND,BX-24-IC/V-IC/V-IC/V-IC/V,Sensata-BEI Sensors,BROADCASTER WITH OPTICAL ISOLATO,9,0,"725.76000","0","1","-","Active","External Input","5V ~ 28V","Analog","125mA","-","DIN Rail"
http://www.beisensors.com/pdfs/broadcaster.pdf,//media.digikey.com/Photos/BEI%20Sensors/60011-001.jpg,1724-1060-ND,BX-5-IC/V-IC/V-IC/V-IC/V,Sensata-BEI Sensors,BROADCASTER WITH OPTICAL ISOLATO,8,0,"725.76000","0","1","-","Active","External Input","5V ~ 28V","Analog","125mA","-","DIN Rail"
-,//media.digikey.com/Photos/Phoenix%20Photos/5603007.JPG,277-4933-ND,5603007,Phoenix Contact,STRAIN GAUGE/LOAD CELL DIN RAIL,24,1,"1067.64000","0","1","-","Active","Analog Output","11V ~ 30V","Linear","250mA","-25°C ~ 85°C (TA)","-"
