Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Output","Resolution (Bits)","Features","Voltage - Supply","Current - Supply (Max)","Operating Temperature","Package / Case"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/sensor/light/bh1745nuc-e.pdf,//media.digikey.com/Photos/Rohm%20Photos/MFG_BH1745.jpg,BH1745NUC-E2TR-ND,BH1745NUC-E2,Rohm Semiconductor,IC COLOR SENSOR DGTL 8WSON,8000,0,"0.79500","0","4000","-","Active","I²C","-","Standby","2.3V ~ 3.6V","260µA @ 2.5V","-40°C ~ 85°C","8-UDFN Exposed Pad"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/sensor/light/bh1745nuc-e.pdf,//media.digikey.com/Photos/Rohm%20Photos/MFG_BH1745.jpg,BH1745NUC-E2CT-ND,BH1745NUC-E2,Rohm Semiconductor,IC COLOR SENSOR DGTL 8WSON,8524,0,"2.16000","0","1","-","Active","I²C","-","Standby","2.3V ~ 3.6V","260µA @ 2.5V","-40°C ~ 85°C","8-UDFN Exposed Pad"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/sensor/light/bh1745nuc-e.pdf,//media.digikey.com/Photos/Rohm%20Photos/MFG_BH1745.jpg,BH1745NUC-E2DKR-ND,BH1745NUC-E2,Rohm Semiconductor,IC COLOR SENSOR DGTL 8WSON,8524,0,"Digi-Reel","0","1","-","Active","I²C","-","Standby","2.3V ~ 3.6V","260µA @ 2.5V","-40°C ~ 85°C","8-UDFN Exposed Pad"
http://www.vishay.com/docs/84276/veml6040.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/MFG_VEML6040A3OG.jpg,VEML6040A3OGTR-ND,VEML6040A3OG,Vishay Semiconductor Opto Division,RGBW COLOR SENSOR I2C INTERFACE,0,0,"0.93000","0","2500","-","Active","I²C","16 b","Low Power Consumption","2.5V ~ 3.6V","200µA @ 3.3V","-40°C ~ 85°C","4-TFLGA"
http://www.vishay.com/docs/84276/veml6040.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/MFG_VEML6040A3OG.jpg,VEML6040A3OGCT-ND,VEML6040A3OG,Vishay Semiconductor Opto Division,RGBW COLOR SENSOR I2C INTERFACE,2486,0,"2.52000","0","1","-","Active","I²C","16 b","Low Power Consumption","2.5V ~ 3.6V","200µA @ 3.3V","-40°C ~ 85°C","4-TFLGA"
http://www.vishay.com/docs/84276/veml6040.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/MFG_VEML6040A3OG.jpg,VEML6040A3OGDKR-ND,VEML6040A3OG,Vishay Semiconductor Opto Division,RGBW COLOR SENSOR I2C INTERFACE,2486,0,"Digi-Reel","0","1","-","Active","I²C","16 b","Low Power Consumption","2.5V ~ 3.6V","200µA @ 3.3V","-40°C ~ 85°C","4-TFLGA"
https://ams.com/documents/20143/36005/TCS3471_DS000109_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/MFG_TCS34717-FN.jpg,TCS34715FNTR-ND,TCS34715FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,3500,0,"1.33400","0","3500","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.3V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3471_DS000109_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/MFG_TCS34717-FN.jpg,TCS34715FNCT-ND,TCS34715FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,6552,0,"3.44000","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.3V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3471_DS000109_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/MFG_TCS34717-FN.jpg,TCS34715FNDKR-ND,TCS34715FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,6552,0,"Digi-Reel","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.3V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3472_DS000390_2-00.pdf,//media.digikey.com/Renders/AMS%20Renders/TCS34725FN.jpg,TCS34725FNTR-ND,TCS34725FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,17500,0,"1.54000","0","3500","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
