Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Encoder Type","Output Type","Pulses per Revolution","Voltage - Supply","Actuator Type","Detent","Built in Switch","Mounting Type","Orientation","Termination Style","Rotational Life (Cycles Min)"
https://www.bourns.com/docs/Product-Datasheets/PEC12R.pdf,//media.digikey.com/photos/Bourns%20Photos/PEC12R-4217F-S0024.JPG,PEC12R-4225F-S0024-ND,PEC12R-4225F-S0024,Bourns Inc.,ROTARY ENCODER MECHANICAL 24PPR,12633,0,"1.25000","0","1","PEC12R","Active","Mechanical","Quadrature (Incremental)","24","-","6mm Dia Flatted End","Yes","Yes","PCB, Through Hole","Vertical","PC Pin","30K"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Encoders/Datasheets/EN11.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/EN11-HSM1AF15.jpg,987-1188-ND,EN11-HSM1AF15,TT Electronics/BI,ROTARY ENCODER MECHANICAL 20PPR,3573,0,"1.25000","0","1","EN11","Active","Mechanical","Quadrature (Incremental)","20","-","6mm Dia Flatted End","Yes","Yes","Panel, PCB Through Hole","Vertical","PC Pin","30K"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Encoders/Datasheets/EN11.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/EN11-HSM1BF20.jpg,987-1398-ND,EN11-HSM1BF20,TT Electronics/BI,ROTARY ENCODER MECHANICAL 20PPR,2347,0,"1.25000","0","1","EN11","Active","Mechanical","Quadrature (Incremental)","20","-","6mm Dia Flatted End","Yes","Yes","Panel, PCB Through Hole","Vertical","PC Pin","30K"
https://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf,//media.digikey.com/Photos/Bourns%20Photos/PEC11R-4215F-N0024.jpg,PEC11R-4215F-N0024-ND,PEC11R-4215F-N0024,Bourns Inc.,ROTARY ENCODER MECHANICAL 24PPR,9848,0,"1.48000","0","1","PEC11R","Active","Mechanical","Quadrature (Incremental)","24","-","6mm Dia Flatted End","Yes","No","Panel, PCB Through Hole","Vertical","PC Pin","30K"
https://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf,//media.digikey.com/Photos/Bourns%20Photos/PEC11R-4015F-S0024.jpg,PEC11R-4015F-S0024-ND,PEC11R-4015F-S0024,Bourns Inc.,ROTARY ENCODER MECHANICAL 24PPR,3871,0,"1.68000","0","1","PEC11R","Active","Mechanical","Quadrature (Incremental)","24","-","6mm Dia Flatted End","No","Yes","Panel, PCB Through Hole","Vertical","PC Pin","30K"
https://www.ctscorp.com/wp-content/uploads/288.pdf,"//media.digikey.com/photos/CTS%20Photos/288T232R161A2,%20288T232R161A1.jpg",CT3002-ND,288T232R161A2,CTS Electrocomponents,ROTARY ENCODER MECHANICAL 4PPR,2315,0,"3.44000","0","1","288","Active","Mechanical","Quadrature (Incremental)","4","-","1/4"" Dia Round End","Yes","No","Panel Mount","Right Angle","Solder Lug","50K"
https://www.cui.com/product/resource/digikeypdf/acz11.pdf,//media.digikey.com/photos/CUI%20Photos/ACZ11BR4E-20KQD1-12C.JPG,102-1758-ND,ACZ11BR4E-20KQD1-12C,CUI Inc.,ROTARY ENCODER INCREMENT 12PPR,676,0,"3.48000","0","1","ACZ11","Active","Incremental","Quadrature (Incremental)","12","5V","6mm Dia Knurled End","Yes","Yes","PCB, Through Hole","Vertical","PC Pin","30K"
https://ams.com/documents/20143/36005/AS5134_DS000159_1-00.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/20-SSOP_SOT266-1.jpg,AS5134-ZSSTTR-ND,AS5134-ZSST,ams,ROTARY ENCODER MAGNETIC,4000,0,"3.52350","0","2000","Automotive, AEC-Q100","Active","Magnetic","Quadrature (Incremental)","-","4.4V ~ 5.5V","External Magnet, Not Included","No","No","Surface Mount","-","SMD (SMT) Tab","-"
https://ams.com/documents/20143/36005/AS5134_DS000159_1-00.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/20-SSOP_SOT266-1.jpg,AS5134-ZSSTCT-ND,AS5134-ZSST,ams,ROTARY ENCODER MAGNETIC,5970,0,"7.62000","0","1","Automotive, AEC-Q100","Active","Magnetic","Quadrature (Incremental)","-","4.4V ~ 5.5V","External Magnet, Not Included","No","No","Surface Mount","-","SMD (SMT) Tab","-"
https://ams.com/documents/20143/36005/AS5134_DS000159_1-00.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/20-SSOP_SOT266-1.jpg,AS5134-ZSSTDKR-ND,AS5134-ZSST,ams,ROTARY ENCODER MAGNETIC,5970,0,"Digi-Reel","0","1","Automotive, AEC-Q100","Active","Magnetic","Quadrature (Incremental)","-","4.4V ~ 5.5V","External Magnet, Not Included","No","No","Surface Mount","-","SMD (SMT) Tab","-"
