Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensing Range","Flow Sensor Type","Voltage - Input","Port Size","Switch Function/Rating","Material - Body","Operating Temperature"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f-v.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/MFG_D6F-V.jpg,Z2629-ND,D6F-V03A1,Omron Electronics Inc-EMC Div,AIRFLOW SENSOR 0-3 M/SEC 3.3V,305,525,"23.32000","0","1","D6F","Active","0 ~ 3 m/s","Air","3.15V ~ 9.45V","2mm x 3mm","-","Thermoplastic resin","-10°C ~ 60°C (TA)"
https://www.idt.com/document/dst/fs1012-datasheet,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/MFG_FS1012-Series.jpg",800-3790-ND,FS1012-1100-NG,"IDT, Integrated Device Technology Inc",THERMAL MASS FLOW SENSOR,155,0,"43.49000","0","1","FS1012","Active","0 ~ 10 SLPM","Gas","3V ~ 5.6V","Male, 0.232"" (5.90mm)","-","Silicon","0°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_p.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D6F-P0010A1.JPG,Z2785-ND,D6F-P0010A1,Omron Electronics Inc-EMC Div,SENSOR AIRFLOW 0-50KPA PCB TERM,1442,0,"51.70000","0","1","D6F","Active","0 ~ 1 LPM","Air","4.75V ~ 9.45V","-","-","PBT Plastic","-10°C ~ 60°C (TA)"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_p.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D6F-P0010A2.JPG,Z2786-ND,D6F-P0010A2,Omron Electronics Inc-EMC Div,SENSOR AIRFLOW 0-50KPA W/CONN,140,0,"51.70000","0","1","D6F","Active","0 ~ 1 LPM","Air","4.75V ~ 9.45V","-","-","PBT Plastic","-10°C ~ 60°C (TA)"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_p.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D6F-P0001A1.JPG,Z3060-ND,D6F-P0001A1,Omron Electronics Inc-EMC Div,SENSOR FLOW TYPE 0.1 LPM MICRO,330,70,"51.71000","0","1","D6F","Active","0 ~ 0.1 LPM","Air","4.75V ~ 9.45V","-","-","PBT Plastic","-33°C ~ 75°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/54882/la_id/1/document/1/re_id/0,//media.digikey.com/photos/Honeywell%20Photos/AWM92100V.jpg,480-2698-5-ND,AWM92100V,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 200 SCCM,667,0,"55.30000","0","1","AWM90000","Active","±200sccm","Air","8V ~ 15V","Male, 0.210"" (5.334mm)","-","Silicon","-25°C ~ 85°C (TA)"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_w.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/MFG_D6F-W01A1,%20D6F-W04A1.jpg",Z2632-ND,D6F-W04A1,Omron Electronics Inc-EMC Div,AIRFLOW SENSOR 0-4 M/SEC 12/24V,252,0,"88.37000","0","1","D6F","Active","0 ~ 4 m/s","Air","10.8V ~ 26.4V","0.10"" x 0.20"" (2.6mm x 5mm)","-","PPS","-10°C ~ 60°C (TA)"
https://www.idt.com/document/dst/fs2012-datasheet,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/MFG_FS2012-Series.jpg",800-3792-ND,FS2012-1100-NG,"IDT, Integrated Device Technology Inc",CALIBRATED MASS FLOW SENSOR,152,0,"94.90000","0","1","FS2012","Active","0 ~ 10 SLPM","Gas","5V","Male, 0.232"" (5.90mm)","-","Silicon","0°C ~ 85°C"
https://www.sensirion.com/file/datasheet_sfm3000 ,//media.digikey.com/Photos/Sensirion/MFG_SFM3000.jpg,1649-1047-ND,SFM3000-200C,Sensirion AG,AIR/GAS FLOW SENSOR +/-200 SLM W,60,0,"119.70000","0","1","-","Active","0 ~ 1.25 mbar","Gas","5V","Male, 0.8661"" (22mm)","I2C","Plastic","-20°C ~ 80°C (TA)"
http://sensing.honeywell.com/index.php?ci_id=44423,//media.digikey.com/Photos/Honeywell%20Photos/HAFBLF0200CAAX3.JPG,480-3866-ND,HAFBLF0050CAAX5,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 50SCCM LONG 5V,229,0,"131.85000","0","1","Zephyr™ HAF","Active","50sccm","Air","4.5V ~ 5.5V","Male, 0.210"" (5.35mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/HAF_Series.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFBLF0200CAAX3.JPG,480-3869-ND,HAFBLF0750C4AX5,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 750SCCM LONG 5V,91,0,"131.85000","0","1","Zephyr™ HAF","Active","750sccm","Air","4.5V ~ 5.5V","Male, 0.210"" (5.35mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/HAF_Series.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFBLF0200CAAX3.JPG,480-3872-ND,HAFBLF0200C4AX3,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 200SCCM LONG 3V,61,0,"131.85000","0","1","Zephyr™ HAF","Active","200sccm","Air","2.97V ~ 3.63V","Male, 0.210"" (5.35mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50052/la_id/1/document/1/re_id/0,//media.digikey.com/photos/Honeywell%20Photos/AWM3150V.JPG,480-3282-ND,AWM3150V,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW AMP 30 SCCM,212,0,"142.56000","0","1","AWM3000","Active","30.0sccm","Air","8V ~ 15V","Male, 0.2"" (5.08mm)","-","Silicon","-25°C ~ 85°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50051/la_id/1/document/1/re_id/0,//media.digikey.com/Photos/Honeywell%20Photos/AWM2150V.JPG,480-3479-ND,AWM2150V,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 30 SCCM,51,0,"143.64000","0","1","AWM2000","Active","±30sccm","Air","8V ~ 15V","Male, 0.2"" (5.08mm)","-","Silicon","-25°C ~ 85°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50052/la_id/1/document/1/re_id/0,//media.digikey.com/photos/Honeywell%20Photos/AWM3303V.JPG,480-4492-ND,AWM3303V,Honeywell Sensing and Productivity Solutions,SENSOR AIR FLOW AMP 1000 SCCM,181,0,"149.69000","0","1","AWM3000","Active","±1000sccm","Air","8V ~ 15V","Male, 0.2"" (5.08mm)","-","Silicon","-25°C ~ 85°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50052/la_id/1/document/1/re_id/0,"//media.digikey.com/photos/Honeywell%20Photos/AWM3100V,%20AWM3300V.jpg",480-2692-5-ND,AWM3100V,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW AMP 200 SCCM,31,0,"149.69000","0","1","AWM3000","Active","200sccm","Air","8V ~ 15V","Male, 0.2"" (5.08mm)","-","Silicon","-25°C ~ 85°C (TA)"
