Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Oxygen Range","Accuracy","Output","Operating Temperature","Voltage - Supply","Current - Supply"
-,//media.digikey.com/Renders/AMS%20Renders/CCS801.jpg,CCS801B-COPDTR-ND,CCS801B-COPD,ams,GAS SENSOR,500,0,"4.37250","0","500","-","Active","Air Quality","-","-","Voltage","-5°C ~ 50°C","1.4V","-"
-,//media.digikey.com/Renders/AMS%20Renders/CCS801.jpg,CCS801B-COPDCT-ND,CCS801B-COPD,ams,GAS SENSOR,542,0,"9.22000","0","1","-","Active","Air Quality","-","-","Voltage","-5°C ~ 50°C","1.4V","-"
-,//media.digikey.com/Renders/AMS%20Renders/CCS801.jpg,CCS801B-COPDDKR-ND,CCS801B-COPD,ams,GAS SENSOR,542,0,"Digi-Reel","0","1","-","Active","Air Quality","-","-","Voltage","-5°C ~ 50°C","1.4V","-"
https://ams.com/documents/20143/36005/AS-MLV-P2_DS000359_1-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/AS-MLV-P2.JPG,AS-MLV-P2-ND,AS-MLV-P2,ams,MOD MEMS GAS SENSOR VOC TO39,604,0,"17.15000","0","1","-","Active","Air Quality","-","-","Voltage","0°C ~ 50°C","3V","25mA"
https://ams.com/documents/20143/36005/iAQ-core_DS000334_1-00.pdf,//media.digikey.com/photos/AMS-Taos%20USA%20Photos/IAQ-CORE%20C.jpg,IAQ-COREC-ND,IAQ-CORE C,ams,MOD IAQ I2C CONTINUOUS MODE,359,0,"18.99000","0","1","-","Active","Air Quality","-","-","I²C","0°C ~ 50°C","3.3V","2.7mA"
https://ams.com/documents/20143/36005/iAQ-core_DS000334_1-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/IAQ-CORE-P.jpg,IAQ-COREP-ND,IAQ-CORE P,ams,MOD IAQ I2C PULSED MODE,117,0,"18.99000","0","1","-","Active","Air Quality","-","-","I²C","0°C ~ 50°C","3.3V","2.7mA"
http://www.spec-sensors.com/wp-content/uploads/2016/04/3SP_CO_1000-P-Package-110-102.pdf,//media.digikey.com/Photos/SPEC-Sensors-LLC/MFG_110-102.JPG,1684-1000-ND,110-102,"SPEC Sensors, LLC",SENSOR GAS CO ANALOG CUR MOD,246,0,"20.00000","0","1","-","Active","Carbon Monoxide (CO)","-","±2%","Current","-30°C ~ 55°C","5mV","-"
//media.digikey.com/pdf/Data%20Sheets/SPEC%20Sensors%20PDFs/110-507_P_Pkg_8-25-17.pdf,//media.digikey.com/Photos/SPEC-Sensors-LLC/MFG_110-501.jpg,1684-1044-ND,110-507,"SPEC Sensors, LLC",SENSOR GAS NO2 THRU HOLE,147,0,"20.00000","0","1","-","Active","Nitrogen Dioxide (NO2)","-","-","-","-40°C ~ 50°C","-","-"
https://www.sgxsensortech.com/content/uploads/2016/07/MiCS-VZ-89TE-V1.0.pdf,//media.digikey.com/Photos/SGX-Sensortech/MICS-VZ-89TE.JPG,1782-1035-ND,MICS-VZ-89TE,Amphenol SGX Sensortech,VOC SENSOR IAQ MODULE W/ADDITION,375,0,"29.01000","0","1","-","Active","Air Quality","-","-","I²C, PWM","0°C ~ 50°C","3.3V","38mA"
https://www.idt.com/document/dst/sgas701-datasheet,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/MFG_SGAS7xx.jpg",800-3800-ND,SGAS701,"IDT, Integrated Device Technology Inc",TRACE HYDROGEN SENSOR,794,0,"31.24000","0","1","-","Active","Hydrogen (H2)","-","-","Voltage","-20°C ~ 50°C","2.5V ~ 5V","-"
