Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Sensor Type","Humidity Range","Output Type","Output","Accuracy","Response Time","Sensitivity","Voltage - Supply","Mounting Type","Operating Temperature","Package / Case","Supplier Device Package"
https://www.sensirion.com/file/datasheet_shtw2,//media.digikey.com/Photos/Sensirion/MFG_SHTW2.JPG,1649-1061-2-ND,SHTW2,Sensirion AG,SENSOR HUMI/TEMP 1.8V I2C 3% SMD,5000,0,"1.27500","0","1000","Tape & Reel (TR)","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","16b","±3% RH","8s","-","1.62V ~ 1.98V","Surface Mount","-40°C ~ 125°C","4-UFBGA, WLCSP","4-WLCSP (0.74x1.31)"
https://www.sensirion.com/file/datasheet_shtw2,//media.digikey.com/Photos/Sensirion/MFG_SHTW2.JPG,1649-1061-1-ND,SHTW2,Sensirion AG,SENSOR HUMI/TEMP 1.8V I2C 3% SMD,5645,0,"3.27000","0","1","Cut Tape (CT)","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","16b","±3% RH","8s","-","1.62V ~ 1.98V","Surface Mount","-40°C ~ 125°C","4-UFBGA, WLCSP","4-WLCSP (0.74x1.31)"
https://www.sensirion.com/file/datasheet_shtw2,//media.digikey.com/Photos/Sensirion/MFG_SHTW2.JPG,1649-1061-6-ND,SHTW2,Sensirion AG,SENSOR HUMI/TEMP 1.8V I2C 3% SMD,5645,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","16b","±3% RH","8s","-","1.62V ~ 1.98V","Surface Mount","-40°C ~ 125°C","4-UFBGA, WLCSP","4-WLCSP (0.74x1.31)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fhdc1010,//media.digikey.com/Renders/Texas%20Instr%20Renders/HDC1010YPAR.jpg,296-44907-2-ND,HDC1010YPAR,Texas Instruments,SENSOR HUMI/TEMP 3.3V I2C 2% SMD,15000,0,"1.40360","0","3000","Tape & Reel (TR)","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","14b","±2%","15s","-","2.7V ~ 5.5V","Surface Mount","-20°C ~ 70°C","8-WFBGA, DSBGA","8-DSBGA"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fhdc1010,//media.digikey.com/Renders/Texas%20Instr%20Renders/HDC1010YPAR.jpg,296-44907-1-ND,HDC1010YPAR,Texas Instruments,SENSOR HUMI/TEMP 3.3V I2C 2% SMD,15858,0,"3.62000","0","1","Cut Tape (CT)","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","14b","±2%","15s","-","2.7V ~ 5.5V","Surface Mount","-20°C ~ 70°C","8-WFBGA, DSBGA","8-DSBGA"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fhdc1010,//media.digikey.com/Renders/Texas%20Instr%20Renders/HDC1010YPAR.jpg,296-44907-6-ND,HDC1010YPAR,Texas Instruments,SENSOR HUMI/TEMP 3.3V I2C 2% SMD,15858,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","14b","±2%","15s","-","2.7V ~ 5.5V","Surface Mount","-20°C ~ 70°C","8-WFBGA, DSBGA","8-DSBGA"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/HT_DS_SHT3x_DIS.pdf,//media.digikey.com/Photos/Sensirion/MFG_SHTxx.jpg,1649-1009-2-ND,SHT30-DIS-B2.5KS,Sensirion AG,SENSOR HUMID/TEMP 5V I2C 3% SMD,7500,0,"1.47000","0","2500","Tape & Reel (TR)","SHT3","Active","Humidity, Temperature","0 ~ 100% RH","I²C","16b","±3% RH","8s","-","2.15V ~ 5.5V","Surface Mount","-40°C ~ 125°C","8-VFDFN Exposed Pad","8-DFN (2.5x2.5)"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/HT_DS_SHT3x_DIS.pdf,//media.digikey.com/Photos/Sensirion/MFG_SHTxx.jpg,1649-1009-1-ND,SHT30-DIS-B2.5KS,Sensirion AG,SENSOR HUMID/TEMP 5V I2C 3% SMD,8099,0,"3.93000","0","1","Cut Tape (CT)","SHT3","Active","Humidity, Temperature","0 ~ 100% RH","I²C","16b","±3% RH","8s","-","2.15V ~ 5.5V","Surface Mount","-40°C ~ 125°C","8-VFDFN Exposed Pad","8-DFN (2.5x2.5)"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/HT_DS_SHT3x_DIS.pdf,//media.digikey.com/Photos/Sensirion/MFG_SHTxx.jpg,1649-1009-6-ND,SHT30-DIS-B2.5KS,Sensirion AG,SENSOR HUMID/TEMP 5V I2C 3% SMD,8099,0,"Digi-Reel","0","1","Digi-Reel®","SHT3","Active","Humidity, Temperature","0 ~ 100% RH","I²C","16b","±3% RH","8s","-","2.15V ~ 5.5V","Surface Mount","-40°C ~ 125°C","8-VFDFN Exposed Pad","8-DFN (2.5x2.5)"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/HT_DS_SHT3x_ARP_V3.pdf,//media.digikey.com/Photos/Sensirion/MFG_SHTxx.jpg,1649-1010-2-ND,SHT30-ARP-B,Sensirion AG,SENSOR HUMID/TEMP 5V ANLG 3% SMD,2500,0,"1.47000","0","2500","Tape & Reel (TR)","SHT3","Active","Humidity, Temperature","0 ~ 100% RH","Analog Voltage","-","±3% RH","8s","-","2.4V ~ 5.5V","Surface Mount","-40°C ~ 125°C","8-VFDFN Exposed Pad","8-DFN (2.5x2.5)"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/HT_DS_SHT3x_ARP_V3.pdf,//media.digikey.com/Photos/Sensirion/MFG_SHTxx.jpg,1649-1010-1-ND,SHT30-ARP-B,Sensirion AG,SENSOR HUMID/TEMP 5V ANLG 3% SMD,3005,0,"3.93000","0","1","Cut Tape (CT)","SHT3","Active","Humidity, Temperature","0 ~ 100% RH","Analog Voltage","-","±3% RH","8s","-","2.4V ~ 5.5V","Surface Mount","-40°C ~ 125°C","8-VFDFN Exposed Pad","8-DFN (2.5x2.5)"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/HT_DS_SHT3x_ARP_V3.pdf,//media.digikey.com/Photos/Sensirion/MFG_SHTxx.jpg,1649-1010-6-ND,SHT30-ARP-B,Sensirion AG,SENSOR HUMID/TEMP 5V ANLG 3% SMD,3005,0,"Digi-Reel","0","1","Digi-Reel®","SHT3","Active","Humidity, Temperature","0 ~ 100% RH","Analog Voltage","-","±3% RH","8s","-","2.4V ~ 5.5V","Surface Mount","-40°C ~ 125°C","8-VFDFN Exposed Pad","8-DFN (2.5x2.5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fhdc1080,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_HDC1080DMBR.jpg,296-46272-2-ND,HDC1080DMBR,Texas Instruments,SENSOR HUMI/TEMP 3.3V I2C 4% SMD,42000,0,"1.47840","0","3000","Tape & Reel (TR)","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","14b","±2% RH","15s","-","2.7V ~ 5.5V","Surface Mount","-20°C ~ 85°C","6-WDFN Exposed Pad","6-WSON (3x3)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fhdc1080,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_HDC1080DMBR.jpg,296-46272-1-ND,HDC1080DMBR,Texas Instruments,SENSOR HUMI/TEMP 3.3V I2C 4% SMD,43492,0,"3.95000","0","1","Cut Tape (CT)","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","14b","±2% RH","15s","-","2.7V ~ 5.5V","Surface Mount","-20°C ~ 85°C","6-WDFN Exposed Pad","6-WSON (3x3)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fhdc1080,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_HDC1080DMBR.jpg,296-46272-6-ND,HDC1080DMBR,Texas Instruments,SENSOR HUMI/TEMP 3.3V I2C 4% SMD,43492,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Humidity, Temperature","0 ~ 100% RH","I²C","14b","±2% RH","15s","-","2.7V ~ 5.5V","Surface Mount","-20°C ~ 85°C","6-WDFN Exposed Pad","6-WSON (3x3)"
