Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Data Rate","Voltage - Supply","Idle Current, Typ @ 25°C","Link Range, Low Power","Orientation","Operating Temperature","Size","Standards","Shutdown"
http://www.vishay.com/docs/82633/tfbs4711.pdf,//media.digikey.com/photos/Vishay%20Photos/tfbs4711-tr3.JPG,751-1067-2-ND,TFBS4711-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2 KBIT/S - 6-SMD 1,10000,0,"2.26100","0","2500","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.7V ~ 5.5V","75µA","1m","Side View","-30°C ~ 85°C","6.0mm x 3.0mm x 1.9mm","IrPHY 1.2","-"
http://www.vishay.com/docs/82633/tfbs4711.pdf,//media.digikey.com/photos/Vishay%20Photos/tfbs4711-tr3.JPG,751-1067-1-ND,TFBS4711-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2 KBIT/S - 6-SMD 1,11493,0,"4.64000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.7V ~ 5.5V","75µA","1m","Side View","-30°C ~ 85°C","6.0mm x 3.0mm x 1.9mm","IrPHY 1.2","-"
http://www.vishay.com/docs/82633/tfbs4711.pdf,//media.digikey.com/photos/Vishay%20Photos/tfbs4711-tr3.JPG,751-1067-6-ND,TFBS4711-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2 KBIT/S - 6-SMD 1,11493,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.7V ~ 5.5V","75µA","1m","Side View","-30°C ~ 85°C","6.0mm x 3.0mm x 1.9mm","IrPHY 1.2","-"
http://www.vishay.com/docs/84671/tfbs4652.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,751-1064-2-ND,TFBS4652-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,22000,0,"2.38000","0","1000","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84671/tfbs4652.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,751-1064-1-ND,TFBS4652-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,22618,0,"4.64000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84671/tfbs4652.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,751-1064-6-ND,TFBS4652-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,22618,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84672/tfbs4650.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,751-1062-2-ND,TFBS4650-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,13000,0,"2.38000","0","1000","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84672/tfbs4650.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,751-1062-1-ND,TFBS4650-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,13667,0,"4.64000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84672/tfbs4650.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFBS4650-TR1.JPG,751-1062-6-ND,TFBS4650-TR1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,13667,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/82633/tfbs4711.pdf,//media.digikey.com/photos/Vishay%20Photos/tfbs4711-tr3.JPG,751-1068-2-ND,TFBS4711-TT1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT 1.9MM 6-SMD,4000,0,"2.38000","0","1000","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.7V ~ 5.5V","75µA","1m","Top View","-30°C ~ 85°C","6.0mm x 3.0mm x 1.9mm","IrPHY 1.2","-"
http://www.vishay.com/docs/82633/tfbs4711.pdf,//media.digikey.com/photos/Vishay%20Photos/tfbs4711-tr3.JPG,751-1068-1-ND,TFBS4711-TT1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT 1.9MM 6-SMD,4290,0,"4.64000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.7V ~ 5.5V","75µA","1m","Top View","-30°C ~ 85°C","6.0mm x 3.0mm x 1.9mm","IrPHY 1.2","-"
http://www.vishay.com/docs/82633/tfbs4711.pdf,//media.digikey.com/photos/Vishay%20Photos/tfbs4711-tr3.JPG,751-1068-6-ND,TFBS4711-TT1,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT 1.9MM 6-SMD,4290,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.7V ~ 5.5V","75µA","1m","Top View","-30°C ~ 85°C","6.0mm x 3.0mm x 1.9mm","IrPHY 1.2","-"
http://www.vishay.com/docs/81288/tfdu4101.pdf,//media.digikey.com/photos/Vishay%20Photos/TFDU4101-TR3.JPG,751-1070-2-ND,TFDU4101-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT 4MM 8-SMD,20000,0,"2.80000","0","1000","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","75µA","1m","Side View","-30°C ~ 85°C","9.7mm x 4.7mm x 4.0mm","IrPHY 1.0","-"
http://www.vishay.com/docs/81288/tfdu4101.pdf,//media.digikey.com/photos/Vishay%20Photos/TFDU4101-TR3.JPG,751-1070-1-ND,TFDU4101-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT 4MM 8-SMD,21532,0,"5.46000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","75µA","1m","Side View","-30°C ~ 85°C","9.7mm x 4.7mm x 4.0mm","IrPHY 1.0","-"
http://www.vishay.com/docs/81288/tfdu4101.pdf,//media.digikey.com/photos/Vishay%20Photos/TFDU4101-TR3.JPG,751-1070-6-ND,TFDU4101-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT 4MM 8-SMD,21532,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","75µA","1m","Side View","-30°C ~ 85°C","9.7mm x 4.7mm x 4.0mm","IrPHY 1.0","-"
http://www.vishay.com/docs/81288/tfdu4101.pdf,//media.digikey.com/photos/Vishay%20Photos/TFDU4101-TT3.JPG,751-1071-2-ND,TFDU4101-TT3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT 4MM 8-SMD,6000,0,"2.80000","0","1000","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","75µA","1m","Top View","-30°C ~ 85°C","9.7mm x 4.7mm x 4.0mm","IrPHY 1.0","-"
http://www.vishay.com/docs/81288/tfdu4101.pdf,//media.digikey.com/photos/Vishay%20Photos/TFDU4101-TT3.JPG,751-1071-1-ND,TFDU4101-TT3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT 4MM 8-SMD,6165,0,"5.46000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","75µA","1m","Top View","-30°C ~ 85°C","9.7mm x 4.7mm x 4.0mm","IrPHY 1.0","-"
