Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Voltage - Rated","Beam Angle","Operating Temperature"
https://cdn.sparkfun.com/assets/b/3/0/b/a/DGCH-RED_datasheet.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_SEN-13959.jpg,1568-1421-ND,SEN-13959,SparkFun Electronics,ULTRASONIC SENSOR - HC-SR04,1479,0,"3.95000","0","1","Bulk","-","Active","40kHz","5V","11°","-"
https://www.murata.com/en-us/products/productdata/8797589340190/MASPOPSE.pdf,//media.digikey.com/Photos/Murata%20Photos/MA40S4S.JPG,490-7707-ND,MA40S4S,Murata Electronics North America,TRANS 40KHZ ULTRASONIC,9936,0,"7.65000","0","1","Bulk","-","Active","40kHz","20Vp-p","80°","-40°C ~ 85°C (TA)"
https://www.murata.com/en-us/products/productdata/8797589274654/MASPOPRE.pdf,//media.digikey.com/Photos/Murata%20Photos/MA40S4R.JPG,490-7706-ND,MA40S4R,Murata Electronics North America,RCVR 40KHZ ULTRASONIC,7188,0,"7.65000","0","1","Bulk","-","Active","40kHz","-","80°","-"
http://www.puiaudio.com/pdf/UTR-1440K-TT-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_UTR-1440K-TT-R_SIDE-1.jpg,668-1550-ND,UTR-1440K-TT-R,"PUI Audio, Inc.",ULTRASONIC TRANSMITTER/RECEIVER,911,0,"10.35000","0","1","Tray","-","Active","40kHz","140Vp-p","-","-40°C ~ 80°C (TA)"
https://www.parallax.com/sites/default/files/downloads/28015-PING-Sensor-Product-Guide-v2.0.pdf,//media.digikey.com/Photos/Parallax%20Photos/28015.JPG,28015-ND,28015,Parallax Inc.,SENSOR DISTANCE ULTRASON    PING,105,0,"29.99000","0","1","Bulk","PING)))™","Active","40kHz","5V","-","0°C ~ 70°C (TA)"
https://www.maxbotix.com/documents/I2CXL-MaxSonar-WR_Datasheet.pdf,//media.digikey.com/Photos/MaxBotix-Inc/MFG_7040-2xx.jpg,1863-1053-ND,MB7040-200,MaxBotix Inc.,ULTRASONIC SENSOR I2CXL-MAXSONAR,49,0,"105.28000","0","1","Bulk","I2CXL-MaxSonar-WRC","Active","42kHz","3.2 V ~ 5.5 V","23°","-40°C ~ 65°C (TA)"
https://www.maxbotix.com/documents/HRXL-MaxSonar-WR_Datasheet.pdf,//media.digikey.com/Photos/MaxBotix-Inc/MFG_Ultrasonic-Sensor.jpg,1863-1009-ND,MB7389-100,MaxBotix Inc.,ULTRASONIC SENSOR HRXL-MAXSONAR,104,0,"115.75000","0","1","Bulk","HRXL-MaxSonar-WR","Active","42kHz","2.8 V ~ 5.5 V","11°","-40°C ~ 65°C (TA)"
https://www.maxbotix.com/documents/HRXL-MaxSonar-WR_Datasheet.pdf,//media.digikey.com/Photos/MaxBotix-Inc/MFG_Ultrasonic-Sensor.jpg,1863-1023-ND,MB7360-100,MaxBotix Inc.,ULTRASONIC SENSOR HRXL-MAXSONAR,59,0,"115.75000","0","1","Bulk","HRXL-MaxSonar-WR","Active","42kHz","2.8 V ~ 5.5 V","11°","-40°C ~ 65°C (TA)"
https://www.maxbotix.com/documents/HRXL-MaxSonar-WR_Datasheet.pdf,//media.digikey.com/Photos/MaxBotix-Inc/MFG_Ultrasonic-Sensor.jpg,1863-1034-ND,MB7363-100,MaxBotix Inc.,ULTRASONIC SENSOR HRXL-MAXSONAR,52,0,"126.27000","0","1","Bulk","HRXL-MaxSonar-WR","Active","42kHz","2.5 V ~ 5.5 V","17°","-40°C ~ 65°C (TA)"
https://www.soberton.com/wp-content/uploads/2019/02/US-4112-17-Feb-2019.pdf,//media.digikey.com/Photos/Soberton%20Photos/MFG_US-4112.jpg,433-1227-ND,US-4112,Soberton Inc.,MAGNETIC BUZZER 2.8VMS 90DB 2000,341,0,"2.78000","0","1","-","US","Active","20kHz","-","-","-20°C ~ 60°C"
http://www.puiaudio.com/pdf/UB162M4.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_UB162M4_SIDE-1.jpg,668-1545-ND,UB162M4,"PUI Audio, Inc.",ULTRASONIC BENDER 2.45MHZ 2 OHM,145,0,"3.13000","0","1","Reel","-","Active","2.45MHz","100Vp-p","-","10°C ~ 50°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Projects%20Unlimited%20PDFs/UT-1240K-TT-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_UT-1240K-TT-R_SIDE-1.jpg,668-1548-ND,UT-1240K-TT-R,"PUI Audio, Inc.",ULTRASONIC TRANSMITTER 30VRMS,397,0,"4.95000","0","1","Tray","-","Active","40kHz","30VAC","70°","-20°C ~ 70°C (TA)"
http://www.puiaudio.com/pdf/UR-1240K-TT-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_UR-1240K-TT-R_SIDE-1.jpg,668-1546-ND,UR-1240K-TT-R,"PUI Audio, Inc.",ULTRASONIC RECEIVER 30VRMS 2100P,178,0,"4.95000","0","1","Tray","-","Active","40kHz","30VAC","70°","-20°C ~ 70°C (TA)"
http://www.puiaudio.com/pdf/UR-1640K-TT-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_UR-1640K-TT-2-R_SIDE-1.jpg,668-1547-ND,UR-1640K-TT-2-R,"PUI Audio, Inc.",ULTRASONIC RECEIVER 20VRMS 2100P,530,0,"5.58000","0","1","Tray","-","Active","40kHz","20VAC","80°","-20°C ~ 70°C (TA)"
http://www.puiaudio.com/pdf/UT-1640K-TT-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_UT-1640K-TT-2-R_SIDE-1.jpg,668-1549-ND,UT-1640K-TT-2-R,"PUI Audio, Inc.",ULTRASONIC TRANSMITTER 20VRMS,316,0,"5.58000","0","1","Tray","-","Active","40kHz","20VAC","80°","-20°C ~ 70°C (TA)"
https://www.maxbotix.com/documents/LV-MaxSonar-EZ_Datasheet.pdf,//media.digikey.com/Photos/MaxBotix-Inc/MFG_LV-MaxSonar-EZ.jpg,1863-1001-ND,MB1000-000,MaxBotix Inc.,ULTRASONIC SENSOR LV-MAXSONAR-EZ,256,0,"34.83000","0","1","Bulk","LV-MaxSonar-EZ","Active","42kHz","2.8 V ~ 5.5 V","62°","-40°C ~ 65°C (TA)"
https://www.maxbotix.com/documents/XL-MaxSonar-EZ_Datasheet.pdf,//media.digikey.com/Photos/MaxBotix-Inc/MFG_MaxSonar-EZ.jpg,1863-1003-ND,MB1240-000,MaxBotix Inc.,ULTRASONIC SENSOR XL-MAXSONAR-EZ,140,0,"46.40000","0","1","Bulk","XL-MaxSonar-EZ","Active","42kHz","3.2 V ~ 5.5 V","38°","-40°C ~ 65°C (TA)"
