Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensor Type","Output Type","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/2JCIE_DS.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/2JCIE-BL01.jpg,Z6606-ND,2JCIE-BL01,Omron Electronics Inc-EMC Div,SENSOR ENVIRONMENTAL,27,0,"144.00000","0","1","-","Active","Accelerometer, Light, Humidity, Pressure, Sound, Temperature","Bluetooth","-10°C ~ 60°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FHPC221_3%7FA%7Fpdf%7FEnglish%7FENG_DS_HPC221_3_A.pdf%7FHPP816E031,-,223-1915-ND,HPP816E056,TE Connectivity Measurement Specialties,TRICAN HTD2800 RH/TEMP/PRES PROB,89,0,"162.00000","0","1","-","Active","Humidity, Pressure, Temperature","CAN Bus","-40°C ~ 125°C"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADXC1500.pdf,-,ADXC1500AWBRGZ-RLTR-ND,ADXC1500AWBRGZ-RL,Analog Devices Inc.,YAW GYRO AND XY LOW-G COMBO (C6),500,0,"92.79718","0","500","-","Active","Accelerometer, Gyroscope, 3 Axis","SPI","-40°C ~ 105°C"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADXC1500.pdf,-,ADXC1500AWBRGZ-RLCT-ND,ADXC1500AWBRGZ-RL,Analog Devices Inc.,YAW GYRO AND XY LOW-G COMBO (C6),0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","Accelerometer, Gyroscope, 3 Axis","SPI","-40°C ~ 105°C"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADXC1500.pdf,-,ADXC1500AWBRGZ-RLDKR-ND,ADXC1500AWBRGZ-RL,Analog Devices Inc.,YAW GYRO AND XY LOW-G COMBO (C6),0,0,"Digi-Reel","0","1","-","Discontinued at Digi-Key","Accelerometer, Gyroscope, 3 Axis","SPI","-40°C ~ 105°C"
https://www.siretta.co.uk/download.php?id=1049&cmd=view,//media.digikey.com/Photos/Siretta%20Ltd/EM01B-VLT.jpg,EM01B-VLT-ND,EM01B-VLT,Siretta Ltd,WEBSENSOR CONVERTED TO 0-18V SEN,10,0,"283.45000","0","1","-","Active","Humidity, Temperature, Light","Ethernet","-40°C ~ 80°C"
https://www.siretta.co.uk/download.php?id=1049&cmd=view,-,EM01BSTN-ND,EM01B STN,Siretta Ltd,"TEMPERATURE, HUMIDITY & LIGHT WE",10,0,"228.19000","0","1","-","Active","Humidity, Temperature, Light","Ethernet","-40°C ~ 80°C"
https://www.siretta.co.uk/download.php?id=1049&cmd=view,//media.digikey.com/Photos/Siretta%20Ltd/EM01B-THERM_top.jpg,EM01B-THERM-ND,EM01B-THERM,Siretta Ltd,"2 X TEMPERATURE, HUMIDITY & LIGH",6,0,"244.51000","0","1","-","Active","Humidity, Temperature, Light","Ethernet","-40°C ~ 80°C"
https://www.siretta.co.uk/download.php?id=1049&cmd=view,//media.digikey.com/Photos/Siretta%20Ltd/MFG_EM01B-LCD.jpg,EM01BLCD-ND,EM01B LCD,Siretta Ltd,"TEMPERATURE, HUMIDITY & LIGHT +",10,0,"309.71000","0","1","-","Active","Humidity, Temperature, Light","Ethernet","-40°C ~ 80°C"
https://www.siretta.co.uk/download.php?id=1049&cmd=view,//media.digikey.com/photos/Siretta%20Ltd/EM01B-PRO.jpg,EM01BPRO-ND,EM01B PRO,Siretta Ltd,WEBSENSOR + LCD DISPLAY + FLOOD,4,0,"385.54000","0","1","-","Active","Humidity, Temperature, Light","Ethernet","-40°C ~ 80°C"
