Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","For Measuring","Technology","Rotation Angle - Electrical, Mechanical","Linear Range","Output","Output Signal","Actuator Type","Linearity","Resistance","Resistance Tolerance","Voltage - Supply","Mounting Type","Termination Style","Operating Temperature","Package / Case","Supplier Device Package"
//media.digikey.com/pdf/Data%20Sheets/Infineon%20PDFs/TLV493D-A1B6_Rev1.1_4-9-19.pdf,//media.digikey.com/Photos/Infineon%20Photos/MFG_TLV493DA1B6HTSA2.jpg,TLV493DA1B6HTSA2TR-ND,TLV493DA1B6HTSA2,Infineon Technologies,SENSOR ROTARY 360DEG SMD,6000,0,"0.64272","0","3000","Tape & Reel (TR)","Automotive, AEC-Q100","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","I²C","-","External Magnet, Not Included","-","-","-","2.7V ~ 3.5V","Surface Mount","SMD (SMT) Tab","-40°C ~ 125°C","SOT-23-6 Thin, TSOT-23-6","PG-TSOP-6-6-5"
//media.digikey.com/pdf/Data%20Sheets/Infineon%20PDFs/TLV493D-A1B6_Rev1.1_4-9-19.pdf,//media.digikey.com/Photos/Infineon%20Photos/MFG_TLV493DA1B6HTSA2.jpg,TLV493DA1B6HTSA2CT-ND,TLV493DA1B6HTSA2,Infineon Technologies,SENSOR ROTARY 360DEG SMD,10687,0,"1.83000","0","1","Cut Tape (CT)","Automotive, AEC-Q100","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","I²C","-","External Magnet, Not Included","-","-","-","2.7V ~ 3.5V","Surface Mount","SMD (SMT) Tab","-40°C ~ 125°C","SOT-23-6 Thin, TSOT-23-6","PG-TSOP-6-6-5"
//media.digikey.com/pdf/Data%20Sheets/Infineon%20PDFs/TLV493D-A1B6_Rev1.1_4-9-19.pdf,//media.digikey.com/Photos/Infineon%20Photos/MFG_TLV493DA1B6HTSA2.jpg,TLV493DA1B6HTSA2DKR-ND,TLV493DA1B6HTSA2,Infineon Technologies,SENSOR ROTARY 360DEG SMD,10687,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q100","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","I²C","-","External Magnet, Not Included","-","-","-","2.7V ~ 3.5V","Surface Mount","SMD (SMT) Tab","-40°C ~ 125°C","SOT-23-6 Thin, TSOT-23-6","PG-TSOP-6-6-5"
https://industrial.panasonic.com/cdbs/www-data/pdf/ARE0000/ARE0000C1.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVW-AE4001B14.JPG,P12426TR-ND,EVW-AE4001B14,Panasonic Electronic Components,SENSOR ROTARY 343DEG SMD,9000,0,"0.90000","0","1500","Tape & Reel (TR)","-","Active","Rotary Position","Resistive","0° ~ 343°","-","Resistive","-","Hole for Shaft","±2%","10 kOhms","±30%","-","Surface Mount","SMD (SMT) Tab","-","4-SMD, Gull Wing","-"
https://industrial.panasonic.com/cdbs/www-data/pdf/ARE0000/ARE0000C1.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVW-AE4001B14.JPG,P12426CT-ND,EVW-AE4001B14,Panasonic Electronic Components,SENSOR ROTARY 343DEG SMD,9823,0,"1.82000","0","1","Cut Tape (CT)","-","Active","Rotary Position","Resistive","0° ~ 343°","-","Resistive","-","Hole for Shaft","±2%","10 kOhms","±30%","-","Surface Mount","SMD (SMT) Tab","-","4-SMD, Gull Wing","-"
https://industrial.panasonic.com/cdbs/www-data/pdf/ARE0000/ARE0000C1.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVW-AE4001B14.JPG,P12426DKR-ND,EVW-AE4001B14,Panasonic Electronic Components,SENSOR ROTARY 343DEG SMD,9823,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Rotary Position","Resistive","0° ~ 343°","-","Resistive","-","Hole for Shaft","±2%","10 kOhms","±30%","-","Surface Mount","SMD (SMT) Tab","-","4-SMD, Gull Wing","-"
https://aerospace.honeywell.com/en/~/media/aerospace/files/technical-articles/sensors_product_catalog.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HMC1512.JPG,342-1010-2-ND,HMC1512-TR,Honeywell Aerospace,SENSOR ANGLE 180DEG 8MM SMD,11000,0,"1.35000","0","1000","Tape & Reel (TR)","-","Active","Angle, Linear, Rotary","Magnetoresistive","180° (±90°)","0 ~ 8.00mm (0 ~ 0.31"")","Wheatstone Bridge","-","External Magnet, Not Included","-","2.8 kOhms","-","1V ~ 25V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://aerospace.honeywell.com/en/~/media/aerospace/files/technical-articles/sensors_product_catalog.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HMC1512.JPG,342-1010-1-ND,HMC1512-TR,Honeywell Aerospace,SENSOR ANGLE 180DEG 8MM SMD,11272,0,"3.47000","0","1","Cut Tape (CT)","-","Active","Angle, Linear, Rotary","Magnetoresistive","180° (±90°)","0 ~ 8.00mm (0 ~ 0.31"")","Wheatstone Bridge","-","External Magnet, Not Included","-","2.8 kOhms","-","1V ~ 25V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://aerospace.honeywell.com/en/~/media/aerospace/files/technical-articles/sensors_product_catalog.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HMC1512.JPG,342-1010-6-ND,HMC1512-TR,Honeywell Aerospace,SENSOR ANGLE 180DEG 8MM SMD,11272,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Angle, Linear, Rotary","Magnetoresistive","180° (±90°)","0 ~ 8.00mm (0 ~ 0.31"")","Wheatstone Bridge","-","External Magnet, Not Included","-","2.8 kOhms","-","1V ~ 25V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.micronas.com/en/system/files/downloads/files/HAL83x_Robust_multi-purpose_programmable_linear_Hall-effect_sensor_3DS_final.pdf,//media.digikey.com/Photos/Micronas/HAL835UT-A.jpg,HAL830UT-ATB-ND,HAL830UT-A,TDK-Micronas GmbH,SENSOR ANGLE 89DEG PC PIN,10000,0,"1.36350","0","2000","Tape & Box (TB)","Automotive, AEC-Q100","Active","Angle, Linear, Rotary","Hall Effect","0° ~ 89°","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Through Hole","PC Pin","-40°C ~ 170°C","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92UT-1"
