Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Color","Features","For Use With/Related Products","Material","Shell Size - Insert"
http://www.alphawire.com/~/media/B6EAD774811B476F9DD8C40809730E34.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/903-CN-NC032.jpg,903-CNNC032-ND,903-CN NC032,Alpha Wire,M12 DIE CAST 8PORT 2SIG,80,0,"166.48000","0","1","903","Active","Actuator Box","-","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M12"
https://www.bulgin.com/products/pub/media/bulgin/data/Power%20Distribution%20Data%20Sheets.pdf,//media.digikey.com/Photos/Bulgin%20Photos/mfg_BOX1M1205MA05M805F.jpg,708-2117-ND,BOX1M1205MA05M805F,Bulgin,M SERIES 5 PORT POWER DISTRIBUTI,97,0,"155.63000","0","1","M","Active","Actuator Box","Black","5 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Aluminum, Anodized","M12"
https://www.bulgin.com/products/pub/media/bulgin/data/Power%20Distribution%20Data%20Sheets.pdf,//media.digikey.com/Photos/Bulgin%20Photos/MFG_BOX1M1212MA08M803F.jpg,708-2119-ND,BOX1M1212MA08M803F,Bulgin,M SERIES 8 PORT POWER DISTRIBUTI,100,0,"158.94000","0","1","M","Active","Actuator Box","Black","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Aluminum, Anodized","M12"
https://www.bulgin.com/products/pub/media/bulgin/data/Power%20Distribution%20Data%20Sheets.pdf,//media.digikey.com/Photos/Bulgin%20Photos/MFG_BOX1M1205MA09M805F.jpg,708-2118-ND,BOX1M1205MA09M805F,Bulgin,M SERIES 9 PORT POWER DISTRIBUTI,100,0,"174.84000","0","1","M","Active","Actuator Box","Black","9 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Aluminum, Anodized","M12"
-,//media.digikey.com/Photos/Panasonic%20Photos/SL-T8J.jpg,1110-2859-ND,SL-T8J,Panasonic Industrial Automation Sales,8CH MIL SNAP-CONN INPUT UNIT NPN,21,0,"242.80000","0","1","S-Link","Last Time Buy","Input, Output Unit","Beige","8 Connector Opening","Circular Connectors","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1434840,//media.digikey.com/Photos/Phoenix%20Photos/1434840.jpg,277-13169-ND,1434840,Phoenix Contact,SENSOR ACTUATOR BOX,3,0,"145.22000","0","1","PLUSCON","Active","Actuator Box","Green","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8, M12"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1452547.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1452547.jpg,277-12282-ND,1452547,Phoenix Contact,SENSOR ACTUATOR BOX,6,170,"152.62000","0","1","-","Active","Input, Output Unit","Gray","8 Connector Opening","Circular Connectors","Polybutylene Terephthalate (PBT)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1434853,//media.digikey.com/Photos/Phoenix%20Photos/1434853.JPG,277-13170-ND,1434853,Phoenix Contact,SENSOR ACTUATOR BOX,5,0,"163.97000","0","1","*","Active","-","-","-","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1503399,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1503399.jpg,277-13329-ND,1503399,Phoenix Contact,SENSOR ACTUATOR BOX,8,0,"90.84000","0","1","*","Active","-","-","-","-","-","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1516234,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1516234.jpg,277-4794-ND,1516234,Phoenix Contact,SENSOR ACTUATOR BOX 4SLOT 3POS,3,1,"94.30000","0","1","PLUSCON","Active","Actuator Box","Green","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8, M12"
