Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Power (Watts) - Max","Current @ Pmpp","Voltage @ Pmpp","Current - Short Circuit (Isc)","Type","Voltage - Open Circuit","Operating Temperature","Package / Case","Size / Dimension"
http://ixapps.ixys.com/DataSheet/SLMD481H08L_nov16.pdf,//media.digikey.com/Photos/IXYS%20Photos/SLMD481H08L.JPG,SLMD481H08L-ND,SLMD481H08L,IXYS,MONO SOLAR CELL 89MM X 55MM,281,0,"27.08000","0","1","IXOLAR™","Active","714mW","178mA","4V","200mA","Monocrystalline","5.04V","-","Cell (16)","3.504"" L x 2.165"" W x 0.079"" H (89.00mm x 55.00mm x 2.00mm)"
https://www.powerfilmsolar.com/media/cms/Electronic_Component_Spec_Sheet_Cla_77DEA84523C82.pdf,//media.digikey.com/Photos/PowerFilm%20Inc.%20Photos/MFG_SP3-37.jpg,1996-1022-ND,SP3-37,PowerFilm Inc.,SOLAR MODULE: 3V 22MA,246,0,"2.96000","0","1","Wireless Electronics","Active","70mW","22mA","3V","28mA","-","4.6V","-","Cells","2.520"" L x 1.449"" W x 0.009"" H (64.00mm x 36.80mm x 0.22mm)"
https://www.powerfilmsolar.com/media/cms/Electronic_Component_Spec_Sheet_Cla_77DEA84523C82.pdf,//media.digikey.com/Photos/PowerFilm%20Inc.%20Photos/MFG_SP4.2-37.jpg,1996-1025-ND,SP4.2-37,PowerFilm Inc.,SOLAR MODULE: 4.2V 22MA,400,0,"4.01000","0","1","Wireless Electronics","Active","90mW","22mA","4.2V","28mA","-","6.5V","-","Cells","3.311"" L x 1.449"" W x 0.009"" H (84.10mm x 36.80mm x 0.22mm)"
https://www.powerfilmsolar.com/media/cms/Electronic_Component_Spec_Sheet_Cla_77DEA84523C82.pdf,//media.digikey.com/Photos/PowerFilm%20Inc.%20Photos/MFG_MP3-25.jpg,1996-1023-ND,MP3-25,PowerFilm Inc.,SOLAR MODULE: 3V 25MA,545,0,"4.62000","0","1","Wireless Electronics","Active","90mW","31mA","3V","35mA","-","4.6V","-","Cells","4.488"" L x 0.945"" W x 0.009"" H (114.00mm x 24.00mm x 0.22mm)"
https://www.powerfilmsolar.com/media/cms/Electronic_Component_Spec_Sheet_Cla_77DEA84523C82.pdf,//media.digikey.com/Photos/PowerFilm%20Inc.%20Photos/MFG_MP3-37.jpg,1996-1024-ND,MP3-37,PowerFilm Inc.,SOLAR MODULE: 3V 50MA,450,0,"4.77000","0","1","Wireless Electronics","Active","150mW","50mA","3V","63mA","-","4.6V","-","Cells","4.488"" L x 1.449"" W x 0.009"" H (114.00mm x 36.80mm x 0.22mm)"
https://www.powerfilmsolar.com/media/cms/Electronic_Component_Spec_Sheet_Cla_77DEA84523C82.pdf,//media.digikey.com/Photos/PowerFilm%20Inc.%20Photos/MFG_MPT3.6-75.jpg,1996-1020-ND,MPT3.6-75,PowerFilm Inc.,SOLAR MODULE: 3.6V 50MA,243,0,"6.07000","0","1","Wireless Electronics","Active","180mW","50mA","3.6V","64mA","-","5.5V","-","Cells","2.909"" L x 2.870"" W x 0.009"" H (73.90mm x 72.90mm x 0.22mm)"
https://www.powerfilmsolar.com/media/cms/Electronic_Component_Spec_Sheet_Ind_D6610A53FE370.pdf,//media.digikey.com/Photos/PowerFilm%20Inc.%20Photos/MFG_LL200-3-37.jpg,1996-1017-ND,LL200-3-37,PowerFilm Inc.,LOW LIGHT SOLAR MODULE: 2.1V 200,104,0,"7.07000","0","1","Low-Light","Active","1.17mW","450µA","2.6V","-","-","4.6V","-","Cells","4.488"" L x 1.449"" W (114.00mm x 36.80mm)"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Optoelectronics.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_3604.jpg,1927-1051-ND,3604,Kitronik Ltd.,3.0V 100MA POLYCRYSTALLINE SOLAR,129,0,"8.48000","0","1","-","Active","-","100mA","3V","-","Photovoltaic","-","-","Cells","2.362"" L x 1.890"" W x 0.118"" H (60.00mm x 48.00mm x 3.00mm)"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_2018_en.pdf,//media.digikey.com/photos/Sanyo%20Photos/AM-1456CA.jpg,869-1002-ND,AM-1456CA,Panasonic - BSG,SOLAR CELL AM 25MM X 10MM,1349,0,"1.49000","0","1","Amorton","Active","7.95µW","5.3µA","1.5V","6µA","Amorphous","2.4V","-10°C ~ 60°C","Cells","0.984"" L x 0.394"" W x 0.043"" H (25.00mm x 10.00mm x 1.10mm)"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_2018_en.pdf,//media.digikey.com/Photos/Sanyo%20Photos/AM-1801CA.jpg,869-1003-ND,AM-1801CA,Panasonic - BSG,SOLAR CELL AM 53MM X 25MM,216,0,"4.27000","0","1","Amorton","Active","-","18.5µA","3V","20µA","Amorphous","4.9V","-10°C ~ 60°C","Cells","0.984"" L x 2.087"" W x 0.043"" H (25.00mm x 53.00mm x 1.10mm)"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_2018_en.pdf,//media.digikey.com/Photos/Sanyo%20Photos/AM-1815CA.jpg,869-1004-ND,AM-1815CA,Panasonic - BSG,SOLAR CELL AM 58.1MM X 48.6MM,869,0,"5.55000","0","1","Amorton","Active","126µW","42µA","3V","47µA","Amorphous","4.9V","-10°C ~ 60°C","Cells","2.287"" L x 1.913"" W x 0.043"" H (58.10mm x 48.60mm x 1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/0.5w_Solar_Panel_55_70_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_313070004.jpg,1597-1417-ND,313070004,"Seeed Technology Co., Ltd",0.5W SOLAR PANEL 55X70,285,0,"6.37000","0","1","-","Active","500mW","100mA","5.5V","-","Monocrystalline","8.2V","-","Cells","2.750"" L x 2.165"" W x 0.059"" H (70.00mm x 55.00mm x 1.50mm)"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_2018_en.pdf,//media.digikey.com/photos/Sanyo%20Photos/AM-5904CAR.jpg,869-1012-ND,AM-5904CAR,Panasonic - BSG,SOLAR CELL AM 40.1MM X 33.1MM,115,0,"7.07000","0","1","Amorton","Active","49.5mW","9.9mA","5V","-","Amorphous","7.7V","-10°C ~ 60°C","Cells","1.579"" L x 1.303"" W x 0.074"" H (40.10mm x 33.10mm x 1.80mm)"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_2018_en.pdf,//media.digikey.com/photos/Sanyo%20Photos/AM-5412CAR.jpg,869-1007-ND,AM-5412CAR,Panasonic - BSG,SOLAR CELL AM 50.1MM X 33.1MM,125,0,"8.02000","0","1","Amorton","Active","87.6mW","39.8mA","2.2V","-","Amorphous","3.4V","-10°C ~ 60°C","Cells","1.972"" L x 1.303"" W x 0.074"" H (50.10mm x 33.10mm x 1.80mm)"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_2018_en.pdf,//media.digikey.com/Photos/Sanyo%20Photos/AM-1816CA.jpg,869-1005-ND,AM-1816CA,Panasonic - BSG,SOLAR CELL AM 96.7MM X 56.7MM,220,0,"8.71000","0","1","Amorton","Active","252µW","84µA","3V","94µA","Amorphous","4.9V","-10°C ~ 60°C","Cells","3.807"" L x 2.232"" W x 0.043"" H (96.70mm x 56.70mm x 1.10mm)"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_2018_en.pdf,//media.digikey.com/Photos/Sanyo%20Photos/AM-5608CAR.jpg,869-1008-ND,AM-5608CAR,Panasonic - BSG,SOLAR CELL AM 60.1MM X 41.3MM,128,0,"9.98000","0","1","Amorton","Active","119mW","36mA","3.3V","-","Amorphous","5.1V","-10°C ~ 60°C","Cells","2.366"" L x 1.626"" W x 0.074"" H (60.10mm x 41.30mm x 1.80mm)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/313070005_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_313070005.jpg,1597-1418-ND,313070005,"Seeed Technology Co., Ltd",1W SOLAR PANEL 80X100,642,0,"12.74000","0","1","-","Active","1W","170mA","5.5V","-","Monocrystalline","8.2V","-","Cells","3.940"" L x 3.150"" W (100.00mm x 80.00mm)"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ca_amorton_solar_cells_2018_en.pdf,//media.digikey.com/photos/Sanyo%20Photos/AM-5706CAR.jpg,869-1010-ND,AM-5706CAR,Panasonic - BSG,SOLAR CELL AM 70MM X 50MM,137,0,"14.20000","0","1","Amorton","Active","179mW","45.9mA","3.9V","-","Amorphous","6V","-10°C ~ 60°C","Cells","2.750"" L x 1.969"" W x 0.074"" H (70.00mm x 50.00mm x 1.80mm)"
http://ixapps.ixys.com/DataSheet/KXOB25-14X1F.pdf,//media.digikey.com/Photos/IXYS%20Photos/KXOB25-SERIES.jpg,KXOB25-14X1FTR-ND,KXOB25-14X1F-TR,IXYS,SOLAR CELL MONO 25% 22X8MM,2500,0,"1.22400","0","2500","IXOLAR™","Active","30.7mW","55mA","560mV","58.6mA","Monocrystalline","690mV","-40°C ~ 90°C","Cells","0.906"" L x 0.315"" W x 0.071"" H (23.00mm x 8.00mm x 1.80mm)"
http://ixapps.ixys.com/DataSheet/KXOB25-14X1F.pdf,//media.digikey.com/Photos/IXYS%20Photos/KXOB25-SERIES.jpg,KXOB25-14X1FCT-ND,KXOB25-14X1F-TR,IXYS,SOLAR CELL MONO 25% 22X8MM,4937,0,"2.03000","0","1","IXOLAR™","Active","30.7mW","55mA","560mV","58.6mA","Monocrystalline","690mV","-40°C ~ 90°C","Cells","0.906"" L x 0.315"" W x 0.071"" H (23.00mm x 8.00mm x 1.80mm)"
http://ixapps.ixys.com/DataSheet/KXOB25-14X1F.pdf,//media.digikey.com/Photos/IXYS%20Photos/KXOB25-SERIES.jpg,KXOB25-14X1FDKR-ND,KXOB25-14X1F-TR,IXYS,SOLAR CELL MONO 25% 22X8MM,4937,0,"Digi-Reel","0","1","IXOLAR™","Active","30.7mW","55mA","560mV","58.6mA","Monocrystalline","690mV","-40°C ~ 90°C","Cells","0.906"" L x 0.315"" W x 0.071"" H (23.00mm x 8.00mm x 1.80mm)"
http://ixapps.ixys.com/DataSheet/KXOB25-14X1F.pdf,//media.digikey.com/Photos/IXYS%20Photos/KXOB25-SERIES.jpg,KXOB25-14X1F-ND,KXOB25-14X1F,IXYS,SOLAR CELL MONO 25% 22X8MM,4914,0,"1.76000","0","1","IXOLAR™","Active","30.7mW","55mA","560mV","58.6mA","Monocrystalline","690mV","-40°C ~ 90°C","Cells","0.906"" L x 0.315"" W x 0.071"" H (23.00mm x 8.00mm x 1.80mm)"
http://ixapps.ixys.com/DataSheet/KXOB25-05X3F.pdf,//media.digikey.com/Photos/IXYS%20Photos/KXOB25-SERIES.jpg,KXOB25-05X3F-ND,KXOB25-05X3F,IXYS,SOLAR CELL MONO 25% 23X8MM,2748,0,"2.10000","0","1","IXOLAR™","Active","30.7mW","18.4mA","1.67V","19.5mA","Monocrystalline","2.07V","-40°C ~ 90°C","Cells","0.906"" L x 0.315"" W x 0.071"" H (23.00mm x 8.00mm x 1.80mm)"
http://ixapps.ixys.com/DataSheet/KXOB25-02X8F.pdf,//media.digikey.com/Photos/IXYS%20Photos/KXOB25-SERIES.jpg,KXOB25-02X8F-ND,KXOB25-02X8F,IXYS,SOLAR CELL MONO 25% 23X8MM,1927,0,"2.52000","0","1","IXOLAR™","Active","26.3mW","5.9mA","4.46V","6.3mA","Monocrystalline","5.53V","-40°C ~ 90°C","Cells","0.906"" L x 0.315"" W x 0.071"" H (23.00mm x 8.00mm x 1.80mm)"
http://ixapps.ixys.com/DataSheet/SM141K04LV.pdf,-,SM141K04LV-ND,SM141K04LV,IXYS,SOLAR CELL MONO 25% 45X15MM,1985,0,"3.23000","0","1","IXOLAR™","Active","123mW","55.1mA","2.23V","58.6mA","Monocrystalline","2.76V","-40°C ~ 90°C","Cells","1.772"" L x 0.591"" W x 0.083"" H (45.00mm x 15.00mm x 2.10mm)"
