Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensor Type","Output Type","Operating Temperature"
https://ams.com/documents/20143/36005/TSL1401CL_DS000136_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TSL1401CL.jpg,TSL1401CLTR-ND,TSL1401CL,ams,IC LINEAR SENSOR ARRAY 128X1 CL,38000,0,"3.70500","0","1000","-","Active","Linear Optical Array","Analog Voltage","-"
https://ams.com/documents/20143/36005/TSL1401CL_DS000136_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TSL1401CL.jpg,TSL1401CLCT-ND,TSL1401CL,ams,IC LINEAR SENSOR ARRAY 128X1 CL,38026,0,"8.31000","0","1","-","Active","Linear Optical Array","Analog Voltage","-"
https://ams.com/documents/20143/36005/TSL1401CL_DS000136_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TSL1401CL.jpg,TSL1401CLDKR-ND,TSL1401CL,ams,IC LINEAR SENSOR ARRAY 128X1 CL,38026,0,"Digi-Reel","0","1","-","Active","Linear Optical Array","Analog Voltage","-"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3935.pdf,//media.digikey.com/Renders/AMS%20Renders/16-QFN.jpg,AS3935-BQFTTR-ND,AS3935-BQFT,ams,IC SENSOR LIGHTNING MLPQ-16,3000,0,"4.48000","0","1000","-","Active","Lightning","I²C, SPI","-"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3935.pdf,//media.digikey.com/Renders/AMS%20Renders/16-QFN.jpg,AS3935-BQFTCT-ND,AS3935-BQFT,ams,IC SENSOR LIGHTNING MLPQ-16,3790,0,"10.03000","0","1","-","Active","Lightning","I²C, SPI","-"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3935.pdf,//media.digikey.com/Renders/AMS%20Renders/16-QFN.jpg,AS3935-BQFTDKR-ND,AS3935-BQFT,ams,IC SENSOR LIGHTNING MLPQ-16,3790,0,"Digi-Reel","0","1","-","Active","Lightning","I²C, SPI","-"
https://ams.com/documents/20143/36005/TSL3301_DS000155_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TSL3301CL.jpg,TSL3301-CLTR-ND,TSL3301CL,ams,IC LINEAR SENSOR ARRAY 8CHIPLED,5000,0,"4.49400","0","1000","-","Active","Optical","SPI","0°C ~ 70°C (TA)"
https://ams.com/documents/20143/36005/TSL3301_DS000155_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TSL3301CL.jpg,TSL3301-CLCT-ND,TSL3301CL,ams,IC LINEAR SENSOR ARRAY 8CHIPLED,5643,0,"10.06000","0","1","-","Active","Optical","SPI","0°C ~ 70°C (TA)"
https://ams.com/documents/20143/36005/TSL3301_DS000155_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TSL3301CL.jpg,TSL3301-CLDKR-ND,TSL3301CL,ams,IC LINEAR SENSOR ARRAY 8CHIPLED,5643,0,"Digi-Reel","0","1","-","Active","Optical","SPI","0°C ~ 70°C (TA)"
https://datasheets.maximintegrated.com/en/ds/MAX30101.pdf,//media.digikey.com/Photos/Maxim%20Photos/MAX30101EFD+_A.JPG,MAX30101EFD+-ND,MAX30101EFD+,Maxim Integrated,INTEGRATED OPTICAL SENSOR,4740,33488,"8.54000","0","1","-","Active","Oximeter/Heart Rate","I²C","-40°C ~ 85°C (TA)"
https://datasheets.maximintegrated.com/en/ds/MAX30102.pdf,//media.digikey.com/Photos/Maxim%20Photos/MAX3010xEFD+_A.JPG,MAX30102EFD+-ND,MAX30102EFD+,Maxim Integrated,IC SENSOR OXIMETER/HEARTRATE,421,0,"9.28000","0","1","-","Active","Oximeter/Heart Rate","I²C","-40°C ~ 85°C (TJ)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Optoelectronics/Datasheets/OPB350.pdf,//media.digikey.com/photos/TT%20Electronics-Optek%20Photos/OCB350L187Z.JPG,365-1531-ND,OCB350L187Z,TT Electronics/Optek Technology,BOARD CALIBR CIRCUIT OPB350L187,1632,0,"19.20000","0","1","OCB350","Active","Tube Liquid Sensor","Analog","-"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Optoelectronics/Datasheets/OPB350.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/OCB350L125Z.jpg,365-1530-ND,OCB350L125Z,TT Electronics/Optek Technology,BOARD CALIBR CIRCUIT OPB350L125,282,0,"19.20000","0","1","OCB350","Active","Tube Liquid Sensor","Analog","-"
//media.digikey.com/pdf/Data%20Sheets/LEM%20USA%20PDFs/LV%2020-P.pdf,//media.digikey.com/photos/LEM%20Photos/LV%2020-P.jpg,398-1020-ND,LV 20-P,LEM USA Inc.,TRANSDUCR VOLTAG CLOSE LOOP 10MA,715,0,"45.54000","0","1","LV","Active","Voltage, Closed Loop","Voltage","-"
https://lunainc.com/wp-content/uploads/2016/06/1124511221.pdf,//media.digikey.com/photos/Advanced%20Photonix%20Photos/MFG_SD112-45-11-221.JPG,SD112-45-11-221-ND,SD112-45-11-221,Advanced Photonix,DETECTOR/AMP BLUE 600MOHM TO-5,39,0,"82.13000","0","1","-","Active","-","-","-"
http://ae-bcds.resource.bosch.com/media/_tech/2017_05_19_Datasheet_TDL.pdf,//media.digikey.com/Photos/Bosch%20Sensortec/MFG_TDL110.jpg,1723-1001-ND,TDL110,Bosch Connected Devices and Solutions,TRANSPORT DATA LOGGER 110,79,0,"99.00000","0","1","-","Active","Humidity, Temperature, Shock, Tilt","Bluetooth","-25°C ~ 80°C"
https://www.nidec-copal-electronics.com/e/catalog/liquid-leak-sensor/wl10.pdf,//media.digikey.com/Photos/Copal%20Photos/MFG_WL10.JPG,563-1956-ND,WL10-NP-2,Nidec Copal Electronics,LIQUID LEAK SENSORS NPN OC,164,0,"135.00000","0","1","WL10","Active","Liquid Leakage","NPN - Open Collector","-10°C ~ 60°C (TA)"
