Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products","Contents"
https://www.sitime.com/sites/default/files/gated/Time-Machine-User-Manual_v2.11_TMII.pdf,//media.digikey.com/Photos/SiTime/SIT6100DK.jpg,1473-1000-ND,SIT6100DK,SiTIME,MEMS OSCILLATOR PROGRAMMER,7,0,"248.63000","0","1","Time Machine II™","Active","Field Oscillator","MEMS Oscillators","Programmer, Programmable Oscillators, Socket Cards, Software, Tweezers, USB Cable"
-,//media.digikey.com/photos/Microchip%20Tech%20Photos/DSC-TIMEFLASH2-KIT1.jpg,DSC-TIMEFLASH2-KIT1-ND,DSC-TIMEFLASH2-KIT1,Microchip Technology,TIMEFLASH OSCILLATOR PROGRAMMING,11,0,"279.00000","0","1","TimeFlash2","Active","Programming Kit","MEMS Oscillators","Cable, Programmer, Socket Cards, Software, Tweezer, USB Flash Drive"
-,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DSC-TIMEFLASH2-KIT2.jpg,DSC-TIMEFLASH2-KIT2-ND,DSC-TIMEFLASH2-KIT2,Microchip Technology,PROGRAMMING KIT WITH 2 SOCKET CA,13,0,"149.00000","0","1","TimeFlash","Active","Programming Kit","MEMS Oscillators","Cable, Programmer, Socket Cards, Software, Tweezer, USB Flash Drive"
//media.digikey.com/pdf/Data%20Sheets/Cardinal%20Components%20PDFs/PG-2000.pdf,//media.digikey.com/photos/Cardinal%20Components%20Photos/PG2000P.jpg,PG2000P-ND,PG2000P,Cardinal Components Inc.,OSC PROGRAMMER HAND HELD,0,0,"Obsolete","0","1","-","Obsolete","Field Oscillator","FIPO Parts","Programmer"
-,//media.digikey.com/photos/ECS%20Photos/ECS-PCPRO.jpg,ECS-PCPRO-ND,ECS-PCPRO,ECS Inc.,PROGRAMMER PC BASED,0,0,"Obsolete","0","1","CrystalPro","Obsolete","PC-Based","Oscillator, TCXO and VCXO Devices","Programmer, Adapter, Cable, Manual and Software"
-,-,PG-4000-ND,PG-4000,Cardinal Components Inc.,PROGRAMMER MULTIFREQUENCY,0,0,"Obsolete","0","1","-","Obsolete","Field Oscillator","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cardinal%20Components%20PDFs/PG-3000.pdf,//media.digikey.com/photos/Cardinal%20Components%20Photos/PG-3000.jpg,PG-3000-ND,PG-3000,Cardinal Components Inc.,PROGRAMMER USB FIELD OSC,0,0,"Obsolete","0","1","-","Obsolete","Field Oscillator","FIPO Parts","Programmer, Cable, Software"
//media.digikey.com/pdf/Data%20Sheets/Cardinal%20Components%20PDFs/PG-3100.pdf,//media.digikey.com/photos/Cardinal%20Components%20Photos/PG-3100.jpg,PG3100-ND,PG3100,Cardinal Components Inc.,PROGRAMMER FOR FIPO/HF PECL/LVDS,0,0,"Obsolete","0","1","-","Obsolete","Field Oscillator","FIPO, Hi-Freq PECL, LVDS Parts","PC-Based"
//media.digikey.com/pdf/Data%20Sheets/Abracon%20Corp%20PDFs/MEMSpeed%20Pro%20Flyer.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MEMSPEED%20PRO%20DELUXE%20KIT.JPG,535-10056-ND,MEMSPEED PRO DELUXE KIT,Abracon LLC,MEMSPEED PRO DELUXE KIT,0,0,"Obsolete","0","1","MEMSPEED PRO™","Obsolete","Programming Kit","Oscillators","Programmer, 2 Socket Adapters, 100 ASFLM, 100 ASEM Blank Oscillators, Cable, Documentation, Installation CD, Tweezers"
//media.digikey.com/pdf/Data%20Sheets/Abracon%20Corp%20PDFs/MEMSpeed%20Pro%20Flyer.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MEMSPEED%20PRO%20ASFLM%20ASEM%20KIT.JPG,535-10057-ND,MEMSPEED PRO ASFLM KIT,Abracon LLC,MEMSPEED PRO STANDARD ASFLM KIT,0,0,"Obsolete","0","1","MEMSPEED PRO™","Obsolete","Programming Kit","Oscillators","Programmer, Socket Adapter, 50 ASFLM Blank Oscillators, Cable, Documentation, Installation CD, Tweezers"
//media.digikey.com/pdf/Data%20Sheets/Abracon%20Corp%20PDFs/MEMSpeed%20Pro%20Flyer.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MEMSPEED%20PRO%20ASFLM%20ASEM%20KIT.JPG,535-10058-ND,MEMSPEED PRO ASEM KIT,Abracon LLC,MEMSPEED PRO STANDARD ASEM KIT,0,0,"Obsolete","0","1","MEMSPEED PRO™","Obsolete","Programming Kit","Oscillators","Programmer, Socket Adapter, 50 ASEM Blank Oscillators, Cable, Documentation, Installation CD, Tweezers"
