Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Frequency - Center","Voltage - Supply","Tuning Voltage (VDC)","2nd Harmonic, Typ (dBc)","Icc Max","Pushing (MHz/V)","Power (dBm)","Phase Noise Typ (dBc/Hz)","Operating Temperature","Package / Case","Size / Dimension","Height"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc510.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/32-TFQFN%20Exposed%20Pad.jpg,1127-1439-2-ND,HMC510LP5ETR,Analog Devices Inc.,VCO 4.5GHZ/9GHZ 2-13V 5X5MM,500,0,"26.75188","0","500","Tape & Reel (TR)","-","Active","4.225 ~ 4.775GHz, 8.45 ~ 9.55GHz","4.5GHz, 9GHz","5V","2V ~ 13V","15","360mA","20","-6±2, 11±3, 12.5±2.5","-116","-40°C ~ 85°C","32-VFQFN Exposed Pad, CSP","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.039"" (1.00mm)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc510.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/32-TFQFN%20Exposed%20Pad.jpg,1127-1439-1-ND,HMC510LP5ETR,Analog Devices Inc.,VCO 4.5GHZ/9GHZ 2-13V 5X5MM,517,0,"38.49000","0","1","Cut Tape (CT)","-","Active","4.225 ~ 4.775GHz, 8.45 ~ 9.55GHz","4.5GHz, 9GHz","5V","2V ~ 13V","15","360mA","20","-6±2, 11±3, 12.5±2.5","-116","-40°C ~ 85°C","32-VFQFN Exposed Pad, CSP","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.039"" (1.00mm)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc510.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/32-TFQFN%20Exposed%20Pad.jpg,1127-1439-6-ND,HMC510LP5ETR,Analog Devices Inc.,VCO 4.5GHZ/9GHZ 2-13V 5X5MM,517,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","4.225 ~ 4.775GHz, 8.45 ~ 9.55GHz","4.5GHz, 9GHz","5V","2V ~ 13V","15","360mA","20","-6±2, 11±3, 12.5±2.5","-116","-40°C ~ 85°C","32-VFQFN Exposed Pad, CSP","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.039"" (1.00mm)"
http://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CC-0860-0960.pdf,//media.digikey.com/Photos/Crystek%20Photos/MFG_CVCO55CC%20SERIES.jpg,744-1478-ND,CVCO55CC-0860-0960,Crystek Corporation,VCO 910MHZ 0.5-4.5V 12.7X12.7MM,218,0,"32.65000","0","1","Strip","CVCO55","Active","860 ~ 960MHz","910MHz","5V","0.5V ~ 4.5V","-12","30mA","0.6","3 ±3","-113","-40°C ~ 85°C","16-QFN, Variant","0.500"" L x 0.500"" W (12.70mm x 12.70mm)","0.220"" (5.59mm)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc510.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/32-TFQFN%20Exposed%20Pad.jpg,1127-2983-ND,HMC510LP5E,Analog Devices Inc.,VCO 4.5GHZ/9GHZ 2-13V 5X5MM,219,0,"38.64000","0","1","Strip","-","Active","4.225 ~ 4.775GHz, 8.45 ~ 9.55GHz","4.5GHz, 9GHz","5V","2V ~ 13V","15","360mA","20","-6±2, 11±3, 12.5±2.5","-116","-40°C ~ 85°C","32-VFQFN Exposed Pad, CSP","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.039"" (1.00mm)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc511.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/32-TFQFN%20Exposed%20Pad.jpg,1127-2984-ND,HMC511LP5E,Analog Devices Inc.,VCO 4.8GHZ/9.6GHZ 2-13V 5X5MM,146,0,"38.64000","0","1","Strip","-","Active","4.525 ~ 5.075GHz, 9.05 ~ 10.15GHz","4.8GHz, 9.6GHz","5V","2V ~ 13V","15","300mA","15","8±3, 12.5±3.5","-115","-40°C ~ 85°C","32-VFQFN Exposed Pad, CSP","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.039"" (1.00mm)"
http://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CL-0042-0046.pdf,//media.digikey.com/Photos/Crystek%20Photos/MFG_CVCO55CL%20SERIES.jpg,744-1164-ND,CVCO55CL-0042-0046,Crystek Corporation,VCO 44MHZ 0.5-4.5V 12.7X12.7MM,135,0,"24.31000","0","1","Strip","CVCO55","Active","42 ~ 46MHz","44MHz","5V","0.5V ~ 4.5V","-13","8mA","1","-1 ±2","-116","-40°C ~ 85°C","16-QFN, Variant","0.500"" L x 0.500"" W (12.70mm x 12.70mm)","0.150"" (3.81mm)"
http://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55CL-0800-0980.pdf,//media.digikey.com/Photos/Crystek%20Photos/MFG_CVCO55CL%20SERIES.jpg,744-1196-ND,CVCO55CL-0800-0980,Crystek Corporation,VCO 890MHZ 0.5-5V 12.7X12.7MM,193,0,"25.30000","0","1","Strip","CVCO55","Active","800 ~ 980MHz","890MHz","5V","0.5V ~ 5V","-22","25mA","2","3 ±3","-100","-40°C ~ 85°C","16-QFN, Variant","0.500"" L x 0.500"" W (12.70mm x 12.70mm)","0.150"" (3.81mm)"
http://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55BE-1785-1900.pdf,//media.digikey.com/photos/Crystek%20Photos/MFG_CVCO55BE.jpg,744-1090-ND,CVCO55BE-1785-1900,Crystek Corporation,VCO 1842.5MHZ 0.3-4.7V 12.7X12.7,251,0,"25.96000","0","1","Strip","CVCO55","Active","1785 ~ 1900MHz","1842.5MHz","5V","0.3V ~ 4.7V","-15","35mA","2","2.5 ±2.5","-100","-40°C ~ 85°C","16-QFN, Variant","0.500"" L x 0.500"" W (12.70mm x 12.70mm)","0.150"" (3.81mm)"
http://www.crystek.com/microwave/admin/webapps/welcome/files/vco/CVCO55BE-1530-2700.pdf,//media.digikey.com/photos/Crystek%20Photos/MFG_CVCO55BE.jpg,744-1115-ND,CVCO55BE-1530-2700,Crystek Corporation,VCO 2115MHZ 0.5-10V 12.7X12.7MM,235,0,"25.96000","0","1","Strip","CVCO55","Active","1530 ~ 2700MHz","2115MHz","5V","0.5V ~ 10V","-15","30mA","25","6.5 ±1.5","-87","-40°C ~ 75°C","16-QFN, Variant","0.500"" L x 0.500"" W (12.70mm x 12.70mm)","0.150"" (3.81mm)"
