Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
http://www.chipquik.com/datasheets/SMD1.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/SMD1.jpg,SMD1-ND,SMD1,Chip Quik Inc.,REMOVAL KIT FOR COMPONENTS SMD,195,0,"16.00000","0","1","-","Active","Solder Removal Kit","-"
http://www.chipquik.com/datasheets/SMD4.5NL.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/SMD4.5NL.JPG,SMD4.5NL-ND,SMD4.5NL,Chip Quik Inc.,REMOVAL ALLOY 4.5' LEAD FREE,104,0,"34.00000","0","1","-","Active","Removal Alloy","-"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/DPT-100.jpg,K413-ND,DPT-100,Jonard Tools,TIP REPLACEMNT FOR DP-100,156,0,"3.13000","0","1","-","Active","-","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/BA60.JPG,BA60-ND,BA60,Apex Tool Group,ASSY BARREL NUT FOR PES51&50,328,0,"8.40000","0","1","-","Active","Barrel Nut Assembly","Weller® TC201, EC1201, WIL24"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/WS102.JPG,WS102N-ND,WS102N,Apex Tool Group,ASSY BARREL NUT FOR WSP80,234,0,"9.40000","0","1","-","Active","Tip Retainer","Weller® WSP80"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/WSA350F.jpg,WSA350F-ND,WSA350F,Apex Tool Group,FILTERS CARBON FOR WSA350 3/PK,849,0,"9.80000","0","1","-","Active","Filter","Weller® WSA350"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0058741815N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0058741815.JPG,T0058741815N-ND,T0058741815N,Apex Tool Group,COLLECTION TUBE FOR DXV80 5/PKG,287,0,"9.90000","0","1","Weller®, DXV80","Active","Collection Tube","Weller® DXV80"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_TSM1.jpg,TSM1-ND,TSM1,Apex Tool Group,SOLDER-MATE 1LB SOLDER DISPENSER,193,0,"11.70000","0","1","-","Active","Solder Reel Dispenser, Stand","Solder Wire"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0058744845N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0058744845.JPG,T0058744845N-ND,T0058744845N,Apex Tool Group,TIP RETAINER ASSY SHORT FOR WP80,122,0,"14.20000","0","1","Weller®, WP80","Active","Tip Retainer","Weller® WP80"
http://www.avenconnect.com/product_sheets/17010.pdf,//media.digikey.com/Photos/Aven%20Photos/17010.jpg,243-1223-ND,17010,Aven Tools,ADJUSTABLE CIRCUIT BOARD HOLDER,255,0,"14.91000","0","1","-","Active","PCB Holder","-"
