Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Form","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature","Shipping Info"
http://www.chipquik.com/datasheets/CQ4LF.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_CQ4LF.JPG,CQ4LF-ND,CQ4LF,Chip Quik Inc.,FLUX - NO CLEAN PEN 0.34 OZ,982,0,"7.95000","0","1","CHIPQUIK®","Active","Flux - No Clean","Pen, 0.34 oz (9.64g)","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
http://www.chipquik.com/datasheets/SMD291NL.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/SMD291NL.JPG,SMD291NL-ND,SMD291NL,Chip Quik Inc.,FLUX NO-CLEAN LEAD-FREE 5CC SYR,392,0,"11.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Lead Free","Syringe, 0.18 oz (5g), 5cc","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
https://www.mgchemicals.com/downloads/tds/tds-8342-l.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_8342-50G.jpg,473-1234-ND,8342-50G,MG Chemicals,RA ROSIN FLUX PASTE 1.28OZ,1991,0,"12.16000","0","1","-","Active","Flux - Rosin Activated (RA), Tacky Solder","Jar, 1.76 oz (50g)","-","-","-","-"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/65F6E7E0F53FB64D882571870000DBB1/$File/MFR301-EN.pdf,//media.digikey.com/Photos/Multicore/760089.JPG,82-145-ND,760089,Multicore,MFR301 FLUX PENS (RMA) 10ML,319,0,"14.48000","0","1","-","Active","Flux - Rosin Mildly Activated (RMA)","Pen, 0.35 oz (10g)","12 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/SMD291ST2CC6.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/SMD291ST2CC6.jpg,SMD291ST2CC6-ND,SMD291ST2CC6,Chip Quik Inc.,"TACK FLUX 6 PACK, 2CC TUBES",121,0,"14.85000","0","1","CHIPQUIK®","Active","Flux - No Clean","Tube, 0.07 oz (2g), 2cc","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
https://www.chemtronics.com/content/msds/Cw8400TDS.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CW8400.jpg,CW8400-ND,CW8400,Chemtronics,FLUX DISPENSING PEN LEAD-FREE,1576,0,"15.15000","0","1","CircuitWorks®","Active","Flux - No Clean, Lead Free","Pen, 0.32 oz (9g)","24 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/SMD291.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/SMD291.jpg,SMD291-ND,SMD291,Chip Quik Inc.,FLUX NO-CLEAN 10CC SYR SMD,387,0,"15.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Tacky Solder","Syringe, 0.35 oz (10g), 10cc","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
http://www.chipquik.com/datasheets/SMD4300TF10.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/SMD4300TF10.JPG,SMD4300TF10-ND,SMD4300TF10,Chip Quik Inc.,TACK FLUX 10CC WATER WASHABLE,160,0,"17.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Water-Soluble, Liquid","Syringe, 0.35 oz (10g), 10cc","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","Ships with Cold Pack. To ensure customer satisfaction and product integrity, air shipment is recommended."
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_8341-10ML.jpg,473-1117-ND,8341-10ML,MG Chemicals,FLUX PASTE NO CLEAN IN SYRINGE,143,0,"18.33000","0","1","-","Active","Flux - No Clean","Syringe, 0.35 oz (10g), 10cc","24 Months","Date of Manufacture","65°F ~ 80°F (18°C ~ 27°C)","-"
https://www.chemtronics.com/content/msds/TDS_ES1035.pdf,//media.digikey.com/Photos/ITW%20Chemtronics%20Photos/ES835B.jpg,ES835B-ND,ES835B,Chemtronics,FLUX REMOVER 5 OZ AEROSOL,218,0,"21.80000","0","1","-","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Ionic","Aerosol, 5 oz (141.75g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
http://multimedia.3m.com/mws/media/533537O/3mtm-novectm-flux-remover.pdf?fn=NovecFluxRem_6000930.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_NOVEC-FLUX-REMOVER.jpg,3M155811-ND,NOVEC FLUX REMOVER,3M,FLUX REMOVER AEROSOL CAN 12OZ,110,0,"25.17000","0","1","NOVEC™","Active","Flux Remover - Rosin, Non-Rosin, No Clean, Lead Free","Aerosol, 12 oz (340.19g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1634_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1634-12S.jpg,1873-1001-ND,1634-12S,Techspray,G3 NO-CLEAN FLUX REMOVER G3,109,0,"29.45000","0","1","G3","Active","Flux Remover - No Clean","Can, 12 oz (340.19g)","-","-","-","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1631_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1631-16S.jpg,1873-1102-ND,1631-16S,Techspray,G3 FLUX REMOVER (ORM-D),220,0,"31.28000","0","1","G3","Active","Flux Remover - Lead Free","Aerosol, 16 oz (453.59g)","-","-","-","Due to possible restrictions, a change in ship method may be required."
http://www.chipquik.com/datasheets/SMD29130CC.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/SMD29130CC.jpg,SMD29130CC-ND,SMD29130CC,Chip Quik Inc.,TACK FLUX 30CC W/HANDLE & TIP,186,0,"36.95000","0","1","CHIPQUIK®","Active","Flux - No Clean, Tacky Solder","Syringe, 1.06 oz (30g), 30cc","24 Months","Date of Manufacture","37°F ~ 77°F (3°C ~ 25°C)","-"
https://www.chemtronics.com/content/msds/TDS_ES7200.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES7208B.jpg,ES7208B-ND,ES7208B,Chemtronics,FLUX-OFF BRUSH CLEAN AEROSOL,112,0,"55.56000","0","1","Flux-Off® CZ","Active","Flux Remover - Rosin, No-Clean, Ionic","Aerosol, 5 oz (141.75g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
