Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Input","Features"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/photos/Cooper%20Industries%20Photos/WSA350.JPG,WSA350-ND,WSA350,Apex Tool Group,FUME ABSORBER BENCH TOP,360,0,"95.00000","0","1","Weller®","Active","Bench Top","-","ESD Safe"
http://www.avenconnect.com/product_sheets/17015_Product_Sheet.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_17015.jpg,243-1318-ND,17015,Aven Tools,FUME ABSORBER BENCH TOP 120V,306,0,"43.63000","0","1","-","Active","Bench Top","120V","ESD Safe"
-,//media.digikey.com/Photos/Hakko/MFG_FA-400_up.jpg,1691-1039-ND,FA400-04,"American Hakko Products, Inc.",FUME ABSORBER BENCH TOP,138,0,"75.67000","0","1","FA","Active","Bench Top","-","ESD Safe"
https://www.hakkousa.com/files/index/download/id/17549/,//media.digikey.com/Photos/Hakko/MFG_FA430-16_contents.jpg,1691-1040-ND,FA430-16,"American Hakko Products, Inc.",FUME ABSORBER BENCH TOP,32,0,"625.07000","0","1","FA","Active","Bench Top","-","-"
https://www.jonard.com/~/media/322147FD33EC44F79E6F7E9EFE98EEFC.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/MFG_SA-9-115.jpg,K416-ND,SA-9-115,Jonard Tools,FUME ABSORBER BENCH TOP 120V,19,0,"105.65000","0","1","SA","Active","Bench Top","120V","Aerodynamic Hood"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/MFG_SA-9-E-115.jpg,K417-ND,SA-9-E-115,Jonard Tools,FUME ABSORBER BENCH TOP 120V,13,0,"128.37000","0","1","SA","Active","Bench Top","120V","ESD Safe"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/MFG_SA-91.jpg,K498-ND,SA-91,Jonard Tools,FUME ABSRB ARTICULATING ARM 120V,11,0,"238.61000","0","1","SA","Active","Articulating Arm","120V","Aerodynamic Hood"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ZEROSMOGELKIT1N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_ZEROSMOGELKIT1.jpg,ZEROSMOGELKIT1N-ND,ZEROSMOGELKIT1N,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,21,0,"685.00000","0","1","Zero Smog®","Active","Mobile Unit","120V","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ZEROSMOGTLKIT1N,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_ZEROSMOGTLKIT1.jpg,ZEROSMOGTLKIT1-ND,ZEROSMOGTLKIT1N,Apex Tool Group,FUME ABSORBER BENCH TOP 120V,2,0,"975.00000","0","1","Zero Smog®","Active","Bench Top","120V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/FumeExtractionBrochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_U-130-1055-ESD.jpg,U-130-1055-ESDN-ND,U-130-1055-ESDN,Apex Tool Group,FUME ABSORBER MOBL UNIT 100-240V,13,0,"1330.00000","0","1","Zero Smog®","Active","Mobile Unit","100 ~ 240V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/17701.pdf,//media.digikey.com/Photos/Aven%20Photos/17701.jpg,243-1189-ND,17701,Aven Tools,FUME ABSORBER BENCH TOP 120V,38,0,"52.04000","0","1","-","Active","Bench Top","120V","-"
http://documents.mendatools.com/PDF/TB-4016.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35463.jpg,16-1315-ND,35463,MENDA/EasyBraid,FUME ABSORBER BENCH TOP 120V,2,0,"143.72000","0","1","Menda®","Active","Bench Top","120V","ESD Safe"
-,//media.digikey.com/Photos/OC-White-Co/MFG_50030.JPG,1844-1010-ND,50030,O.C. White Co.,FUME ABSRB ARTICULATING ARM 120V,4,0,"299.00000","0","1","-","Active","Articulating Arm","120V","ESD Safe"
