Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size","For Use With/Related Products","Specifications"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/TC205.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/TC205.jpg,TC205-ND,TC205,Apex Tool Group,SOLDER SPONGE 2.5X2.5"" PLAIN,5508,0,"1.40000","0","1","Weller®","Active","Sponge","2.50"" L x 2.50"" W (63.5mm x 63.5mm)","Soldering Irons, Workstands","No Holes"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/0051384099.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0051384099.jpg,T0051384099-ND,T0051384099,Apex Tool Group,SOLDER SCOUR PAD MTL BRSS WL 2PK,1123,0,"6.50000","0","1","Weller®","Active","Wire Scouring Pad","-","WDC and WDC2 Dry Cleaner","Metal Brass Wool"
http://www.chipquik.com/datasheets/SMDTCLF.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/SMDTCLF.jpg,SMDTCLF-ND,SMDTCLF,Chip Quik Inc.,SOLDER TIP TINNER (ACTIVATOR),89,0,"7.65000","0","1","CHIPQUIK®","Active","Tip Tinner (Activator)","-","Soldering Irons, Workstands","-"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0052241999.jpg,T0052241999-ND,T0052241999,Apex Tool Group,SLDR SPNG 2.75X2.16"" CTR HOL 5PK,550,0,"8.90000","0","1","Weller®","Active","Sponge","2.75"" L x 2.16"" W (70.0mm x 55.0mm)","-","Single Center Hole"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/0051303199.JPG,T0051303199N-ND,T0051303199N,Apex Tool Group,SOLDER TIP TINNER (ACTIVATOR),1083,0,"11.00000","0","1","Weller®","Not For New Designs","Tip Tinner (Activator)","-","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/WCC104.JPG,WCC104-ND,WCC104,Apex Tool Group,SOLDER SPONGE 4X2.25"" PLAIN,445,0,"2.30000","0","1","Weller®","Active","Sponge","4.00"" L x 2.25"" W (101.6mm x 57.2mm)","Weller® WLC100, WLC200","No Holes"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/S2432-O.jpg,EB1010-ND,S2432-O-T,MENDA/EasyBraid,SLDR SPNG 3.2X2.4"" CTR HOLE 1PK,210,0,"2.39000","0","1","Solder Soakers™","Active","Sponge","3.20"" L x 2.40"" W (81.3mm x 61.0mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Multi-Hole.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/S2626-M.jpg,EB1005-ND,S2626-M-T,MENDA/EasyBraid,SOLDER SPONGE 2.6X2.6"" SC 1PK,258,0,"2.44000","0","1","Solder Soakers™","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","Soldering Irons, Workstands","Swiss Cheese Style"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/EC205.jpg,EC205-ND,EC205,Apex Tool Group,SOLDER SPONGE 2.5X4.65"" PLAIN,172,0,"2.90000","0","1","Weller®","Active","Sponge","2.50"" L x 4.65"" W (63.5mm x 118.1mm)","Weller® EC2000, EC2002","No Holes"
https://www.hakkousa.com/files/index/download/id/16256/,//media.digikey.com/photos/Hakko/599-029.JPG,1691-1005-ND,599-029,"American Hakko Products, Inc.",SOLDER SCOUR PAD MTL BRSS WOOL,1682,0,"4.47000","0","1","-","Active","Wire Scouring Pad","-","Soldering Irons, Workstands","Metal Brass Wool"
