Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Wattage","Voltage - Input","Plug Type","Voltage - Output","Number of Channels","Control/Display Type","Includes","Base Unit","Supplied Iron, Tweezer, Handle","Supplied Tips/Nozzles","Workstand","Temperature Range","Features"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14557_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-14557.jpg,1568-1814-ND,TOL-14557,SparkFun Electronics,REWORK STATION 1 CH 110V,121,0,"114.95000","0","1","-","Active","Rework (Hot Air)","-","110V","Included, Not Specified","-","1","Digital","Iron Holder, Tips (2)","303D","-","Included, Not Specified","Included, Not Specified","212°F ~ 896°F (100°C ~ 480°C)","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/WE1010EDU_Flyer.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WE1010EDU.jpg,WE1010EDU-ND,WE1010EDU,Apex Tool Group,SOLDERING STATION 70W 1 CH 120V,76,0,"140.61000","0","1","Weller® WE","Active","Soldering","70W","120V","Included, Not Specified","-","1","Digital","Shearcutter, Soldering Tip, Soldering Wire","WE1010NA","WEP70","ETA","PH70","212°F ~ 842°F (100°C ~ 450°C)","ESD Safe"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WE1010NA,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WE1010NA_View-1.jpg,WE1010NA-ND,WE1010NA,Apex Tool Group,SOLDERING STATION 70W 1 CH 120V,380,0,"142.00000","0","1","Weller® WE","Active","Soldering","70W","120V","Included, Not Specified","-","1","Digital","Iron Holder, Screwdriver, Sponge","-","WEP70","ETA","-","200°F ~ 850°F (100°C ~ 450°C)","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/WD1_1M_Stations_quick_ref.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/WD1M.jpg,WD1MN-ND,WD1MN,Apex Tool Group,REWORK SOLDER STA 160W 1 CH 120V,66,0,"331.00000","0","1","Weller®, WD","Active","Rework, Soldering","160W","120V","NEMA 5-15","24V","1","Digital","-","WD1M","-","Sold Separately","-","150°F ~ 850°F (66°C ~ 454°C)","ESD Safe, LCD Display, Programmable"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0053250699N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0053250699.jpg,T0053250699N-ND,T0053250699N,Apex Tool Group,SOLDERING STATION 80W 1 CH 230V,35,0,"340.00000","0","1","Weller®","Active","Soldering","80W","230V","-","24V","1","Analog","Iron Holder, Potential Free Plug","PU81","WSP80","LTB","KH18","302°F ~ 842°F (150°C ~ 450°C)","ESD Safe, LED Display, Temperature Control"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT1012N,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_WT1012N.jpg,WT1012N-ND,WT1012N,Apex Tool Group,SOLDERING STATION 90W 1 CH 120V,62,0,"365.00000","0","1","Weller®, WT1","Active","Soldering","90W","120V","Included, Not Specified","-","1","Digital","Soldering Pencil","WT1","WSP80","LTB","WSR201","150°F ~ 850°F (50°C ~ 450°C)","ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT1013N,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_WT1013N.jpg,WT1013N-ND,WT1013N,Apex Tool Group,SOLDERING STATION 90W 1 CH 120V,111,0,"376.00000","0","1","Weller®, WT1","Active","Soldering","90W","120V","Included, Not Specified","-","1","Digital","Soldering Pencil","WT1","WP80","LTB","WSR201","150°F ~ 850°F (50°C ~ 450°C)","ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT1011N,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_WT1011N.jpg,WT1011N-ND,WT1011N,Apex Tool Group,SOLDERING STATION 90W 1 CH 120V,31,0,"382.00000","0","1","Weller®, WT1","Active","Soldering","90W","120V","Included, Not Specified","-","1","Digital","Soldering Pencil","WT1","WP65","XNTA","WSR201","150°F ~ 850°F (50°C ~ 450°C)","ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WX2N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WX2.jpg,WX2N-ND,WX2N,Apex Tool Group,SOLDERING STATION 200W 2 CH 120V,28,0,"495.00000","0","1","Weller®, WX","Active","Soldering","200W","120V","NEMA 5-15","24V","2","Digital","-","WX2","-","Sold Separately","-","200°F ~ 850°F (100°C ~ 450°C)","Auto Off, ESD Safe, LCD Display, Touch Screen, USB Port"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WAD101N,//media.digikey.com/Photos/Apex%20Tool%20Photos/WAD101.jpg,WAD101N-ND,WAD101N,Apex Tool Group,REWORK STATION 100W 1 CH 120V,37,0,"580.00000","0","1","Weller®, WAD","Active","Rework (Hot Air)","100W","120V","NEMA 5-15","24V","1","Digital","Iron Holder","WAD101","HAP1","Sold Separately","PH60","122°F ~ 1022°F (50°C ~ 550°C)","ESD Safe, External Air"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WTHA1N,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_WTHA1N.jpg,WTHA1N-ND,WTHA1N,Apex Tool Group,REWORK STATION 900W 1 CH 120V,51,0,"700.00000","0","1","WT","Active","Rework (Hot Air)","900W","120V","Included, Not Specified","-","1","Digital","-","WTHA1","-","-","Built On","120°F ~ 1100°F (50°C ~ 600°C)","ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WX2020N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WX2020.jpg,WX2020N-ND,WX2020N,Apex Tool Group,SOLDERING STATION 200W 2 CH 120V,33,0,"955.00000","0","1","Weller®, WX","Active","Soldering","200W","120V","NEMA 5-15","24V","2","Digital","Iron Holder (2)","WX2","WXP120 (2)","XTB (2)","WDH10","200°F ~ 850°F (100°C ~ 450°C)","Auto Off, ESD Safe, LCD Display, Touch Screen, USB Port"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WX2021N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WX2021.jpg,WX2021N-ND,WX2021N,Apex Tool Group,SOLDERING STATION 200W 2 CH 120V,122,0,"1090.00000","0","1","Weller®, WX","Active","Soldering","200W","120V","NEMA 5-15","12V, 24V","2","Digital","Iron Holder (2)","WX2","WXMP, WXMT","RT3, RTW2","WDH51, WDH60","200°F ~ 850°F (100°C ~ 450°C)","Auto Off, ESD Safe, LCD Display, Touch Screen, USB Port"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WXR3003N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WXR3003.jpg,WXR3003N-ND,WXR3003N,Apex Tool Group,SOLDER REWORK STA 600W 3 CH 120V,29,0,"2610.00000","0","1","Weller®, WXR","Active","Desoldering, Rework, Soldering","600W","120V","Included, Not Specified","24V","3","Digital","Iron Holders (3), Tips (4)","WXR3","WXDV120, WXHAP200, WXP65","RO4, RO6, XDS3, XDS5, XTNA","WDH10, WDH40, WDH70","999°F (550°C) (Max)","ESD Safe, USB Interface, Vacuum"
https://www.hakkousa.com/files/index/download/id/17383/,//media.digikey.com/Photos/Hakko/MFG_FX888D-23BY.jpg,1691-1083-ND,FX888D-29BY/P,"American Hakko Products, Inc.",SOLDERING STATION 70W 1 CH 120V,221,0,"107.47000","0","1","-","Active","Soldering","70W","120V","NEMA 5-15P","-","1","Digital","Iron Holder","FX888D","FX-8801-02","T18-D16","FH800-03BY","-","ESD Safe, Iron Holder"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1869_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1869.JPG,1528-2417-ND,1869,Adafruit Industries LLC,SOLDER REWORK STA 580W 1 CH 120V,112,0,"153.13000","0","1","-","Active","Desoldering, Rework (Hot Air), Soldering","580W","120V","Included, Not Specified","-","1","Digital","Hot Air Nozzle","-","-","Included, Not Specified","-","200°F ~ 850°F (100°C ~ 450°C)","Internal Air, LED Indicator, Temperature Control"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT1N,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_WT1N.jpg,WT1N-ND,WT1N,Apex Tool Group,SOLDERING STATION 90W 1 CH 120V,28,0,"225.00000","0","1","Weller®, WT1","Active","Soldering","90W","120V","Included, Not Specified","-","1","Digital","-","WT1","-","-","-","150°F ~ 950°F (50°C ~ 550°C)","ESD Safe, LCD Display"
https://www.hakkousa.com/files/index/download/id/15454/,//media.digikey.com/Photos/Hakko/MFG_FX-951_setup.jpg,1691-1085-ND,FX951-66,"American Hakko Products, Inc.",SOLDERING STATION 75W 1 CH 120V,146,0,"262.77000","0","1","-","Active","Soldering","75W","120V","NEMA 5-15","24V","1","Digital","Iron Holder, Key Card, Sleeve Assembly, Tip Cleaner","FM-951","FM2027-02","Sold Separately","FH200-01","392°F ~ 842°F (200°C ~ 450°C)","Auto Off, Low Temperature Alarm, Temperature Lockout"
