Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Temperature","Tip - Type","Workstand","Power (Watts)","Voltage - Input","Features","Includes","For Use With/Related Products"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/PES51.jpg,PES51-ND,PES51,Apex Tool Group,SOLDERING IRON 50W 24V,577,0,"53.00000","0","1","Weller®, WES","Active","Iron","350°F ~ 850°F (177°C ~ 454°C)","ETA","Not Included","50W","24V","Ergonomic, Soft Grip","-","WES51"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/TC201T.jpg,TTC201T-ND,TTC201T,Apex Tool Group,SOLDERING IRON 42W 24V,59,0,"109.00000","0","1","Weller®","Not For New Designs","Iron","600°F/700°F/800°F (316°C/371°C/427°C)","PTA7","Not Included","42W","24V","ESD Safe","-","WTCP Series"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052918099N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0052918099.jpg,T0052918099N-ND,T0052918099N,Apex Tool Group,SOLDERING IRON 80W 24V,135,0,"147.00000","0","1","Weller®, WP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","LTB (Chisel)","Not Included","80W","24V","ESD Safe","-","WD1, WD2 Series"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/WSP80.jpg,WSP80N-ND,WSP80N,Apex Tool Group,SOLDERING IRON 80W 24V,121,0,"147.00000","0","1","Weller®","Active","Iron","-","LTB (Chisel)","Not Included","80W","24V","-","-","Silver, WSL, WSL2 Series"
-,//media.digikey.com/photos/Cooper%20Industries%20Photos/EC1302B.jpg,EC1302B-ND,EC1302B,Apex Tool Group,SOLDERING IRON 20W 24V,43,0,"157.00000","0","1","Weller®","Active","Iron","350°F ~ 850°F (177°C ~ 454°C)","EPH101","Not Included","20W","24V","Burn Resistant Cord, ESD Safe","-","EC, Silver, WRS Series"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052917199N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0052917199.jpg,T0052917199N-ND,T0052917199N,Apex Tool Group,SOLDERING IRON 40W 24V,53,0,"160.00000","0","1","Weller®, WMRP","Active","Iron","150°F ~ 850°F (50°C ~ 450°C)","Not Included","Not Included","40W","24V","ESD Safe","-","WD1M, WD2M, WR3M, WR3ME"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052918199N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0052918199N.jpg,T0052918199N-ND,T0052918199N,Apex Tool Group,SOLDERING IRON 80W 24V,27,0,"188.00000","0","1","Weller®, WP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","LTB (Chisel)","WDH10","80W","24V","ESD Safe","-","WD1, WD2, WR Series"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052920399N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0052920399.jpg,T0052920399N-ND,T0052920399N,Apex Tool Group,SOLDERING IRON 55W 12V,50,0,"205.00000","0","1","Weller®, WXMP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","-","WDH50","55W","12V","ESD Safe","-","WX1, WX2, WXA2, WXD2"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052921199N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0052921199.jpg,T0052921199N-ND,T0052921199N,Apex Tool Group,SOLDERING IRON 65W 24V,46,0,"215.00000","0","1","Weller®, WXP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","XNTA","Not Included","65W","24V","ESD Safe","-","WX1, WX2, WXA2, WXD2"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052920199N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0052920199.jpg,T0052920199N-ND,T0052920199N,Apex Tool Group,SOLDERING IRON 120W 24V,41,0,"227.00000","0","1","Weller®, WXP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","XTB","Not Included","120W","24V","ESD Safe","-","WX1, WX2, WXA2, WXD2"
