Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Applications","Memory Type","Memory Size","Operating Temperature"
https://datasheets.maximintegrated.com/en/ds/DS1990R-DS1990R-F5.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1990R-F5#-ND,DS1990R-F5#,Maxim Integrated,IBUTTON SERIAL NUMBER F5,2512,0,"3.12000","0","1","iButton®","Active","Product Identification","ROM","8B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1990A.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F5+.JPG,DS1990A-F5+-ND,DS1990A-F5+,Maxim Integrated,IBUTTON SERIAL NUMBER F5,13204,0,"3.27000","0","1","iButton®","Active","Product Identification","ROM","8B","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Dallas%20Semiconductor%20PDFs/DS1961S.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1961S-F5+-ND,DS1961S-F5+,Maxim Integrated,IBUTTON EEPROM 1KBit F5,3707,16800,"5.14000","0","1","iButton®","Active","User/Product Authentication","EEPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1973.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1973-F5+-ND,DS1973-F5+,Maxim Integrated,IBUTTON EEPROM 4KBit F5,1871,0,"5.59000","0","1","iButton®","Active","User/Product Authentication","EEPROM","512B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1992-DS1993.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1992L-F5+.JPG,DS1992L-F5+-ND,DS1992L-F5+,Maxim Integrated,IBUTTON MEMORY 1KBit F5,112,0,"9.96000","0","1","iButton®","Active","Product Data","NVRAM","128B","-40°C ~ 70°C"
https://datasheets.maximintegrated.com/en/ds/DS1992-DS1993.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1993L-F5+.JPG,DS1993L-F5+-ND,DS1993L-F5+,Maxim Integrated,IBUTTON MEMORY 4KBit F5,556,21873,"11.41000","0","1","iButton®","Active","Product Data","NVRAM","512B","-40°C ~ 70°C"
https://datasheets.maximintegrated.com/en/ds/DS1921G.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1921G-F5%23.JPG,DS1921G-F5#-ND,DS1921G-F5#,Maxim Integrated,IBUTTON THERMOCHRON F5,141,0,"30.39000","0","1","iButton®","Active","Temperature Logging","NVSRAM (Non-Volatile SRAM)","512B, 2KB","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1922L-DS1922T.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1922L-F5#-ND,DS1922L-F5#,Maxim Integrated,IBUTTON TEMP LOGGER,291,0,"62.02000","0","1","iButton®","Active","Temperature Logging","NVSRAM (Non-Volatile SRAM)","512B, 8KB","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1922L-DS1922T.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1922T-F5#-ND,DS1922T-F5#,Maxim Integrated,IBUTTON TEMP LOGGER,100,2044,"89.05000","0","1","iButton®","Active","Temperature Logging","NVSRAM (Non-Volatile SRAM)","512B, 8KB","0°C ~ 125°C"
https://datasheets.maximintegrated.com/en/ds/DS1923.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1923-F5#-ND,DS1923-F5#,Maxim Integrated,IBUTTON TEMP/HUMIDITY LOGGER F5,192,0,"110.52000","0","1","iButton®","Active","Temperature/Humidity Logging","NVSRAM (Non-Volatile SRAM)","576B, 8KB","-20°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1990R-DS1990R-F5.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1990R-F3#-ND,DS1990R-F3#,Maxim Integrated,IBUTTON SERIAL NUMBER F3,1330,10300,"2.83000","0","1","iButton®","Active","Product Identification","ROM","8B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1990A.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1990A-F3+-ND,DS1990A-F3+,Maxim Integrated,IC IBUTTON SERIAL NUMBER F3,595,76600,"3.56000","0","1","iButton®","Active","Product Identification","ROM","8B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1982.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1982-F5+-ND,DS1982-F5+,Maxim Integrated,IBUTTON 1KBit ADD-ONLY F5,827,3500,"3.60000","0","1","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1972.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1972-F5+-ND,DS1972-F5+,Maxim Integrated,IBUTTON EEPROM 1KBit F5,1405,49100,"4.41000","0","1","iButton®","Active","User/Product Authentication","EEPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1971.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1971-F5+.JPG,DS1971-F5+-ND,DS1971-F5+,Maxim Integrated,IBUTTON EEPROM 256KBIT F5,2015,0,"4.61000","0","1","iButton®","Active","User/Product Authentication","EEPROM","32B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1985.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1985-F5+-ND,DS1985-F5+,Maxim Integrated,IBUTTON 16KBit ADD-ONLY F5,634,0,"4.80000","0","1","iButton®","Active","User/Product Authentication","EPROM","2KB","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1995.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1995L-F5+.JPG,DS1995L-F5+-ND,DS1995L-F5+,Maxim Integrated,IBUTTON MEMORY 16KBit F5,194,0,"12.45000","0","1","iButton®","Active","Product Data","NVRAM","2KB","-40°C ~ 70°C"
https://datasheets.maximintegrated.com/en/ds/DS1977.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1977-F5#-ND,DS1977-F5#,Maxim Integrated,IBUTTON EEPROM 32KBit F5,601,0,"13.08000","0","1","iButton®","Active","Password Protected Data","EEPROM","32kB","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1982.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1982-F3+-ND,DS1982-F3+,Maxim Integrated,IBUTTON 1KBit ADD-ONLY F3,429,0,"3.89000","0","1","iButton®","Active","User/Product Authentication","EPROM","128B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1973.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1973-F3+-ND,DS1973-F3+,Maxim Integrated,IBUTTON EEPROM 4KBit F3,496,0,"7.02000","0","1","iButton®","Active","User/Product Authentication","EEPROM","512B","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS9092R-DS9092RG.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS9092R+.jpg,DS9092R+-ND,DS9092R+,Maxim Integrated,IBTN PORT,378,0,"1.92000","0","1","iButton®","Active","-","-","-","-"
https://datasheets.maximintegrated.com/en/ds/DS1985.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1985-F3+-ND,DS1985-F3+,Maxim Integrated,IBUTTON 16KBit ADD-ONLY F3,200,0,"4.80000","0","1","iButton®","Active","User/Product Authentication","EPROM","2KB","-40°C ~ 85°C"
https://datasheets.maximintegrated.com/en/ds/DS1925.pdf,//media.digikey.com/Photos/Maxim%20Photos/DS1925L-F5%23.JPG,DS1925L-F5#-ND,DS1925L-F5#,Maxim Integrated,IBUTTON TEMP LOGGER,86,0,"70.08000","0","1","-","Active","-","-","-","-"
https://datasheets.maximintegrated.com/en/ds/DS1922E.pdf,//media.digikey.com/photos/Dallas%20Semicon%20Photos/DS1990A-F3+.JPG,DS1922E-F5#-ND,DS1922E-F5#,Maxim Integrated,IBUTTON TEMP LOGGER 4KBit F5,0,0,"90.90000","0","1","iButton®","Active","Temperature Logging","NVSRAM (Non-Volatile SRAM)","576B, 8KB","15°C ~ 140°C"
