Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Memory Size","Memory Type","Type","Speed - Read","Speed - Write","Operating Temperature","Size / Dimension"
-,//media.digikey.com/Photos/Apacer%20Photos/AP2GAH322B.jpg,1582-1016-ND,AP4GAH322B,Apacer Memory America,USB FLASH DRIVE 4GB USB 2.0,707,0,"10.63000","0","1","AH322","Active","4GB","-","USB 2.0","-","-","0°C ~ 60°C","55.40mm L x 18.00mm W x 8.50mm H"
-,//media.digikey.com/Photos/Apacer%20Photos/AP4GAH321R.jpg,1582-1018-ND,AP8GAH321R,Apacer Memory America,USB FLASH DRIVE 8GB USB 2.0,612,0,"14.02000","0","1","AH321","Active","8GB","-","USB 2.0","-","-","0°C ~ 60°C","60.80mm L x 18.80mm W x 8.00mm H"
http://eflash.apacerus.com/spec/USB/Drive/AH162-A/Industrial-USB2.0_AH162-A_20151013.pdf,//media.digikey.com/Photos/Apacer%20Photos/MFG_AH162-A.jpg,APHA008G2BACG-DTM-ND,APHA008G2BACG-DTM,Apacer Memory America,USB FLASH DRIVE 8GB MLC USB 2.0,565,0,"22.51000","0","1","AH162-A","Active","8GB","FLASH - NAND (MLC)","USB 2.0","26MB/s","10MB/s","0°C ~ 70°C","32.00mm L x 13.50mm W x 4.50mm H"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/Nanodura_Series_Spec.pdf,//media.digikey.com/Photos/ATP%20Electronics/AFxxxUFNDNC(I)-OEM.JPG,AF1GUFNDNC(I)-OEM-ND,AF1GUFNDNC(I)-OEM,"ATP Electronics, Inc.",USB FLASH DRIVE 1GB SLC USB 2.0,4515,0,"24.02000","0","1","Nanodura™","Active","1GB","FLASH - NAND (SLC)","USB 2.0","21MB/s","16MB/s","-40°C ~ 85°C","34.00mm L x 12.20mm W x 4.50mm H"
https://www.swissbit.com/wp-content/uploads/2015/03/swissbit_prduktbroschuere_10_2014_150dpi_v1.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/SFU22048E3BP2TO-I-MS-121-STD.JPG,1052-1192-ND,SFU22048E3BP2TO-I-MS-121-STD,Swissbit,USB FLASH DRIVE 2GB SLC USB 2.0,117,0,"60.80000","0","1","unitedCONTRAST II","Active","2GB","FLASH - NAND (SLC)","USB 2.0","32MB/s","23MB/s","-40°C ~ 85°C","67.85mm L x 17.97mm W x 8.35mm H"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/Nanodura_Series_Spec.pdf,//media.digikey.com/Photos/ATP%20Electronics/AFxxxUFNDNC(I)-OEM.JPG,AF8GUFNDNC(I)-OEM-ND,AF8GUFNDNC(I)-OEM,"ATP Electronics, Inc.",USB FLASH DRIVE 8GB SLC USB 2.0,395,0,"116.56000","0","1","Nanodura™","Active","8GB","FLASH - NAND (SLC)","USB 2.0","21MB/s","16MB/s","-40°C ~ 85°C","34.00mm L x 12.20mm W x 4.50mm H"
-,//media.digikey.com/Photos/Apacer%20Photos/AP4GAH321R.jpg,1582-1015-ND,AP4GAH321R,Apacer Memory America,USB FLASH DRIVE 4GB USB 2.0,741,0,"10.88000","0","1","AH321","Active","4GB","-","USB 2.0","-","-","0°C ~ 60°C","60.80mm L x 18.80mm W x 8.00mm H"
-,//media.digikey.com/Photos/Apacer%20Photos/AP2GAH322B.jpg,1582-1002-ND,AP16GAH322B,Apacer Memory America,USB FLASH DRIVE 16GB USB 2.0,115,0,"15.93000","0","1","AH322","Active","16GB","-","USB 2.0","-","-","0°C ~ 60°C","55.40mm L x 18.00mm W x 8.50mm H"
-,//media.digikey.com/Photos/Apacer%20Photos/AP4GAH321R.jpg,1582-1009-ND,AP32GAH321R,Apacer Memory America,USB FLASH DRIVE 32GB USB 2.0,197,0,"23.86000","0","1","AH321","Active","32GB","-","USB 2.0","-","-","0°C ~ 60°C","60.80mm L x 18.80mm W x 8.00mm H"
http://eflash.apacerus.com/spec/USB/Drive/AH322/Industrial-USB_AH322.pdf,//media.digikey.com/Photos/Apacer%20Photos/APHA004GR23CG-CM.jpg,1582-1052-ND,APHA004GR23CG-CM,Apacer Memory America,USB FLASH DRIVE 4GB MLC USB 2.0,453,0,"34.76000","0","1","AH322-M","Active","4GB","FLASH - NAND (MLC)","USB 2.0","32MB/s","10MB/s","0°C ~ 70°C","55.29mm L x 18.00mm W x 8.50mm H"
http://eflash.apacerus.com/spec/USB/Drive/AH322/Industrial-USB_AH322.pdf,//media.digikey.com/Photos/Apacer%20Photos/AP2GAH322B.jpg,1582-1060-ND,APHA016GR23CG-CM,Apacer Memory America,USB FLASH DRIVE 16GB MLC USB 2.0,144,0,"46.20000","0","1","AH322-M","Active","16GB","FLASH - NAND (MLC)","USB 2.0","33MB/s","14MB/s","0°C ~ 70°C","55.29mm L x 18.00mm W x 8.50mm H"
-,-,VNFUSB3016GCCDWT3-ND,VNFUSB3016GCCDWT3,Viking Technology,16GB USB3.0 USB STICK,449,0,"13.17000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,VNFUSB3032GCC1WT3-ND,VNFUSB3032GCC1WT3,Viking Technology,32GB USB3.0 USB STICK,488,0,"19.80000","0","1","*","Active","-","-","-","-","-","-","-"
-,-,VNFUSB3064GCC5WT3-ND,VNFUSB3064GCC5WT3,Viking Technology,64GB USB3.0 USB STICK,463,0,"29.96000","0","1","*","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PSFUSB2zzzzAzzzTx.pdf,//media.digikey.com/Photos/Viking%20Technology/VRFUSB2064GACAMTL.JPG,1803-1044-ND,VRFUSB2064GACAMTL,Viking Technology,USB FLASH DRIVE 64GB MLC USB 2.0,29,0,"74.18000","0","1","-","Active","64GB","FLASH - NAND (MLC)","USB 2.0","-","-","-","-"
-,-,SFU28192E1BP2TO-I-QT-111-JGL-ND,SFU28192E1BP2TO-I-QT-111-JGL,Swissbit,USB FLASH DRIVE 8GB SLC USB 2.0,53,0,"131.84000","0","1","unitedCONTRAST II","Active","8GB","FLASH - NAND (SLC)","USB 2.0","32MB/s","23MB/s","-40°C ~ 85°C","67.85mm L x 17.97mm W x 8.35mm H"
