Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Specifications"
http://documents.desco.com/PDF/09864.pdf,//media.digikey.com/photos/Desco%20Photos/09864.jpg,16-1012-ND,09864,Desco,KIT UNIV SNAP FOR ESD MATS 7PC,1067,0,"4.00000","0","1","-","Active","Snap Fastener, Female and Male","Homogenous and 2 Layer Mats","10mm Diameter"
-,//media.digikey.com/Photos/Desco%20Photos/09838.JPG,16-1158-ND,09838,Desco,GROUND PLUG ADAPTER,752,0,"6.80000","0","1","-","Active","Ground Point Adapter","Mats, Wrist Straps","-"
http://documents.desco.com/PDF/14000.pdf,//media.digikey.com/Photos/Desco%20Photos/14000.jpg,16-1311-ND,14000,Desco,DRG CHN GNDNG 1MEG 7MM 24'',210,0,"10.15000","0","1","-","Active","Drag Chain","Chairs, Mobile Carts, Shelves","24"", Dissipative, Nickel Plated Brass"
http://documents.desco.com/PDF/09825.pdf,//media.digikey.com/photos/Desco%20Photos/09825.jpg,16-1051-ND,09825,Desco,GROUND POINT F/MAT DUAL ESD 15',131,0,"17.79000","0","1","-","Active","Ground Cord","Multi-layer Mats with Conductive inner layer","10mm Snap Stud, Banana Jack (2), Ring Terminal"
http://documents.staticcontrol.com/PDF/3HIC125.pdf,//media.digikey.com/Photos/SCS/MFG_3HIC125.jpg,SCP667-ND,3HIC125,SCS,HUMIDITY INDICATOR 3 SPOT 125PCS,146,0,"18.47000","0","1","-","Active","Humidity Card","Moisture","Meets MIL-P-116 and MS 20003-2"
http://staticcontrol.descoindustries.com/pdf/HIC_Desiccant_Product_Selection_Guide.pdf,//media.digikey.com/Photos/SCS/MFG_51060HIC125.jpg,SCP306-ND,51060HIC125,SCS,HUMIDITY INDICATOR 3 SPOT 125PCS,868,0,"19.12000","0","1","-","Active","Humidity Card","Moisture","Meets IPC/JEDEC J-STD-033B"
-,//media.digikey.com/Photos/3M%20Photos/3057.jpg,SCP337-ND,3057,SCS,MONITOR STAND-BY JACK,145,0,"22.74000","0","1","-","Active","Stand-by Jack","724, 790 Monitors","-"
//media.digikey.com/pdf/Data%20Sheets/Desco%20PDFs/WorksurfaceGroundingBrochure.pdf,//media.digikey.com/Photos/Desco%20Photos/09861.jpg,16-1052-ND,09861,Desco,SNAPS PUSH AND CLINCH ESD MALE,272,0,"2.55000","0","1","-","Active","Snap Fastener, Male","Multi-layer Mats with Conductive inner layer","10mm Diameter"
//media.digikey.com/pdf/Data%20Sheets/Desco%20PDFs/WorksurfaceGroundingBrochure.pdf,//media.digikey.com/Photos/Desco%20Photos/09863.jpg,16-1053-ND,09863,Desco,SNAPS PUSH AND CLINCH ESD FEMALE,107,0,"2.55000","0","1","-","Active","Snap Fastener, Female","Multi-layer Mats with Conductive inner layer","10mm Diameter"
"//media.digikey.com/pdf/Data%20Sheets/Desco%20PDFs/0970050,80,82.pdf",//media.digikey.com/photos/Desco%20Photos/09782.JPG,16-1289-ND,09782,Desco,SNAP STACKING BANANA JACK 10MM,432,0,"2.89000","0","1","-","Active","Stacking Snap Banana Jack","Banana Plug Adapters","10mm Snap Socket, 10mm Snap Stud"
