Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Material","Handle - Material","Features","Handle - Length","Quantity"
https://www.chemtronics.com/content/msds/TDS_Cottontips.pdf,"//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CT100,%20CT1000.jpg",CT100-ND,CT100,Chemtronics,COTTONTIP SINGLSIDED 6"" 100 PCS,613,0,"5.98000","0","1","Cottontips™","Active","Swab, Single Head","Cotton","Wood","Low Linting","6.00"" (152.4mm)","100"
https://www.chemtronics.com/content/msds/TDS_Cottontips.pdf,"//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CT200,%20CT2000.jpg",CT200-ND,CT200,Chemtronics,COTTONTIP DBL SIDE 6""1=100PC PK,1432,0,"6.38000","0","1","Cottontips™","Active","Swab, Double Head","Cotton","Wood","Low Linting","6.00"" (152.4mm)","100"
//media.digikey.com/pdf/Data%20Sheets/Techspray/Techspray%20Aviation%20Catalog_2017.pdf,//media.digikey.com/Photos/Techspray/2032-1.JPG,1873-1084-ND,2032-1,Techspray,BRUSH 1/4 X 3/8"" HORSE HAIR,140,0,"12.16000","0","1","-","Active","Brush, Double Head","Hair, Horse","Steel, Zinc Plated","-","4.50"" (114.3mm)","1"
https://www.mgchemicals.com/downloads/tds/tds-brushes.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/856.JPG,473-1049-ND,856,MG Chemicals,BRUSH CLEANING HORSE DOUBLE END,129,0,"14.23000","0","1","-","Active","Brush, Double Head","Hair, Horse","Steel, Cad Plated","-","4.50"" (114.3mm)","1"
https://www.chemtronics.com/content/msds/TDS_CS25.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CS25.JPG,CS25-ND,CS25,Chemtronics,FOAM SWAB PRESATURATED 25 PCS,165,0,"53.74000","0","1","Chemswab™, Foamtips™","Active","Swab, Single Head","Foam","Polypropylene","Lint Free, Pre-Moistened (Isopropyl Alcohol)","4.12"" (104.6mm)","25"
https://www.chemtronics.com/content/msds/TDS_COVESDswabs.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/41050ESD.JPG,41050ESD-ND,41050ESD,Chemtronics,SWAB CLNRM ESD 2.8""POLYTIP 500PC,54,0,"128.04000","0","1","Coventry™","Active","Swab, Single Head","Foam","Plastic","Dissipative, Sealed Head","2.40"" (60.9mm)","500"
https://www.chemtronics.com/content/msds/TDS_COVESDswabs.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/44070ESD.JPG,44070ESD-ND,44070ESD,Chemtronics,SWAB CLNRM ESD 3.2""POLYTIP 500PC,69,0,"128.45000","0","1","Coventry™","Active","Swab, Single Head","Foam","Plastic","Dissipative, Sealed Head","2.81"" (71.4mm)","500"
http://www.panduit.com/heiler/PartDrawings/C-COFSWB--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/FSWB-C.JPG,298-16262-ND,FSWB-C,Panduit Corp,SWAB SINGLE HEAD 100PC,1000,0,"0.35160","0","100","-","Active","Swab, Single Head","-","-","Lint Free","-","100"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/855-5.jpg,473-1048-ND,855-5,MG Chemicals,BRUSH CLEANING HORSE MED 5PCS,0,0,"3.54000","0","1","-","Active","Brush, Single Head","Hair, Horse","Tin","-","6.00"" (152.4mm)","5"
https://www.techspray.com/content/msds/TS-2300_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_2301-100.jpg,1873-1091-ND,2301-100,Techspray,SINGLE-TIP COTTON STICK,109,0,"5.02000","0","1","-","Active","Swab, Single Head","Cotton","Wood","Abrasion Resistant, Wrapped Head","6.00"" (152.4mm)","100"
https://www.techspray.com/content/msds/TS-2300_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_2300-100.jpg,1873-1090-ND,2300-100,Techspray,DOUBLE-TIP COTTON STICK,129,0,"5.80000","0","1","-","Active","Swab, Double Head","Cotton","Wood","Abrasion Resistant, Wrapped Head","6.00"" (152.4mm)","100"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/811-100.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/811-100.jpg,473-1051-ND,811-100,MG Chemicals,SWAB COTTON DOUBLE ENDED 100PCS,145,0,"5.94000","0","1","-","Active","Swab, Double Head","Cotton","Birch","Low Linting","6.00"" (152.4mm)","100"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/811-100.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/8112-100.jpg,473-1052-ND,8112-100,MG Chemicals,SWAB COTTON TAPER DBL END 100PCS,128,0,"5.94000","0","1","-","Active","Swab, Double Head","Cotton","Birch","Low Linting","6.00"" (152.4mm)","100"
https://www.mgchemicals.com/downloads/tds/tds-brushes.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/852.jpg,473-1045-ND,852,MG Chemicals,BRUSH CLEANING HOG HAIR SMALL,135,0,"7.13000","0","1","-","Active","Brush, Single Head","Hair, Hog","Wood","Non-Abrasive","7.75"" (196.9mm)","1"
//media.digikey.com/pdf/Data%20Sheets/Techspray/Techspray%20Aviation%20Catalog_2017.pdf,//media.digikey.com/Photos/Techspray/2031-1.JPG,1873-1083-ND,2031-1,Techspray,BRUSH 1/8 X 3/16"" HORSE HAIR,236,0,"12.66000","0","1","-","Active","Brush, Double Head","Hair, Horse","Steel, Stainless","-","4.50"" (114.3mm)","1"
https://www.chemtronics.com/content/msds/TDS_COV5000.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/52121.JPG,52121-ND,52121,Chemtronics,SWAB CLEANROOM 6.3"" POLYTIP 25PC,112,0,"24.86000","0","1","Coventry™, Pillow-Tip™","Active","Swab, Single Head","Polyester, Knit","Nylon, Glass Filled","Lint Free","6.30"" (159.0mm)","25"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/855-144.JPG,473-1155-ND,855-144,MG Chemicals,BRUSH HORSE HAIR 1=144 PC BAG,87,0,"92.61000","0","1","-","Active","Brush, Single Head","Hair, Horse","Tin","-","6.00"" (152.4mm)","144"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/811-100.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/812-10.JPG,473-1053-ND,812-10,MG Chemicals,SWAB FOAM OVR CTTN SNGL END 10PC,644,0,"9.04000","0","1","-","Active","Swab, Single Head","Foam, Cotton","Birch","Shred Resistant","6.00"" (152.4mm)","10"
https://www.chemtronics.com/content/msds/TDS_Flextips.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CX50.JPG,CX50-ND,CX50,Chemtronics,SWAB FLEXTIP FOAM 4.45"",464,0,"47.54000","0","1","Flextips™","Active","Swab, Single Head","Foam","Nylon, Polypropylene","-","4.45"" (113.0mm)","50"
//media.digikey.com/pdf/Data%20Sheets/Techspray/Techspray%20Aviation%20Catalog_2017.pdf,-,1873-1082-ND,2030-1,Techspray,BRUSH 1/8 X 1/8"" GOAT HAIR,110,0,"12.01000","0","1","-","Active","Brush, Single Head","Hair, Goat","Steel, Stainless","-","3.50"" (88.9mm)","1"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/811-100.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/812-50.JPG,473-1054-ND,812-50,MG Chemicals,SWAB FOAM OVR CTTN SNGL END 50PC,31,0,"23.85000","0","1","-","Active","Swab, Single Head","Foam, Cotton","Birch","Shred Resistant","6.00"" (152.4mm)","50"
