Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Usage","Features","Power Supply Type"
http://documents.staticcontrol.com/PDF/725_Wrist_Strap_Monitor_User_Guide.pdf,//media.digikey.com/Photos/SCS/MFG_725.jpg,SCP303-ND,725,SCS,MONITOR WRIST STRAP DUAL COND,69,0,"93.14000","0","1","-","Active","Wrist Strap Monitor","Wrist Strap Monitoring","Continuous Monitoring, Dual Conductor System","9V Battery"
http://documents.desco.com/PDF/TB-3017.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_19240.jpg,16-1089-ND,19240,Desco,WRISTSTRAP TESTER 9V OPERATION,68,0,"107.06000","0","1","-","Active","Wrist Strap Tester","Verification of Wrist Strap Grounding","NIST Traceable, Wall Mountable","9V Battery"
http://documents.desco.com/PDF/tb-2004.pdf,//media.digikey.com/Photos/Desco%20Photos/19350.JPG,16-1233-ND,19350,Desco,TESTER W/S 2 STATE TOUCH NIST,44,0,"120.58000","0","1","-","Active","Workstation Monitor, Tester","Work Surface, Wrist Strap (2) Monitoring, Testing","Audio and Visual Alarms, NIST Traceable","AC Adapter"
http://documents.desco.com/PDF/TB-3049.pdf,//media.digikey.com/Photos/Desco%20Photos/19219.JPG,16-1162-ND,19219,Desco,MONITOR GROUND HUB US,44,0,"120.82000","0","1","-","Active","Workstation Monitor","Work Surface, Wrist Strap Monitoring","Continuous Monitoring, NIST Traceable, Single Conductor System","120VAC"
http://documents.staticcontrol.com/PDF/WSMONITOR2-Plus-Monitor-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_770075.jpg,SCP685-ND,770075,SCS,MONITOR WRIST STRAP,115,0,"136.50000","0","1","WSMONITOR2 Plus","Active","Workstation Monitor","Work Surface, Wrist Strap (2) Monitoring, Testing","Audio and Visual Alarms, Continuous Monitoring, NIST Traceable","AC Adapter"
http://documents.desco.com/pdf/TB-3072.pdf,//media.digikey.com/Photos/Desco%20Photos/19242.jpg,16-1391-ND,19242,Desco,MINI MONITOR JEWEL KIT N AMERICA,56,0,"138.90000","0","1","-","Active","Workstation Monitor","Work Surface, Wrist Strap Monitoring","Audio and Visual Alarms","AC Adapter"
http://documents.desco.com/pdf/TB-3072.pdf,//media.digikey.com/Photos/Desco%20Photos/19239.jpg,16-1390-ND,19239,Desco,MINI MONITOR JEWEL NORTH AMERICA,30,0,"150.09000","0","1","-","Active","Workstation Monitor","Work Surface, Wrist Strap Monitoring","Audio and Visual Alarms","AC Adapter"
http://documents.desco.com/PDF/TB-3073.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_19651.jpg,16-1387-ND,19651,Desco,MONITOR NO AMERICA PWR ADAPTER,42,0,"156.13000","0","1","-","Active","Workstation Monitor","Work Surface, Wrist Strap Monitoring","Audio and Visual Alarms, Continuous Monitoring, NIST Traceable, Single Conductor System","AC Adapter"
http://documents.staticcontrol.com/PDF/724_Workstation_Monitor_User_Guide.pdf,//media.digikey.com/Photos/SCS/MFG_724.jpg,SCP226-ND,724,SCS,WORKSTATION MONITOR KIT W/HDWR,340,0,"185.63000","0","1","724","Active","Workstation Monitor","Work Surface, Wrist Strap (2) Monitoring","Continuous Monitoring, Dual Conductor System","AC Adapter"
http://documents.desco.com/PDF/TB-3060.pdf,//media.digikey.com/Photos/Desco%20Photos/19325.JPG,16-1203-ND,19325,Desco,ESD WORKSTATION MONITOR,42,0,"264.72000","0","1","-","Active","Workstation Monitor","Work Surface, Wrist Strap Monitoring","Continuous Monitoring, NIST Traceable, Park Snap, Single Conductor System","AC Adapter"
http://documents.desco.com/PDF/TB-3019.pdf,//media.digikey.com/photos/Desco%20Photos/19665.jpg,16-1303-ND,19665,Desco,MONITOR DUAL WIRE CONTINOUS 120V,116,0,"280.06000","0","1","-","Active","Workstation Monitor","Work Surface (2), Wrist Strap (2) Monitoring","Continuous Monitoring, Dual Conductor System","AC Adapter"
http://documents.desco.com/PDF/TB-3058.pdf,//media.digikey.com/Photos/Desco%20Photos/19246.jpg,16-1204-ND,19246,Desco,MONITOR DUAL OPERATOR 120V,125,0,"297.99000","0","1","-","Active","Workstation Monitor","Work Surface (2), Wrist Strap (2) Monitoring","Continuous Monitoring, NIST Traceable, Park Snap, Single Conductor System","AC Adapter"
http://www.aclstaticide.com/datasheets/395TDS_1112.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_ACL395.jpg,ST1093-ND,ACL 395,ACL Staticide Inc,RESIST METER W/CARRYING CASE,44,0,"531.00000","0","1","-","Active","Surface Resistivity Meter","Measuring Surface Resistivity","Visual Alarm","9V Battery"
