Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Usage","Dimensions - Overall","Material","Features"
http://documents.desco.com/PDF/57000.pdf,//media.digikey.com/Photos/Desco%20Photos/57002.JPG,16-1276-ND,57002,Desco,BOX COND WITH FOAM 2.9X2X0.63,983,0,"2.87000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","2.90"" L x 2.00"" W x 0.63"" H (73.7mm x 50.8mm x 16.0mm)","Polypropylene","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/57000.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57012.jpg,16-1405-ND,57012,Desco,BOX COND WITH FOAM 9X5X1.58,150,0,"11.82000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","9.00"" L x 5.00"" W x 1.58"" H (228.6mm x 127.0mm x 40.1mm)","Polypropylene","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/8521.pdf,//media.digikey.com/photos/3M%20Photos/8523.JPG,16-1407-ND,8523,Desco,CARD CARRIER ESD SAFE 10X8X2"",275,0,"33.30000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Transport","10.00"" L x 8.00"" W x 2.00"" H (254.0mm x 203.2mm x 50.8mm)","Velostat™","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/8521.pdf,//media.digikey.com/Photos/3M%20Photos/8521.jpg,16-1352-ND,8521,Desco,CARD CARRIER ESD SAFE 12X9X1.25"",227,0,"45.41000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Transport","12.00"" L x 9.00"" W x 1.25"" H (304.8mm x 228.6mm x 31.8mm)","Velostat™","Conductive, Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/57000.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57000.jpg,16-1402-ND,57000,Desco,BOX COND WITH FOAM 1.3X1.3X0.46,363,0,"2.22000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","1.30"" L x 1.30"" W x 0.46"" H (33.0mm x 33.0mm x 11.7mm)","Polypropylene","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/57000.pdf,//media.digikey.com/Photos/Desco%20Photos/57004.JPG,16-1403-ND,57004,Desco,BOX COND WITH FOAM 3.5X2.5X0.63,353,0,"3.61000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","3.50"" L x 2.50"" W x 0.63"" H (88.9mm x 63.5mm x 16.0mm)","Polypropylene","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/57018.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57018.jpg,16-1455-ND,57018,Desco,ROUND CONTAINER,288,0,"9.18000","0","1","Velostat®","Active","Round Box","Storage, Transport","3.81"" Dia x 4.69"" H (96.8mm x 119.1mm)","Velostat™","Conductive, Lid Included"
-,//media.digikey.com/Photos/Conductive-Containers-Inc/2820.JPG,2079-2820-ND,2820,"Conductive Containers, Inc.",BOX CONDUCTIVE HINGED 2 7/8 X 2,139,0,"1.80000","0","1","-","Active","Box","Storage","2.88"" L x 2.00"" W x 0.50"" H (73.0mm x 50.8mm x 12.7mm)","-","Hinged Lid"
-,-,2079-2525-ND,2525,"Conductive Containers, Inc.",BOX CONDUCTIVE HINGED 2 9/19 X 2,300,0,"1.84000","0","1","-","Active","Box","Storage","2.56"" L x 2.56"" W x 0.50"" H (65.0mm x 65.0mm x 12.7mm)","-","Hinged Lid"
-,-,2079-2535-ND,2535,"Conductive Containers, Inc.",BOX CONDUCTIVE HINGED 3 1/2 X 2,199,0,"2.19000","0","1","-","Active","Box","Storage","3.50"" L x 2.56"" W x 0.50"" H (88.9mm x 65.0mm x 12.7mm)","-","Hinged Lid"
-,-,2079-IC5000-SS-ND,IC5000-SS,"Conductive Containers, Inc.",CORSTAT IC SHIPPERS SS 2-1/2 X 1,189,0,"2.28000","0","1","Corstat™","Active","Card Carrier","Shipping","2.50"" L x 1.25"" W x 1.00"" H (63.5mm x 31.8mm x 25.4mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-PP2020-ND,PP2020,"Conductive Containers, Inc.",PILLOWPACK ESD 2 X 2 X 1/4"",144,0,"2.78000","0","1","Pillow Pak","Active","Box","Storage","2.00"" L x 2.00"" W x 0.25"" H (50.8mm x 50.8mm x 6.4mm)","-","Foam Insert, Hinged Lid"
-,-,2079-IC5020-SS-ND,IC5020-SS,"Conductive Containers, Inc.",CORSTAT IC SHIPPERS SS 4-1/2 X 1,199,0,"2.91000","0","1","Corstat™","Active","Card Carrier","Shipping","4.50"" L x 1.50"" W x 1.00"" H (114.3mm x 38.1mm x 25.4mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-IC5030-SS-ND,IC5030-SS,"Conductive Containers, Inc.",CORSTAT IC SHIPPERS SS 3-7/16 X,185,0,"2.96000","0","1","Corstat™","Active","Card Carrier","Shipping","3.44"" L x 2.13"" W x 0.94"" H (87.3mm x 54.0mm x 23.8mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-PPF3515-ND,PPF3515,"Conductive Containers, Inc.",CORSTAT PILLOWSTAT FOLDER 3-1/2,200,0,"3.24000","0","1","Corstat™ Pillowstat™","Active","Box","Shipping","3.50"" L x 1.50"" W x 0.50"" H (88.9mm x 38.1mm x 12.7mm)","-","Conductive, Foam Insert, Hinged Lid"
-,-,2079-PPF2525-ND,PPF2525,"Conductive Containers, Inc.",CORSTAT PILLOWSTAT FOLDER 2-9/16,200,0,"3.24000","0","1","Corstat™ Pillowstat™","Active","Box","Shipping","2.56"" L x 2.56"" W x 0.50"" H (65.1mm x 65.1mm x 12.7mm)","-","Conductive, Foam Insert, Hinged Lid"
-,-,2079-PPF2535-ND,PPF2535,"Conductive Containers, Inc.",CORSTAT PILLOWSTAT FOLDER 3-1/2,194,0,"3.41000","0","1","Corstat™ Pillowstat™","Active","Box","Shipping","3.50"" L x 2.56"" W x 0.50"" H (88.9mm x 65.1mm x 12.7mm)","-","Conductive, Foam Insert, Hinged Lid"
-,-,2079-PP2525-ND,PP2525,"Conductive Containers, Inc.",PILLOWPACK ESD 2 9/16 X 2 9/16 X,250,0,"4.13000","0","1","Pillow Pak","Active","Box","Storage","2.56"" L x 2.56"" W x 0.50"" H (65.1mm x 65.1mm x 12.7mm)","-","Foam Insert, Hinged Lid"
-,-,2079-IC5040-SS-ND,IC5040-SS,"Conductive Containers, Inc.",CORSTAT IC SHIPPERS SS 3-3/4 X 3,200,0,"4.43000","0","1","Corstat™","Active","Card Carrier","Shipping","3.75"" L x 3.75"" W x 1.00"" H (95.3mm x 95.3mm x 25.4mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-TP2020-ND,TP2020,"Conductive Containers, Inc.",TACKI PAK 2 X 2 X 1/4"",159,0,"6.28000","0","1","Tacki Pak","Active","Box","Storage","2.00"" L x 2.00"" W x 0.25"" H (50.8mm x 50.8mm x 6.4mm)","Plastic","Hinged Lid"
-,-,2079-PPF7035-ND,PPF7035,"Conductive Containers, Inc.",CORSTAT PILLOWSTAT FOLDER 7 X 3-,200,0,"7.47000","0","1","Corstat™ Pillowstat™","Active","Box","Shipping","7.00"" L x 3.50"" W x 0.50"" H (177.8mm x 88.9mm x 12.7mm)","-","Conductive, Foam Insert, Hinged Lid"
-,-,2079-TP2525-ND,TP2525,"Conductive Containers, Inc.",TACKI PAK 2 9/16 X 2 9/16 X 1/2"",290,0,"7.93000","0","1","Tacki Pak","Active","Box","Storage","2.56"" L x 2.56"" W x 0.50"" H (65.1mm x 65.1mm x 12.7mm)","Plastic","Hinged Lid"
http://documents.desco.com/PDF/38920.pdf,-,38999-ND,38999,Desco,ESD HANDLER 6X20-1/8X2-1/4,29,0,"114.33000","0","1","Protektive Pak Plastek™","Active","Card Holder","Storage, Transport","6.00"" L x 20.13"" W x 2.25"" H (152.4mm x 511.3mm x 57.2mm)","Polypropylene","5 Cells, Chemical and Moisture Resistant, Dissipative Foam Insert, Dissipative Partitions, Plastic Handles"
http://documents.protektivepak.com/PDF/57000.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57010.jpg,16-1495-ND,57010,Desco,BOX COND WITH FOAM 9X5X0.81,39,0,"10.85000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","9.00"" L x 5.00"" W x 0.81"" H (228.6mm x 127.0mm x 20.6mm)","Polypropylene","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37563.pdf,//media.digikey.com/Photos/Desco%20Photos/37563.JPG,16-1241-ND,37563,Desco,REEL HOLDER 7"" 15 SLOTS,91,0,"33.38000","0","1","Protektive Pak®","Active","Reel Holder","Storage","17.50"" L x 8.25"" W x 7.25"" H (444.5mm x 209.6mm x 184.2mm)","Corrugated Fiberboard","15 Cells, Dissipative"
http://documents.protektivepak.com/PDF/8521.pdf,//media.digikey.com/Photos/3M%20Photos/8522.JPG,16-1353-ND,8522,Desco,CARD CARRIER ESD SAFE 18X17X2,5,0,"72.46000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Transport","18.00"" L x 17.00"" W x 2.00"" H (457.2mm x 431.8mm x 50.8mm)","Velostat™","Conductive, Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/37000.pdf,"//media.digikey.com/photos/Desco%20Photos/MFG_3700(2,3).jpg",16-1401-ND,37003,Desco,SHIPPER ESD SMALL PROTEKTIVE PAK,968,0,"1.64000","0","1","Protektive Pak®","Active","Box","Storage, Shipping","3.44"" L x 2.13"" W x 1.00"" H (87.4mm x 54.1mm x 25.4mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.protektivepak.com/PDF/57020.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57021.jpg,16-1558-ND,57021,Desco,VELOSTAT HINGED CONTAINER,58,0,"3.65000","0","1","Velostat®","Active","Box","Storage, Transport","7.00"" L x 3.50"" W x 1.00"" H (177.8mm x 88.9mm x 25.4mm)","Velostat™","Conductive, Hinged Lid"
http://documents.protektivepak.com/PDF/57020.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57022.jpg,16-1456-ND,57022,Desco,VELOSTAT HINGED CONTAINER,79,0,"8.75000","0","1","Velostat®","Active","Box","Storage, Transport","7.00"" L x 5.00"" W x 0.50"" H (177.8mm x 127.0mm x 12.7mm)","Velostat™","Conductive, Hinged Lid"
http://documents.mendapump.com/PDF/35870.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_35870.jpg,EB1543-ND,35870,MENDA/EasyBraid,TOOL BOX DISS YELLOW 14.5X7.5X5"",11,0,"42.53000","0","1","Menda®","Active","Tool Box","Storage, Transport","14.50"" L x 7.50"" W x 5.00"" H (368.3mm x 190.5mm x 127.0mm)","Polypropylene","Dissipative, Hinged Lid, Washable"
http://documents.desco.com/PDF/37561.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_37562.jpg,16-1589-ND,37562,Desco,STORAGE CONT 20X7-1/4X7-1/4,13,0,"55.19000","0","1","Protektive Pak®","Active","Tote","Storage, Transport","22.88"" L x 8.38"" W x 7.38"" H (581.2mm x 212.9mm x 187.5mm)","Corrugated Fiberboard","Conductive, Dissipative, Lid and Handles Included"
