Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Mat Type","Shape","Length","Width","Thickness","Color","Material","Number of Layers","Features"
http://www.aclstaticide.com/datasheets/SpecMat-H_TDS%2015.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_ESD-Mat-Med-Blue.jpg,ST1076-ND,6672436,ACL Staticide Inc,TABLE MAT VINYL MED BLUE 24""X36"",134,0,"35.00000","0","1","SpecMat-H","Active","Table, Workbench","Rectangle","3' (0.91m)","2' (0.61m)","0.06"" (1.52mm)","Blue, Medium","Vinyl","1","Dissipative"
http://documents.desco.com/PDF/16310.pdf,//media.digikey.com/Photos/Desco%20Photos/16310.jpg,16-1212-ND,16310,Desco,MAT TRUSTAT B80 VINYL 24""X36"",147,0,"56.18000","0","1","Trustat™ B80","Active","Table, Workbench","Rectangle","3' (0.91m)","2' (0.61m)","0.08"" (2.03mm)","Blue, Light","Vinyl","1","Dissipative"
http://documents.desco.com/PDF/16475.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_16475.jpg,16-1235-ND,16475,Desco,MAT PORTABLE W/WRISTSTRAP 18X22,59,0,"82.18000","0","1","-","Active","Table, Workbench","Rectangle","1.83' (0.56m)","1.5' (0.46m)","0.02"" (0.51mm)","Red","Vinyl","1","Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,//media.digikey.com/photos/3M%20Photos/8214.jpg,SCP222-ND,8214,SCS,TABLE MAT ESD BLUE 2X4',66,0,"87.44000","0","1","8200","Active","Table, Workbench","Rectangle","4' (1.22m)","2' (0.61m)","0.14"" (3.56mm)","Blue","Vinyl","3","Conductive, Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,//media.digikey.com/renders/3M%20Renders/Gray%20Mats.jpg,SCP221-ND,8213,SCS,TABLE MAT ESD GRAY 2X4',44,0,"87.44000","0","1","8200","Active","Table, Workbench","Rectangle","4' (1.22m)","2' (0.61m)","0.14"" (3.56mm)","Gray","Vinyl","3","Conductive, Dissipative"
http://documents.desco.com/PDF/16310.pdf,//media.digikey.com/Photos/Desco%20Photos/16312.JPG,16-1213-ND,16312,Desco,MAT TRUSTAT B80 VINYL 30""X60"",36,0,"100.65000","0","1","Trustat™ B80","Active","Table, Workbench","Rectangle","5' (1.52m)","2.5' (0.76m)","0.08"" (2.03mm)","Blue, Light","Vinyl","1","Dissipative"
http://documents.desco.com/PDF/16310.pdf,//media.digikey.com/Photos/Desco%20Photos/16313.jpg,16-1209-ND,16313,Desco,MAT TRUSTAT B80 VINYL 30""X72"",24,0,"117.77000","0","1","Trustat™ B80","Active","Table, Workbench","Rectangle","6' (1.83m)","2.5' (0.76m)","0.08"" (2.03mm)","Blue, Light","Vinyl","1","Dissipative"
http://documents.desco.com/PDF/PM-131.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_66327.jpg,16-1328-ND,66327,Desco,TABLE MAT RUBBER BLUE 3' X 2',40,0,"120.05000","0","1","Statfree®","Active","Table, Workbench","Rectangle","3' (0.91m)","2' (0.61m)","0.08"" (2.03mm)","Blue","Rubber","2","Conductive, Dissipative"
http://documents.desco.com/PDF/16310.pdf,//media.digikey.com/Photos/Desco%20Photos/16313.jpg,16-1210-ND,16314,Desco,MAT TRUSTAT B80 VINYL 36""X72"",35,0,"138.29000","0","1","Trustat™ B80","Active","Table, Workbench","Rectangle","6' (1.83m)","3' (0.91m)","0.08"" (2.03mm)","Blue, Light","Vinyl","1","Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/renders/ACL%20Staticide%20Renders/8285RBM3060.JPG,ST1043-ND,8285RBM3060,ACL Staticide Inc,MAT TABLE ESD 30""X60"" ROYAL BLUE,42,0,"143.00000","0","1","Dualmat™","Active","Table, Workbench","Rectangle","5' (1.52m)","2.5' (0.76m)","0.08"" (2.03mm)","Blue, Royal","Elastomer","2","Dissipative"
http://documents.desco.com/PDF/pm-112.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_42551.jpg,16-1452-ND,42551,Desco,MAT 3-LYR VNYL BL .125''X30''X60,42,0,"170.75000","0","1","Statfree Z2™","Active","Table, Workbench","Rectangle","5' (1.52m)","2.5' (0.76m)","0.13"" (3.30mm)","Blue","Vinyl","3","Conductive, Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/renders/ACL%20Staticide%20Renders/8285RBM3072.JPG,ST1044-ND,8285RBM3072,ACL Staticide Inc,MAT TABLE ESD 30""X72"" ROYAL BLUE,38,0,"173.00000","0","1","Dualmat™","Active","Table, Workbench","Rectangle","6' (1.83m)","2.5' (0.76m)","0.08"" (2.03mm)","Blue, Royal","Elastomer","2","Dissipative"
