Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Layers","Length","Width","Thickness - Theoretical","Size","Substrate","Suspension"
https://www.kennedylabs.tech/download/klg-1010-18cu-pmma,"//media.digikey.com/photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/MFG_KLG-1010-18CU.jpg",1767-1003-ND,KLG-1010-18CU+PMMA,"Kennedy Labs, a division of Hub Incorporated",CVD GRAPHENE X4 ON CU PMMA,4,0,"76.76000","0","1","-","Active","Graphene Film","1","0.394"" (10.00mm)","0.394"" (10.00mm)","0.345nm","-","Copper Foil","-"
https://www.kennedylabs.tech/download/kgl-1010-poly,"//media.digikey.com/photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/MFG_KLG-1010-POLY.jpg",1767-1009-ND,KLG-1010-POLY,"Kennedy Labs, a division of Hub Incorporated",CVD GRAPHENE ON POLY SUB X1 PCS,5,0,"124.99000","0","1","-","Active","Graphene Film","1","0.394"" (10.00mm)","0.394"" (10.00mm)","0.345nm","-","Polymer Film","-"
https://www.kennedylabs.tech/download/klg-rgo-1g,"//media.digikey.com/photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/MFG_KLG-RGO-1G.jpg",1767-1001-ND,KLG-RGO-1G,"Kennedy Labs, a division of Hub Incorporated",REDUCED GRAPHENE OXIDE POWDER,8,0,"251.49000","0","1","-","Active","Graphene Oxide Powder","-","-","-","-","1g","-","-"
https://www.kennedylabs.tech/download/klg-1010-18q,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-1010-18Q.JPG",1767-1007-ND,KLG-1010-18Q,"Kennedy Labs, a division of Hub Incorporated",CVD GRAPHENE ON QUARTZ X 4PCS,7,0,"251.49000","0","1","-","Active","Graphene Film","1","0.394"" (10.00mm)","0.394"" (10.00mm)","0.345nm","-","Quartz","-"
https://www.kennedylabs.tech/download/kgl-100100-18,"//media.digikey.com/photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/MFG_KLG-100100-18CU.jpg",1767-1004-ND,KLG-100100-18CU,"Kennedy Labs, a division of Hub Incorporated",MONO CVD GRAPHENE ON CU 4"" X1PCS,3,0,"402.99000","0","1","-","Active","Graphene Film","1","-","3.937"" Dia (100.00mm)","0.345nm","-","Copper Foil","-"
https://www.kennedylabs.tech/download/kgl-100100-18cu-pmma,"//media.digikey.com/photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/MFG_KLG-100100-18CU.jpg",1767-1005-ND,KLG-100100-18CU+PMMA,"Kennedy Labs, a division of Hub Incorporated",CVD GRAPHENE ON CU 4"" PMMA X1,5,0,"421.17000","0","1","-","Active","Graphene Film","1","-","3.937"" Dia (100.00mm)","0.345nm","-","Copper Foil","-"
-,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-SKIT.jpg",1767-1012-ND,KLG-SKIT,"Kennedy Labs, a division of Hub Incorporated",GRAPHENE DISCOVERY KIT 10X10 MM,15,0,"503.99000","0","1","*","Active","-","-","-","-","-","-","-","-"
https://www.kennedylabs.tech/download/kl2g-1010-sio2-si,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KL2G-1010-SIO2%5ESI.JPG",1767-1000-ND,KL2G-1010-SIO2/SI,"Kennedy Labs, a division of Hub Incorporated",2 LAYER GRAPHENE 10MM2 SIO2 SUB,5,0,"150.49000","0","1","-","Active","Graphene Film","1","0.394"" (10.00mm)","0.394"" (10.00mm)","0.345nm","-","Silicon","-"
-,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-1010-175PET.JPG",1767-1008-ND,KLG-1010-175PET,"Kennedy Labs, a division of Hub Incorporated",CVD GRAPHENE ON PET SUB X 4PCS,6,0,"217.15000","0","1","*","Active","-","-","-","-","-","-","-","-"
-,"//media.digikey.com/Photos/Kennedy%20Labs,%20a%20division%20of%20Hub%20Incorporated/KLG-1010-SIO2%5ESI.JPG",1767-1006-ND,KLG-1010-SIO2/SI,"Kennedy Labs, a division of Hub Incorporated",CVD GRAPHENE ON SIO2/SI X 4PCS,10,0,"221.19000","0","1","*","Active","-","-","-","-","-","-","-","-"
