Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage","Current"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/LK10-Y%5ER-UL.jpg,1920-1441-ND,LK10 Y/R UL,Altech Corporation,SWITCH KNOB ROUND RED/YELLOW,354,976,"18.78000","0","1","UL","Active","Handle, Red/Yellow","-","-"
http://www.altechcorp.com/pdfs/splits/disco3.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_Lx00AD11-ST.jpg,1920-1456-ND,L200AD11-ST,Altech Corporation,SWITCH REMOTE SHAFT 200MM,229,1276,"4.33000","0","1","-","Active","Shaft","-","-"
-,-,1920-2069-ND,L100AD11-ST,Altech Corporation,DOOR INTERL SHAFT 100MMSTEEL USE,209,164,"4.33000","0","1","-","Active","Shaft","-","-"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/photos/Altech-Corporation/KU1.V.JPG,1920-1449-ND,KU1.V,Altech Corporation,SWITCH COMP AUX CONTACT 1 NO/1 N,121,347,"22.84000","0","1","-","Active","Auxiliary Contacts","-","-"
http://www.altechcorp.com/PDFS/Splits/mds5.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_VKA3xxxN.jpg,1920-1452-ND,VKA3125N,Altech Corporation,SWITCH DISCT 125A,47,106,"107.40000","0","1","VKA","Active","Switch","600V","125A"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/photos/Altech-Corporation/OKA%5EKU-LK10-Y%5ER.jpg,1920-1445-ND,OKA/KU LK10 Y/R,Altech Corporation,SWITCH MOUNTING KIT RED/YELLOW,41,0,"26.73000","0","1","-","Active","Door Mounting Kit","-","-"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KU3xxN.jpg,1920-1436-ND,KU340N,Altech Corporation,SWITCH DISCONNECT 40A,58,1005,"37.01000","0","1","KU","Active","Switch","600V","40A"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KEM325UL-Y%5ER.jpg,1920-1432-ND,KEM325UL Y/R,Altech Corporation,SWITCH DISCONNECT W/BOX 25A,23,239,"81.10000","0","1","KEM","Active","Switch","600V","25A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22995012.jpg,288-1618-ND,22995012,American Electrical Inc.,SWITCH KNOB ROUND BLUE,29,0,"4.83000","0","1","-","Active","Handle, Blue","-","100A"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_Lx00AD11-ST.jpg,1920-1447-ND,L300AD11-ST,Altech Corporation,SWITCH REMOTE SHAFT 300MM,43,669,"5.42000","0","1","-","Active","Shaft","-","-"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_LK11-Y%5ER-U.jpg,1920-1437-ND,LK11 Y/R U,Altech Corporation,SWITCH KNOB ROUND RED/YELLOW,37,1627,"20.56000","0","1","U","Active","Handle, Red","-","-"
-,-,1920-1458-ND,OKA0.V Y/R,Altech Corporation,SWITCH MOUNTING KIT RED/YELLOW,15,228,"20.56000","0","1","-","Active","Door Mounting Kit","-","-"
http://www.altechcorp.com/PDFS/Splits/mds6.pdf,-,1920-1464-ND,LK11 U,Altech Corporation,SWITCH KNOB ROUND BLACK,10,133,"20.56000","0","1","U","Active","Handle, Black","-","-"
http://www.altechcorp.com/PDFS/MA-Series.pdf,//media.digikey.com/photos/Altech-Corporation/H11UM.JPG,1920-1418-ND,H11UM,Altech Corporation,CONTACTS AUX 1 NO/1 NC,15,188,"21.76000","0","1","UM","Active","Auxiliary Contacts","240V","10A"
http://www.altechcorp.com/pdfs/splits/abl14.pdf,//media.digikey.com/Photos/Altech-Corporation/H11UL.jpg,1920-1514-ND,H11UL,Altech Corporation,CONTACTS AUX 1 NO/1 NC,74,80,"21.96000","0","1","UL","Active","Auxiliary Contacts","240V","10A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/147E1111.jpg,288-1628-ND,14741111,American Electrical Inc.,SWITCH KNOB ROUND RED/YELLOW,28,0,"22.39000","0","1","-","Active","Handle, Red/Yellow","-","100A"
http://www.altechcorp.com/PDFS/L-Series.pdf,-,1920-1609-ND,H1COL,Altech Corporation,AUX SWITCH FOR BREAKER SPDT-SB,44,75,"23.52000","0","1","L","Active","Auxiliary Contacts","240V","3A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22005005.JPG,288-1652-ND,22005005,American Electrical Inc.,UNSWITCHED NEUTRAL POLE 16-40A,10,0,"25.31000","0","1","-","Active","Unswitched Pole","-","32A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22009005.jpg,288-1654-ND,22009005,American Electrical Inc.,UNSWITCHED GROUND 16-40A,10,0,"25.31000","0","1","-","Active","Unswitched Pole","-","32A"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2067-ND,KUE325,Altech Corporation,MOTOR DISCONNECT SWITCH 3P TOGGL,10,30,"28.14000","0","1","KUE","Active","Switch","600V","25A"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,-,1920-1935-ND,K/VKA3-4P Y/R,Altech Corporation,DIRECT HANDLE YELRED USE WVKA3(4,15,0,"28.80000","0","1","VKA","Active","Handle, Red/Yellow","-","-"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2059-ND,K/VKA3-4P,Altech Corporation,DIRECT HANDLE BLK USE WVKA3(4)80,9,4,"28.80000","0","1","VKA","Active","Handle, Black","-","-"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22005005.JPG,288-1653-ND,22005009,American Electrical Inc.,UNSWITCHED NEUTRAL POLE 63-100A,13,0,"31.76000","0","1","-","Active","Unswitched Pole","-","63A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22009005.jpg,288-1655-ND,22009009,American Electrical Inc.,UNSWITCHED GROUND 63-100A,10,0,"31.76000","0","1","-","Active","Unswitched Pole","-","63A"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KU3xxN.jpg,1920-1451-ND,KU316N,Altech Corporation,SWITCH DISCT 16A,66,894,"34.27000","0","1","KU","Active","Switch","600V","16A"
-,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/GEH63A115.jpg,1864-1872-ND,GEH63A115,Carlo Gavazzi Inc.,HANDLE GMS-63 115MM,11,0,"35.20000","0","1","-","Active","Handle","-","-"
-,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/GEH63A115.jpg,1864-1868-ND,GEH100A115,Carlo Gavazzi Inc.,HANDLE GMS-100 115MM,10,0,"35.20000","0","1","-","Active","Handle","-","-"
-,-,1864-1870-ND,GEH32A115,Carlo Gavazzi Inc.,HANDLE GMS-32 115MM,10,0,"35.20000","0","1","-","Active","Handle","-","-"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KU3xxN.jpg,1920-1442-ND,KU325N,Altech Corporation,SWITCH DISCT 25A,30,149,"35.64000","0","1","KU","Active","Switch","600V","25A"
-,-,1864-1869-ND,GEH100A315,Carlo Gavazzi Inc.,HANDLE GMS-100 315MM,10,0,"39.60000","0","1","-","Active","Handle","-","-"
-,-,1864-1871-ND,GEH32A315,Carlo Gavazzi Inc.,HANDLE GMS-32 315MM,10,0,"39.60000","0","1","-","Active","Handle","-","-"
-,-,1864-1873-ND,GEH63A315,Carlo Gavazzi Inc.,HANDLE GMS-63 315MM,10,0,"39.60000","0","1","-","Active","Handle","-","-"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2064-ND,KU425N,Altech Corporation,MOTOR DISCONNECT SWITCH 4P EXTEN,10,30,"42.98000","0","1","KU","Active","Switch","600V","25A"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2095-ND,OKA/KU4P LK10 Y/R,Altech Corporation,DOOR MOUNTING KITYELRED HDL USE,9,85,"43.85000","0","1","KU","Active","Door Handle Kit, Red","-","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/Catalogs/BUS_Ele_Quick_Spec_A_C_Disconnects_Fused_Non_Fused_.pdf,-,2041-1004-ND,B222-60NF,Eaton - Bussmann Electrical Division,FUSE 60A NON-D HVAC,10,0,"44.14000","0","1","Quik-Spec™","Active","Fuse Cover","10V","60A"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KU3xxN.jpg,1920-1435-ND,KU363N,Altech Corporation,SWITCH DISCONNECT 60A,15,289,"46.61000","0","1","KU","Active","Switch","600V","63A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22003000.jpg,288-1610-ND,22003000,American Electrical Inc.,SWITCH DISCONNECT 16A DIN RAIL,14,0,"47.09000","0","1","-","Active","Switch","-","16A"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2096-ND,OKA/VKA 0.V,Altech Corporation,DOOR MOUNTING KIT GRYBLK USE WIT,10,9,"47.98000","0","1","-","Active","Door Handle Kit, Black","-","-"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,//media.digikey.com/Photos/Altech-Corporation/OKA%5EVKA-0.V-Y%5ER.jpg,1920-2097-ND,OKA/VKA 0.V Y/R,Altech Corporation,DOOR MOUNTING KIT YELRED USE WIT,7,5,"47.98000","0","1","-","Active","Door Handle Kit, Red","-","-"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/OKA%5EKU-LK10-1.V-Y%5ER.jpg,1920-1941-ND,OKA/KU LK10 1.V Y/R,Altech Corporation,DOOR MOUNTING KIT YELRED USEW KU,20,49,"51.40000","0","1","KU","Active","Door Handle Kit, Red","-","-"
http://www.altechcorp.com/PDFS/Splits/mds5.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_VKA3xxxN.jpg,1920-1455-ND,VKA380N,Altech Corporation,SWITCH DISCT 80A,7,12,"58.26000","0","1","VKA","Active","Switch","600V","80A"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KKV-332.jpg,1920-1433-ND,KKV 332CC,Altech Corporation,SWITCH DISCONCT/FUSE HOLDER 30A,6,446,"61.68000","0","1","KKV","Active","Switch","600V","30A"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-b/Bus_Ele_DS_1157_CCP.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/CCP-1-30CF.jpg,2041-1012-ND,CCP-1-30CF,Eaton - Bussmann Electrical Division,SWTCH COMP FUSE CARRIER 600V 30A,6,0,"62.66000","0","1","CCP","Active","Fuse Carrier","600V","30A"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,//media.digikey.com/Photos/Altech-Corporation/OKA%5EVKA4P-0V.jpg,1920-2099-ND,OKA/VKA4P 0.V Y/R,Altech Corporation,DOOR MOUNTING KIT FOR VKA SW 4P,10,8,"63.98000","0","1","-","Active","Door Handle Kit, Red","-","-"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,-,1920-1438-ND,KEM325UL,Altech Corporation,SWITCH DISCONNECT W/BOX 25A,7,0,"81.10000","0","1","KEM","Active","Switch","600V","25A"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,-,1920-1457-ND,KEM340UL,Altech Corporation,SWITCH DISCT W/BOX 40A,12,13,"97.10000","0","1","KEM","Active","Switch","600V","40A"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KEM3x0UL-Y%5ER.jpg,1920-1443-ND,KEM340UL Y/R,Altech Corporation,SWITCH DISCT W/BOX 40A,6,70,"97.10000","0","1","KEM","Active","Switch","600V","40A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22003000.jpg,288-1617-ND,22003009,American Electrical Inc.,SWITCH DISCONNECT 100A DIN RAIL,3,0,"97.15000","0","1","-","Active","Switch","-","100A"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KEM3x0UL-Y%5ER.jpg,1920-1434-ND,KEM360UL Y/R,Altech Corporation,SWITCH DISCONNECT W/BOX 60A,2,30,"100.96000","0","1","KEM","Active","Switch","600V","60A"
http://www.altechcorp.com/PDFS/Splits/mds5.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_VKA3160N.jpg,1920-1450-ND,VKA3160N,Altech Corporation,SWITCH DISCT 150A,13,46,"107.96000","0","1","VKA","Active","Switch","600V","150A"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KEM3x0UL-Y%5ER.jpg,1920-1461-ND,KEM380UL Y/R,Altech Corporation,SWITCH DISCT W/BOX 80A,12,22,"128.94000","0","1","KEM","Active","Switch","600V","80A"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-b/Bus_Ele_DS_1157_CCP.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/CCP-3-30CC.jpg,2041-1014-ND,CCP-3-30CC,Eaton - Bussmann Electrical Division,SWTCH COMP FUSE CARRIER 600V 30A,2,0,"138.19000","0","1","CCP","Active","Fuse Carrier","600V","30A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22143503.jpg,288-1649-ND,22143503,American Electrical Inc.,SWITCH DISCONNECT 32A 3POLE,6,0,"138.79000","0","1","-","Active","Switch","-","32A"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2060-ND,KEA325UL,Altech Corporation,ENCLOSED DISC SWITCH 3P 25A600V,3,10,"150.94000","0","1","KEA","Active","Switch","600V","25A"
http://www.altechcorp.com/PDFS/Splits/mds16.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KEA340UL-Y%5ER.jpg,1920-1453-ND,KEA340UL Y/R,Altech Corporation,SWITCH DISCT W/BOX 40A,6,14,"164.92000","0","1","KEA","Active","Switch","600V","40A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22143503.jpg,288-1650-ND,22243503,American Electrical Inc.,SWITCH DISCONNECT 32A 3POLE,3,0,"166.49000","0","1","-","Active","Switch","-","32A"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/Catalogs/bus-ele-cat-1007-flc-2017-sec-14-telpower.pdf,-,2041-1136-ND,TP15900-4,Eaton - Bussmann Electrical Division,SWITCH DISONNECT 50A 80V BLACK,21,0,"169.06000","0","1","Telpower®","Active","Switch","80V","50A"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KKVM-332CC-Y%5ER.jpg,1920-1454-ND,KKVM 332 Y/R,Altech Corporation,SWITCH DISCT W/BOX 30A,6,23,"173.93000","0","1","KKVM","Active","Switch","600V","30A"
-,//media.digikey.com/Photos/Altech-Corporation/MFG_KKVM-332CC-Y%5ER.jpg,1920-1439-ND,KKVM 332CC Y/R,Altech Corporation,SWITCH DISCONNECT W/BOX 30A,4,60,"173.93000","0","1","KKVM","Active","Switch","600V","30A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22143503.jpg,288-1651-ND,22243506,American Electrical Inc.,SWITCH DISCONNECT 63A 3POLE,3,0,"202.68000","0","1","-","Active","Switch","-","63A"
