Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Switch Type","Number of Keys","Matrix (Columns x Rows)","Illumination","Legend Type","Key Type","Output Type","Legend","Legend Color","Key Color","Mounting Type","Termination Style","Panel Cutout Dimensions","Operating Temperature","Ingress Protection","Illumination Voltage (Nominal)","Contact Rating @ Voltage","Features"
//media.digikey.com/pdf/Data%20Sheets/Grayhill%20PDFs/96%20Series.pdf,//media.digikey.com/photos/Grayhill%20Photos/96BB2-006-F.jpg,GH5003-ND,96BB2-006-F,Grayhill Inc.,SWITCH KEYPAD 16 KEY 0.005A 12V,104,0,"19.92000","0","1","96","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format, A ~ D","Black","White","Panel Mount, Front","Pin Header","-","-30°C ~ 80°C","IP40","-","0.005A @ 12VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396361233.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_7207-0410203.jpg,MGR1658-ND,7207-0410203,Storm Interface,SWITCH KEYPAD 4 KEY 0.05A 24V,187,0,"25.95000","0","1","720 GFX","Active","Conductive Rubber","4","1 x 4","Non-Illuminated","Interchangeable","Transparent Key Cap","Matrix","Customizable (Included)","Black","Multiple","Panel Mount, Front or Rear","Pin Header","-","-20°C ~ 60°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_88.pdf,//media.digikey.com/photos/Grayhill%20Photos/88BB2.jpg,GH5019-ND,88BB2,Grayhill Inc.,SWITCH KEYPAD 16 KEY 0.01A 24V,327,5,"28.68000","0","1","88","Active","Snap Dome","16","4 x 4","Non-Illuminated","Interchangeable","Polyester Overlay","Matrix","Customizable (Sold Separate)","-","White","Panel Mount, Front or Rear","Pin Header","-","-40°C ~ 80°C","IP42","-","0.01A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359302.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/70040203.jpg,MGR1111-ND,70040203,Storm Interface,SWITCH KEYPAD 4 KEY 0.05A 24V,271,0,"30.34000","0","1","700","Active","Conductive Rubber","4","1 x 4","Non-Illuminated","Interchangeable","Rubber Overlay","Matrix","Customizable (Included)","White","Gray","Panel Mount, Front or Rear","Pin Header","-","-55°C ~ 125°C","IP67 - Dust Tight, Waterproof","-","0.05A @ 24VDC","Black Housing"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359459.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/GS160203.jpg,MGR1549-ND,GS160203,Storm Interface,SWITCH KEYPAD 16 KEY 0.05A 24V,124,0,"47.05000","0","1","GFX","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Interchangeable","Transparent Key Cap","Matrix","Customizable (Sold Separate)","-","Transparent","Panel Mount, Front or Rear","Pin Header","Square - 83.00mm²","-20°C ~ 60°C","IP54 - Dust Protected, Water Resistant","-","0.05A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359302.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/70160203.jpg,MGR1113-ND,70160203,Storm Interface,SWITCH KEYPAD 16 KEY 0.05A 24V,255,0,"48.19000","0","1","700","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Interchangeable","Rubber Overlay","Matrix","Customizable (Included)","White","Gray","Panel Mount, Front or Rear","Pin Header","-","-55°C ~ 125°C","IP67 - Dust Tight, Waterproof","-","0.05A @ 24VDC","Black Housing"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396358420.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/1K12T103.jpg,MGR1513-ND,1K12T103,Storm Interface,SWITCH KEYPAD 12 KEY 0.05A 24V,350,0,"69.50000","0","1","1000","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Metal","Matrix","Telephone Format","Black","Silver","Panel Mount, Front or Rear","Pin Header","Rectangular - 83.00mm x 64.00mm","-40°C ~ 100°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","Vandal Resistant"
http://www.grayhill.com/assets/1/7/Keypads_82.pdf,//media.digikey.com/Photos/Grayhill%20Photos/82-150-38.JPG,GH7745-ND,82-150-38,Grayhill Inc.,SWITCH KEYPAD 1KEY ILLUM 0.1A 5V,226,0,"8.45000","0","1","82","Active","Keyswitch","1","1 x 1","Illuminated - Light Source Not Included","Interchangeable","Transparent Key Cap","Independent Switches (SPST)","Customizable (Sold Separate)","-","Gray","Through Hole","PC Pin","-","-40°C ~ 80°C","-","-","0.1A @ 5VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_87.pdf,//media.digikey.com/Photos/Grayhill%20Photos/87FC3-201.JPG,GH7750-ND,87FC3-201,Grayhill Inc.,SWITCH KEYPAD 4 KEY 0.01A 24V,209,85,"11.93000","0","1","87","Active","Snap Dome","4","4 x 1","Non-Illuminated","Interchangeable","Transparent Key Cap","Independent Switches (SPST)","Customizable (Sold Separate)","-","White","Through Hole","PC Pin","-","-40°C ~ 80°C","-","-","0.01A @ 24VDC","-"
//media.digikey.com/pdf/Data%20Sheets/Grayhill%20PDFs/96%20Series.pdf,//media.digikey.com/photos/Grayhill%20Photos/96AB2-102-R.jpg,GH5002-ND,96AB2-102-R,Grayhill Inc.,SWITCH KEYPAD 12 KEY 0.005A 12V,551,0,"17.89000","0","1","96","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format","Black","White","Panel Mount, Rear","Pin Header","Rectangular - 68.58mm x 50.80mm","-30°C ~ 80°C","IP40","-","0.005A @ 12VDC","-"
