Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Actuator Type","Switch Function","Functions, Extra","Output","Voltage - Supply","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Contact Material","Contact Finish","Resistance","Mounting Type","Termination Style","Operating Temperature","Panel Cutout Dimensions","Ingress Protection","Features"
http://spec_sheets.e-switch.com/specs/P200020.pdf,//media.digikey.com/photos/E-Switch%20Photos/JS5208.JPG,EG4561-ND,JS5208,E-Switch,SWITCH NAVIGATION 20MA 15V,4355,0,"3.48000","0","1","JS5208","Active","Navigation Switch, 2 - Axis","Plunger for Cap","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","20mA (DC)","-","15V","-","-","-","Surface Mount","Gull Wing","-20°C ~ 70°C","-","-","-"
https://www.apem.com/int/index.php?controller=attachment&id_attachment=924,//media.digikey.com/photos/APEM%20Comp%20Photos/1V15F11001.jpg,679-1405-ND,1V15F1100,APEM Inc.,SWITCH JOYSTICK 6A 250V,122,72,"60.04000","0","1","1000","Active","Joystick, 2 - Axis","Joystick","8-Way Directional","-","Digital (Mechanical Switch)","-","6A (AC)","250V","-","Silver (Ag)","Gold","-","Panel Mount","Solder Lug","-20°C ~ 50°C","Circular - 20.00mm Dia","IP67 - Dust Tight, Waterproof","Includes Limiter and Bezel Set"
https://www.apem.com/int/index.php?controller=attachment&id_attachment=924,//media.digikey.com/photos/APEM%20Comp%20Photos/1D15F1500.jpg,679-1406-ND,1D15F1500,APEM Inc.,SWITCH JOYSTICK 6A 250V,689,0,"74.48000","0","1","1000","Active","Joystick, 2 - Axis","Joystick","8-Way Directional","-","Digital (Mechanical Switch)","-","6A (AC)","250V","-","Silver (Ag)","Gold","-","Panel Mount","Solder Lug","-20°C ~ 50°C","Circular - 22.00mm Dia","IP65 - Dust Tight, Water Resistant","Includes Limiter and Bezel Set"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1263,//media.digikey.com/Photos/APEM%20Comp%20Photos/MFG_CWB1BK1A0xA0.jpg,1040-1058-ND,CWB1BK1A00A0,APEM Inc.,SWITCH THUMBWHEEL HALL EFFECT,221,0,"102.41000","0","1","CW","Active","Thumbwheel, 1 - Axis","Thumbwheel","2-Way Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount, Snap-In","Connector","-40°C ~ 85°C","Rectangular - 22.73mm x 10.67mm","-","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1229,//media.digikey.com/Photos/APEM%20Comp%20Photos/TS-1D1S00A-1294.JPG,679-2501-ND,TS-1D1S00A-1294,APEM Inc.,SWITCH THUMBSTICK CASTLE HALL,719,0,"122.64000","0","1","TS","Active","Thumbstick, 2 - Axis","Castle","4-Way Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Wire Leads","-40°C ~ 85°C","Circular - 25.65mm Dia","IP67/69K - Dust Tight, Water Resistant, Waterproof","-"
http://www.grayhill.com/assets/1/7/04J_datasheet.pdf,//media.digikey.com/photos/Grayhill%20Photos/04J-BP-T01.JPG,GH7456-ND,04J-BP-T01,Grayhill Inc.,SWITCH NAVIGATION CASTLE 2A 115V,176,0,"135.03000","0","1","04J","Active","Navigation Switch, 2 - Axis","Castle","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","2A (AC/DC)","115V","28V","Nickel","Gold","-","Panel Mount","PC Pin","-55°C ~ 85°C","-","IP68 - Dust Tight, Waterproof","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1229,//media.digikey.com/Photos/APEM%20Comp%20Photos/TS6T1S02A.JPG,679-3658-ND,TS6T1S02A,APEM Inc.,SWITCH THMBSTK PUSHBUTTON HALL,28,0,"153.81000","0","1","TS","Active","Thumbstick, 2 - Axis","Pushbutton","4-Way Directional, Center Select","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Wire Leads","-40°C ~ 85°C","Circular - 25.02mm Dia","IP67/69K - Dust Tight, Water Resistant, Waterproof","-"
http://www.grayhill.com/assets/1/7/Hall_Effect_67B.pdf,//media.digikey.com/photos/Grayhill%20Photos/67B-RA-3C-S-04C.jpg,GH7578-ND,67B-RA-3C-S-04C,Grayhill Inc.,SWITCH JOYSTICK FLATTED HALL,56,0,"164.76000","0","1","67B","Active","Joystick, 3 - Axis","Flatted (4.06mm Dia)","2-Way Rotational, 360° Directional, Center Select","-","Digital (Hall Effect Over I²C Interface)","3.3VDC","-","-","-","-","-","-","Panel Mount","Cable with Connector","-40°C ~ 85°C","-","IP67 - Dust Tight, Waterproof","Half Boot"
https://www.apem.com/int/index.php?controller=attachment&id_attachment=163,//media.digikey.com/Photos/CH%20Products/4R182S1E5500.jpg,679-1408-ND,4R182S1E5500,APEM Inc.,JOYSTICK 5K OHM 1 AXIS PNL MT 1W,36,0,"174.48000","0","1","4000","Active","Joystick, 1 - Axis","Joystick","2-Way Directional","-","Analog (Resistive)","-","-","-","-","-","-","5 kOhms","Panel Mount","Wire Leads","-20°C ~ 55°C","Circular - 23.00mm Dia","IP65 - Dust Tight, Water Resistant","-"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/HFX-22S10.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/HFX-22S10.jpg,679-2263-ND,HFX22S10,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,45,0,"178.71000","0","1","HFX Series I","Active","Joystick, 2 - Axis","Joystick","360° Directional","1 Pushbutton","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Connector","-40°C ~ 85°C","Circular - 41.66mm Dia","IP65 - Dust Tight, Water Resistant","-"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/HFX-44S10.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/HFX-44S10.jpg,679-2265-ND,HFX44S10,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,41,0,"250.05000","0","1","HFX Series I","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 360° Directional","1 Pushbutton","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Connector","-40°C ~ 85°C","Circular - 41.66mm Dia","IP65 - Dust Tight, Water Resistant","-"
//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/HF-55S10_Dwg.pdf,//media.digikey.com/Photos/APEM%20Comp%20Photos/MFG_HF55S10.jpg,679-3654-ND,HF55S10,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,65,0,"256.38000","0","1","HF","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 360° Directional","2 Pushbuttons","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Connector","-40°C ~ 70°C","Circular - 41.28mm Dia","IP67 - Dust Tight, Waterproof","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1087,//media.digikey.com/Photos/APEM%20Comp%20Photos/HF46S10U.jpg,1040-1021-ND,HF46S10U,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,45,0,"284.85000","0","1","HF","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 360° Directional","-","Digital (Hall Effect Over USB Interface)","5VDC","-","-","-","-","-","-","Panel Mount","Cable with Connector","-40°C ~ 70°C","Circular - 41.28mm Dia","IP68 - Dust Tight, Waterproof","-"
-,//media.digikey.com/Photos/APEM%20Comp%20Photos/HF-44S10-U.jpg,1040-1097-ND,HF44S10U,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,36,0,"284.85000","0","1","HF","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 360° Directional","1 Pushbutton","Digital (Hall Effect Over USB Interface)","5VDC","-","-","-","-","-","-","Panel Mount","Cable with Connector","-40°C ~ 70°C","Circular - 41.28mm Dia","IP68 - Dust Tight, Waterproof","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1087,//media.digikey.com/Photos/CH%20Products/HF-45S10-U.jpg,1040-1022-ND,HF45S10U,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,83,0,"296.93000","0","1","HF","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 360° Directional","2 Pushbuttons","Digital (Hall Effect Over USB Interface)","5VDC","-","-","-","-","-","-","Panel Mount","Cable with Connector","-40°C ~ 70°C","Circular - 41.28mm Dia","IP68 - Dust Tight, Waterproof","-"
-,//media.digikey.com/Photos/CH%20Products/FG-1M212A2B-2168.JPG,1040-1020-ND,FG2168,APEM Inc.,SWITCH JOYSTICK FIXED HANDLE,35,0,"461.94000","0","1","FG","Active","Joystick","Fixed Handle","-","4 Pushbuttons, 4-Way Thumbstick, Index Trigger","-","-","-","-","-","-","-","-","Panel Mount","Cable with Connector","-25°C ~ 70°C","-","IP67 - Dust Tight, Waterproof","Index Trigger Guard"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-09032_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/COM-09032.jpg,1568-1526-ND,COM-09032,SparkFun Electronics,JOYSTICK 10K OHM 2 AXIS TH,287,0,"3.95000","0","1","-","Active","Joystick, 2 - Axis","Joystick","4-Way Directional, Center Select","-","Analog (Resistive)","-","-","-","-","-","-","10 kOhms","Through Hole","PC Pin","-","-","-","-"
