Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Color - Actuator/Cap","Actuator Marking","Illumination Type, Color","Illumination Voltage (Nominal)","Termination Style","Ingress Protection","Features","Panel Cutout Dimensions","Operating Temperature"
http://switches-connectors-custom.cwind.com/Asset/GRS-2011-2XXX.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/GRS-201%202%20PIN%20SERIES.jpg,SW314-ND,GRS-2011-2000,CW Industries,SWITCH ROCKER SPST 16A 125V,5888,0,"0.73000","0","1","Bulk","2000","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC)","125V","-","Concave (Curved)","Black","No Marking","-","-","Quick Connect - 0.250"" (6.3mm)","-","-","Rectangular - 28.58mm x 13.97mm","-20°C ~ 105°C"
http://switches-connectors-custom.cwind.com/Asset/GRS-4011B-XXXX.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/GRS-4011B-1300.jpg,SW329-ND,GRS-4011B-1300,CW Industries,SWITCH ROCKER SPST-NO 13A 125V,7178,0,"0.90000","0","1","Bulk","4000","Active","Panel Mount, Snap-In","SPST-NO","Off-Mom","13A (AC)","125V","-","Concave (Curved)","Black","No Marking","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.20mm x 12.90mm","-20°C ~ 105°C"
http://switches-sensors.zf.com/us/wp-content/uploads/sites/7/2012/10/Rocker_SRB_Datasheet1.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/SRB22A2FBBNN.jpg,CH755-ND,SRB22A2FBBNN,ZF Electronics,SWITCH ROCKER SPST 10A 125V,12657,0,"0.95000","0","1","Bulk","SR","Active","Panel Mount, Snap-In","SPST","On-Off","10A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.10mm x 12.90mm","-20°C ~ 65°C"
http://switches-connectors-custom.cwind.com/Asset/GRS-4011-XXXX.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/GRS-4011-1600.jpg,SW301-ND,GRS-4011-1600,CW Industries,SWITCH ROCKER SPST 16A 125V,13105,0,"0.98000","0","1","Bulk","4000","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC)","125V","-","Concave (Curved)","Black","No Marking","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.20mm x 12.90mm","-20°C ~ 105°C"
http://switches-connectors-custom.cwind.com/Asset/GRS-4011-0076.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/GRS-4011-0076.jpg,SW323-ND,GRS-4011-0076,CW Industries,SWITCH ROCKER SPST 16A 125V,11698,0,"1.03000","0","1","Bulk","4000","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.20mm x 12.90mm","-20°C ~ 105°C"
http://switches-connectors-custom.cwind.com/Asset/GRS-4012-XXXX.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/GRS-4012-1600.jpg,SW303-ND,GRS-4012-1600,CW Industries,SWITCH ROCKER SPDT 16A 125V,1682,0,"1.03000","0","1","Bulk","4000","Active","Panel Mount, Snap-In","SPDT","On-On","16A (AC)","125V","-","Concave (Curved)","Black","No Marking","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.20mm x 12.90mm","-20°C ~ 105°C"
http://spec_sheets.e-switch.com/specs/14-RR511D1121.pdf,//media.digikey.com/Photos/E-Switch%20Photos/RR511D1121.jpg,EG4777-ND,RR511D1121,E-Switch,SWITCH ROCKER SPST 20A 125V,8619,0,"1.07000","0","1","Bulk","RR5, LAMB","Active","Panel Mount, Snap-In","SPST","On-Off","20A (AC)","125V","-","Round","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Circular - 20.00mm Dia","-20°C ~ 65°C"
https://www.ckswitches.com/media/1441/da.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/DA102J12S215PQF,%20SA102J21S215PQF.jpg",401-1288-ND,DA102J12S215PQF,C&K,SWITCH ROCKER SPST 16A 125V,9230,0,"1.15000","0","1","Tray","DA","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.40mm x 13.00mm","-20°C ~ 85°C"
http://switches-sensors.zf.com/us/wp-content/uploads/sites/7/2013/12/Rocker_PR_PPR.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/PRK22J5DBBNN.jpg,CH865-ND,PRK22J5DBBNN,ZF Electronics,SWITCH ROCKER SPST 6A 125V,13520,0,"1.17000","0","1","Bulk","PR","Active","Panel Mount, Snap-In","SPST","On-Off","6A (AC)","125V","-","Flat","Black","ON OFF, Vertical","-","-","Solder Lug","-","-","Rectangular - 13.60mm x 9.20mm","-20°C ~ 65°C"
http://spec_sheets.e-switch.com/specs/M301100.pdf,//media.digikey.com/photos/E-Switch%20Photos/R1966ABLKBLKFF.jpg,EG1510-ND,R1966ABLKBLKFF,E-Switch,SWITCH ROCKER SPST 15A 125V,8554,0,"1.21000","0","1","Bulk","R1966","Active","Panel Mount, Snap-In","SPST","On-Off","15A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.40mm x 13.00mm","-30°C ~ 65°C"
