Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Number of Positions","Index Stops","Number of Decks","Number of Poles per Deck","Circuit per Deck","Contact Timing","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Angle of Throw","Contact Material","Contact Finish","Mounting Type","Termination Style","Features","Depth Behind Panel"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A20615RNCQ.jpg,CKC7003-ND,A20615RNCQ,C&K,SWITCH ROTARY 6POS 2.5A 125V,1318,0,"5.52000","0","1","A","Active","6","Fixed","1","2","DP6T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","38.10mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A11203RNCQ.jpg,CKN10200-ND,A11203RNCQ,C&K,SWITCH ROTARY 12POS 2.5A 125V,2579,0,"5.97000","0","1","A","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A11205RNCQ.jpg,CKN6042-ND,A11205RNCQ,C&K,SWITCH ROTARY 12POS 2.5A 125V,709,0,"6.98000","0","1","A","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.nkkswitches.com/pdf/hs_ps_ts.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/HS13Y-D.JPG,360-2350-ND,HS13Y-D,NKK Switches,SWITCH ROTARY 3POS 6A 125V,570,0,"7.54000","0","1","HS","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","6A (AC), 5A (DC)","125V","30V","Flatted (6mm Dia)","10.00mm","45°","Phosphor Bronze","-","Panel Mount","Solder Lug","-","20.00mm"
http://spec_sheets.e-switch.com/specs/G510602.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC15A9.501NPF.jpg,KC15A9.501NPF-ND,KC15A9.501NPF,E-Switch,SWITCH ROTARY 5POS 350MA 125V,750,0,"7.58000","0","1","KC","Active","5","Fixed","1","1","SP5T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","9.50mm","30°","Copper Alloy","Gold","Panel Mount, Through Hole","PC Pin","-","14.20mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A40315RNCQ.jpg,CKC7007-ND,A40315RNCQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,635,0,"8.35000","0","1","A","Active","3","Fixed","1","4","4P3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","38.10mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.nkkswitches.com/pdf/MRlogicLevel.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_MRF112.jpg,360-2370-ND,MRF112,NKK Switches,SWITCH ROTARY 2-12POS 0.4VA 28V,541,255,"9.62000","0","1","MR","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Screwdriver Slot","Flush","30°","Phosphor Bronze","Gold","Through Hole","PC Pin","Process Sealed","-"
http://www.grayhill.com/assets/1/7/Rotary_56.pdf,//media.digikey.com/Photos/Grayhill%20Photos/56DP36-01-2-AJN.jpg,GH7281-ND,56DP36-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-10POS 200MA 115V,1220,0,"10.45000","0","1","56","Active","2 ~ 10","Adjustable","1","1","SP10T","Non-Shorting (BBM)","200mA (AC/DC)","115V","30V","Flatted (3.17mm Dia)","9.53mm","36°","Brass","Silver","Panel Mount, Through Hole","PC Pin","-","9.58mm"
https://www.ckswitches.com/media/1353/m.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/MA00L1NZQD.jpg,CKN6045-ND,MA00L1NZQD,C&K,SWITCH ROTARY 10POS 250MA 125V,1673,0,"11.43000","0","1","M","Active","10","Continuous","1","1","SP10T","Non-Shorting (BBM)","250mA (AC/DC)","125V","28V","Flatted (3.17mm Dia)","10.16mm","36°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","14.86mm"
http://www.grayhill.com/assets/1/7/Rotary_56.pdf,//media.digikey.com/Photos/Grayhill%20Photos/56DP36-01-2-AJN.jpg,GH7282-ND,56DP36-01-2-AJN,Grayhill Inc.,SWITCH ROTARY 2-5POS 200MA 115V,650,0,"11.59000","0","1","56","Active","2 ~ 5","Adjustable","1","2","DP5T","Non-Shorting (BBM)","200mA (AC/DC)","115V","30V","Flatted (3.17mm Dia)","9.53mm","36°","Brass","Silver","Panel Mount, Through Hole","PC Pin","-","9.58mm"
