Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Contact Timing","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Contact Material","Contact Finish","Mounting Type","Termination Style","Features","Operating Temperature"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/MFG_JS202011SCQN.jpg,401-2002-2-ND,JS202011SCQN,C&K,SWITCH SLIDE DPDT 300MA 6V,94000,0,"0.28056","0","1000","Tape & Reel (TR)","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount","Gull Wing","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/MFG_JS202011SCQN.jpg,401-2002-1-ND,JS202011SCQN,C&K,SWITCH SLIDE DPDT 300MA 6V,94733,0,"0.48000","0","1","Cut Tape (CT)","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount","Gull Wing","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/MFG_JS202011SCQN.jpg,401-2002-6-ND,JS202011SCQN,C&K,SWITCH SLIDE DPDT 300MA 6V,94733,0,"Digi-Reel","0","1","Digi-Reel®","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount","Gull Wing","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/MFG_JS202011JCQN.jpg,CKN10723TR-ND,JS202011JCQN,C&K,SWITCH SLIDE DPDT 300MA 6V,14300,0,"0.28056","0","1300","Tape & Reel (TR)","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount","J Lead","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/MFG_JS202011JCQN.jpg,CKN10723CT-ND,JS202011JCQN,C&K,SWITCH SLIDE DPDT 300MA 6V,15381,0,"0.48000","0","1","Cut Tape (CT)","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount","J Lead","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/MFG_JS202011JCQN.jpg,CKN10723DKR-ND,JS202011JCQN,C&K,SWITCH SLIDE DPDT 300MA 6V,15381,0,"Digi-Reel","0","1","Digi-Reel®","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount","J Lead","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/MFG_JS202011JAQN.jpg,CKN10722TR-ND,JS202011JAQN,C&K,SWITCH SLIDE DPDT 300MA 6V,11000,0,"0.29568","0","1000","Tape & Reel (TR)","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount, Right Angle","J Lead","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/MFG_JS202011JAQN.jpg,CKN10722CT-ND,JS202011JAQN,C&K,SWITCH SLIDE DPDT 300MA 6V,11022,0,"0.51000","0","1","Cut Tape (CT)","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount, Right Angle","J Lead","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/MFG_JS202011JAQN.jpg,CKN10722DKR-ND,JS202011JAQN,C&K,SWITCH SLIDE DPDT 300MA 6V,11022,0,"Digi-Reel","0","1","Digi-Reel®","JS","Active","DPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount, Right Angle","J Lead","-","-40°C ~ 85°C"
https://www.ckswitches.com/media/1422/js.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/JS102011SAQN.jpg,401-1999-2-ND,JS102011SAQN,C&K,SWITCH SLIDE SPDT 300MA 6V,31000,0,"0.32592","0","1000","Tape & Reel (TR)","JS","Active","SPDT","Not Specified","On-On","300mA (DC)","-","6V","Standard","2.00mm","Copper Alloy","Silver","Surface Mount, Right Angle","Gull Wing","-","-40°C ~ 85°C"
