Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Mounting Type","Termination Style","Ingress Protection","Features","Operating Force","Release Force","Pretravel","Differential Travel","Overtravel","Operating Temperature"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C12.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-22MV.JPG,P13585STR-ND,ESE-22MV21T,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,768000,0,"0.26276","0","1000","Tape & Reel (TR)","ESE22","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount","SMD (SMT) Tab","-","Board Guide","30gf","-","-","-","-","-10°C ~ 70°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C12.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-22MV.JPG,P13585SCT-ND,ESE-22MV21T,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,769481,0,"0.57000","0","1","Cut Tape (CT)","ESE22","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount","SMD (SMT) Tab","-","Board Guide","30gf","-","-","-","-","-10°C ~ 70°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C12.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-22MV.JPG,P13585SDKR-ND,ESE-22MV21T,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,769481,0,"Digi-Reel","0","1","Digi-Reel®","ESE22","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount","SMD (SMT) Tab","-","Board Guide","30gf","-","-","-","-","-10°C ~ 70°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C14.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-11MH1T.jpg,P8097STR-ND,ESE-11MH1T,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,16500,0,"0.26846","0","1500","Tape & Reel (TR)","ESE11","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Overtravel Plunger","Surface Mount, Right Angle","Gull Wing","-","-","35gf","-","-","-","-","-10°C ~ 70°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C14.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-11MH1T.jpg,P8097SCT-ND,ESE-11MH1T,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,19558,0,"0.41000","0","1","Cut Tape (CT)","ESE11","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Overtravel Plunger","Surface Mount, Right Angle","Gull Wing","-","-","35gf","-","-","-","-","-10°C ~ 70°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C14.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-11MH1T.jpg,P8097SDKR-ND,ESE-11MH1T,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,19558,0,"Digi-Reel","0","1","Digi-Reel®","ESE11","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Overtravel Plunger","Surface Mount, Right Angle","Gull Wing","-","-","35gf","-","-","-","-","-10°C ~ 70°C"
http://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000PE17.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-18R11A.JPG,P14175STR-ND,ESE-18R11B,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,20000,0,"0.27734","0","5000","Tape & Reel (TR)","ESE18","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","J Lead","-","Board Guide","30gf","-","-","-","-","-10°C ~ 60°C"
http://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000PE17.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-18R11A.JPG,P14175SCT-ND,ESE-18R11B,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,21662,0,"0.58000","0","1","Cut Tape (CT)","ESE18","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","J Lead","-","Board Guide","30gf","-","-","-","-","-10°C ~ 60°C"
http://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000PE17.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-18R11A.JPG,P14175SDKR-ND,ESE-18R11B,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,21662,0,"Digi-Reel","0","1","Digi-Reel®","ESE18","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","J Lead","-","Board Guide","30gf","-","-","-","-","-10°C ~ 60°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C6.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-13H0xx.jpg,P13359STR-ND,ESE-13H01D,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,75000,0,"0.30422","0","5000","Tape & Reel (TR)","ESE13","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Board Guide","30gf","-","15°","-","60°","-10°C ~ 60°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C6.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-13H0xx.jpg,P13359SCT-ND,ESE-13H01D,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,80296,0,"0.65000","0","1","Cut Tape (CT)","ESE13","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Board Guide","30gf","-","15°","-","60°","-10°C ~ 60°C"
https://industrial.panasonic.com/cdbs/www-data/pdf/ATB0000/ATB0000C6.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ESE-13H0xx.jpg,P13359SDKR-ND,ESE-13H01D,Panasonic Electronic Components,SWITCH DETECTOR SPST-NO 10MA 5V,80296,0,"Digi-Reel","0","1","Digi-Reel®","ESE13","Active","SPST-NO","Off-Mom","10mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Board Guide","30gf","-","15°","-","60°","-10°C ~ 60°C"
