Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Switch Function","Contact Rating @ Voltage","Actuator Type","Mounting Type","Actuator Height off PCB, Vertical","Actuator Length, Right Angle","Actuator Orientation","Termination Style","Outline","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Operating Force","Ingress Protection","Features","Operating Temperature"
https://www.ckswitches.com/media/1471/pts645.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/PTS645SM43SMTR.jpg,CKN9112TR-ND,PTS645SM43SMTR92 LFS,C&K,SWITCH TACTILE SPST-NO 0.05A 12V,474000,0,"0.08614","0","1000","Tape & Reel (TR)","PTS645","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","4.30mm","-","Top Actuated","Gull Wing","6.00mm x 6.00mm","Non-Illuminated","-","-","160gf","-","Blue Actuator","-20°C ~ 60°C"
https://www.ckswitches.com/media/1471/pts645.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/PTS645SM43SMTR.jpg,CKN9112CT-ND,PTS645SM43SMTR92 LFS,C&K,SWITCH TACTILE SPST-NO 0.05A 12V,475147,0,"0.16000","0","1","Cut Tape (CT)","PTS645","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","4.30mm","-","Top Actuated","Gull Wing","6.00mm x 6.00mm","Non-Illuminated","-","-","160gf","-","Blue Actuator","-20°C ~ 60°C"
https://www.ckswitches.com/media/1471/pts645.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/PTS645SM43SMTR.jpg,CKN9112DKR-ND,PTS645SM43SMTR92 LFS,C&K,SWITCH TACTILE SPST-NO 0.05A 12V,475147,0,"Digi-Reel","0","1","Digi-Reel®","PTS645","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","4.30mm","-","Top Actuated","Gull Wing","6.00mm x 6.00mm","Non-Illuminated","-","-","160gf","-","Blue Actuator","-20°C ~ 60°C"
http://spec_sheets.e-switch.com/specs/P010336.pdf,//media.digikey.com/Photos/E-Switch%20Photos/TL3315NF.jpg,EG4620TR-ND,TL3315NF100Q,E-Switch,SWITCH TACTILE SPST-NO 0.05A 15V,1060000,0,"0.09715","0","5000","Tape & Reel (TR)","TL3315","Active","SPST-NO","Off-Mom","0.05A @ 15VDC","Snap Dome","Surface Mount","0.55mm","-","Top Actuated","Gull Wing","4.50mm x 4.50mm","Non-Illuminated","-","-","100gf","-","-","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P010336.pdf,//media.digikey.com/Photos/E-Switch%20Photos/TL3315NF.jpg,EG4620CT-ND,TL3315NF100Q,E-Switch,SWITCH TACTILE SPST-NO 0.05A 15V,1060767,0,"0.22000","0","1","Cut Tape (CT)","TL3315","Active","SPST-NO","Off-Mom","0.05A @ 15VDC","Snap Dome","Surface Mount","0.55mm","-","Top Actuated","Gull Wing","4.50mm x 4.50mm","Non-Illuminated","-","-","100gf","-","-","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P010336.pdf,//media.digikey.com/Photos/E-Switch%20Photos/TL3315NF.jpg,EG4620DKR-ND,TL3315NF100Q,E-Switch,SWITCH TACTILE SPST-NO 0.05A 15V,1060767,0,"Digi-Reel","0","1","Digi-Reel®","TL3315","Active","SPST-NO","Off-Mom","0.05A @ 15VDC","Snap Dome","Surface Mount","0.55mm","-","Top Actuated","Gull Wing","4.50mm x 4.50mm","Non-Illuminated","-","-","100gf","-","-","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P010337.pdf,//media.digikey.com/Photos/E-Switch%20Photos/TL3315NF.jpg,EG4621TR-ND,TL3315NF160Q,E-Switch,SWITCH TACTILE SPST-NO 0.05A 15V,110000,0,"0.09715","0","5000","Tape & Reel (TR)","TL3315","Active","SPST-NO","Off-Mom","0.05A @ 15VDC","Snap Dome","Surface Mount","0.55mm","-","Top Actuated","Gull Wing","4.50mm x 4.50mm","Non-Illuminated","-","-","160gf","-","-","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P010337.pdf,//media.digikey.com/Photos/E-Switch%20Photos/TL3315NF.jpg,EG4621CT-ND,TL3315NF160Q,E-Switch,SWITCH TACTILE SPST-NO 0.05A 15V,113175,0,"0.22000","0","1","Cut Tape (CT)","TL3315","Active","SPST-NO","Off-Mom","0.05A @ 15VDC","Snap Dome","Surface Mount","0.55mm","-","Top Actuated","Gull Wing","4.50mm x 4.50mm","Non-Illuminated","-","-","160gf","-","-","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P010337.pdf,//media.digikey.com/Photos/E-Switch%20Photos/TL3315NF.jpg,EG4621DKR-ND,TL3315NF160Q,E-Switch,SWITCH TACTILE SPST-NO 0.05A 15V,113175,0,"Digi-Reel","0","1","Digi-Reel®","TL3315","Active","SPST-NO","Off-Mom","0.05A @ 15VDC","Snap Dome","Surface Mount","0.55mm","-","Top Actuated","Gull Wing","4.50mm x 4.50mm","Non-Illuminated","-","-","160gf","-","-","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/P010338.pdf,//media.digikey.com/Photos/E-Switch%20Photos/TL3315NF.jpg,EG4622TR-ND,TL3315NF250Q,E-Switch,SWITCH TACTILE SPST-NO 0.05A 15V,85000,0,"0.09715","0","5000","Tape & Reel (TR)","TL3315","Active","SPST-NO","Off-Mom","0.05A @ 15VDC","Snap Dome","Surface Mount","0.55mm","-","Top Actuated","Gull Wing","4.50mm x 4.50mm","Non-Illuminated","-","-","250gf","-","-","-20°C ~ 70°C"
