Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Termination Style","Panel Cutout Dimensions","Bushing Thread","Ingress Protection","Features","Operating Temperature"
http://spec_sheets.e-switch.com/specs/ST110007.pdf,//media.digikey.com/photos/E-Switch%20Photos/VERTICLE%20TOGGLE%20SWITCH%20TO53-1307.jpg,EG2350-ND,100SP1T1B1M1QEH,E-Switch,SWITCH TOGGLE SPDT 5A 120V,15617,0,"2.43000","0","1","Bulk","100","Active","Panel Mount","SPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","10.41mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/T111597.pdf,//media.digikey.com/photos/E-Switch%20Photos/100SP1T1B4M2QE.jpg,EG2355-ND,100SP1T1B4M2QE,E-Switch,SWITCH TOGGLE SPDT 5A 120V,5465,0,"2.43000","0","1","Bulk","100","Active","Through Hole","SPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","12.19mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/ST110001.pdf,//media.digikey.com/photos/E-Switch%20Photos/100SPxT1B1M2QEH.jpg,EG2352-ND,100SP1T1B1M2QEH,E-Switch,SWITCH TOGGLE SPDT 5A 120V,2326,0,"2.43000","0","1","Bulk","100","Active","Panel Mount","SPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","10.41mm","Non-Illuminated","-","-","PC Pin","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/ST211018.pdf,//media.digikey.com/photos/E-Switch%20Photos/200MSP1T1B1M2QEH.JPG,EG2447-ND,200MSP1T1B1M2QEH,E-Switch,SWITCH TOGGLE SPDT 3A 120V,1311,0,"2.56000","0","1","Bulk","200","Active","Panel Mount","SPDT","On-On","3A (AC/DC)","120V","28V","Standard Round","9.40mm","Non-Illuminated","-","-","PC Pin","Circular - 4.95mm Dia","10-48","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/ST113001.pdf,//media.digikey.com/photos/E-Switch%20Photos/VERTICLE%20TOGGLE%20SWITCH%20TO53-1307.jpg,EG2375-ND,100SP3T1B1M1QEH,E-Switch,SWITCH TOGGLE SPDT 5A 120V,6880,0,"2.74000","0","1","Bulk","100","Active","Panel Mount","SPDT","On-Off-On","5A (AC/DC)","120V","28V","Standard Round","10.41mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/ST113013.pdf,//media.digikey.com/photos/E-Switch%20Photos/100SPxT1B1M2QEH.jpg,EG2377-ND,100SP3T1B1M2QEH,E-Switch,SWITCH TOGGLE SPDT 5A 120V,7580,0,"2.93000","0","1","Bulk","100","Active","Panel Mount","SPDT","On-Off-On","5A (AC/DC)","120V","28V","Standard Round","10.41mm","Non-Illuminated","-","-","PC Pin","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/ate.pdf,//media.digikey.com/photos/Copal%20Photos/ARE1D-2M3-10-Z.JPG,563-1157-ND,ATE1D-2M3-10-Z,Nidec Copal Electronics,SWITCH TOGGLE SPDT 50MA 48V,11611,0,"3.02000","0","1","Tray","ATE","Active","Through Hole","SPDT","On-On","50mA (AC/DC)","48V","48V","Standard Round","6.00mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","-","Washable","-20°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/switch/ate.pdf,//media.digikey.com/Photos/Copal%20Photos/ATE1x-2M3-10-Z.JPG,563-1159-ND,ATE1E-2M3-10-Z,Nidec Copal Electronics,SWITCH TOGGLE SPDT 50MA 48V,10167,0,"3.02000","0","1","Tray","ATE","Active","Through Hole","SPDT","On-Off-On","50mA (AC/DC)","48V","48V","Standard Round","6.00mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","-","Washable","-20°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/ST121009.pdf,"//media.digikey.com/photos/E-Switch%20Photos/100DP3T1B1M2QEH,%20100DP1T1B1M2QEH.jpg",EG2400-ND,100DP1T1B1M2QEH,E-Switch,SWITCH TOGGLE DPDT 5A 120V,2911,0,"3.20000","0","1","Bulk","100","Active","Panel Mount","DPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","10.41mm","Non-Illuminated","-","-","PC Pin","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/ST121005.pdf,"//media.digikey.com/photos/E-Switch%20Photos/100DP2T1B1M1QEH,%20100DP1T1B1M1QEH.jpg",EG2398-ND,100DP1T1B1M1QEH,E-Switch,SWITCH TOGGLE DPDT 5A 120V,2354,0,"3.25000","0","1","Bulk","100","Active","Panel Mount","DPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","10.41mm","Non-Illuminated","-","-","Solder Lug","Circular - 6.35mm Dia","1/4-40","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/T250000.pdf,//media.digikey.com/Photos/E-Switch%20Photos/200USP1T1A1M2RE.jpg,EG4915-ND,200USP1T1A1M2RE,E-Switch,SWITCH TOGGLE SPDT 0.4VA 20V,7905,0,"3.26000","0","1","Bulk","200U","Active","Through Hole","SPDT","On-On","0.4VA (AC/DC)","20V","20V","Standard Round","3.80mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","IP67 - Dust Tight, Waterproof","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://spec_sheets.e-switch.com/specs/T111069.pdf,"//media.digikey.com/photos/E-Switch%20Photos/100SP1T2B4M6QE,%20100SP5T2B4M6RE.jpg",EG2362-ND,100SP1T2B4M6QE,E-Switch,SWITCH TOGGLE SPDT 5A 120V,2450,0,"3.31000","0","1","Bulk","100","Active","Through Hole, Right Angle","SPDT","On-On","5A (AC/DC)","120V","28V","Standard Round","6.46mm","Non-Illuminated","-","-","PC Pin","-","Unthreaded","-","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkk.com/documents/products/pushbutton/g/G3Toggles.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/G3T12AH-R,%20G3T13AH-R.jpg",360-1773-2-ND,G3T12AH-R,NKK Switches,SWITCH TOGGLE SPDT 0.4VA 28V,2000,500,"3.36000","0","500","Tape & Reel (TR)","G3T","Active","Surface Mount, Right Angle","SPDT","On-On","0.4VA (AC/DC)","28V","28V","Standard Round","3.81mm","Non-Illuminated","-","-","Gull Wing","-","Unthreaded","-","Process Sealed","-30°C ~ 85°C"
http://www.nkk.com/documents/products/pushbutton/g/G3Toggles.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/G3T12AH-R,%20G3T13AH-R.jpg",360-1773-1-ND,G3T12AH-R,NKK Switches,SWITCH TOGGLE SPDT 0.4VA 28V,2457,500,"5.17000","0","1","Cut Tape (CT)","G3T","Active","Surface Mount, Right Angle","SPDT","On-On","0.4VA (AC/DC)","28V","28V","Standard Round","3.81mm","Non-Illuminated","-","-","Gull Wing","-","Unthreaded","-","Process Sealed","-30°C ~ 85°C"
http://www.nkk.com/documents/products/pushbutton/g/G3Toggles.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/G3T12AH-R,%20G3T13AH-R.jpg",360-1773-6-ND,G3T12AH-R,NKK Switches,SWITCH TOGGLE SPDT 0.4VA 28V,2457,500,"Digi-Reel","0","1","Digi-Reel®","G3T","Active","Surface Mount, Right Angle","SPDT","On-On","0.4VA (AC/DC)","28V","28V","Standard Round","3.81mm","Non-Illuminated","-","-","Gull Wing","-","Unthreaded","-","Process Sealed","-30°C ~ 85°C"
