Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/Photos/3M%20Photos/62917099137.jpg,3M157721-ND,EPX PLNGR,3M,PLUNGER 1:1/2:1,112,0,"12.26000","0","1","Scotch-Weld™ EPX™","Active","Plunger","Duo-Pak Cartridges, 48.5/50mL"
-,//media.digikey.com/Photos/3M%20Photos/9176.jpg,3M160844-ND,9176,3M,CHOOSE 3M SCOTCH-WELD EP,201,0,"5.36000","0","1","*","Active","-","-"
http://multimedia.3m.com/mws/media/184008O/3mtm-scotch-weldtm-hot-melt-applicator-ec-owners-manual.pdf,//media.digikey.com/Photos/3M%20Photos/9785.JPG,3M10890-ND,9785,3M,HOT MELT APPLICATOR TIP 1=3TIPS,15,0,"46.82000","0","1","Scotch-Weld™","Active","Applicator Tip","Hot Melt Applicator"
-,//media.digikey.com/Photos/3M%20Photos/MFG_62918494907.jpg,3M161965-ND,NOZ,3M,CHOOSE 3M SCOTCH-WELD EP,36,0,"5.19000","0","1","*","Active","-","-"
http://multimedia.3m.com/mws/media/764991O/iatd-product-info.pdf,-,3M160973-ND,9637,3M,CHOOSE 3M SCOTCH-WELD 3PCK,48,0,"5.50000","0","1","*","Active","-","-"
http://multimedia.3m.com/mws/media/288081O/3mtm-epxtm-plus-ii-manual-applicator.pdf,-,3M162793-ND,EPX PLNGR 2:1,3M,EPX 2:1 PLUNGER 50ML 1=1 PLUNGER,74,0,"12.75000","0","1","Scotch-Weld™","Active","Plunger","Duo-Pak Cartridges, 50mL"
https://multimedia.3m.com/mws/media/65444O/3mtm-fastbondtm-contact-adh-2000-nf-w-spray-activator-1.pdf,-,3M158418-ND,1 1QRT,3M,FASTBOND SPRAY ACTIVATOR 1=1QRT,16,0,"29.43000","0","1","-","Active","Adhesion Promoter","Fastbond™ 2000-NF"
http://multimedia.3m.com/mws/media/372489O/adhesives-and-tapes-design-guide.pdf,//media.digikey.com/Photos/3M%20Photos/9773.jpg,3M160989-ND,9773,3M,SCOTCH-WELD PUR ADHESIVE APP,7,0,"46.16000","0","1","*","Active","-","-"
http://multimedia.3m.com/mws/media/44021O/hot-melt-bonding-systems-guide.pdf,-,3M160443-ND,9922,3M,APPLICATOR TIP FLUTED .063"",6,0,"46.94000","0","1","Scotch-Weld™","Active","Applicator Tip","Hot Melt Applicator"
http://multimedia.3m.com/mws/media/328280O/3mtm-scotch-weldtm-structural-adhesives-sel-gd.pdf,-,3M160851-ND,9223,3M,SCOTCH-WELD APP PG II VALVE ASSY,10,0,"57.26000","0","1","-","Active","Applicator Tip","Hot Melt Applicator"
https://3m.citrination.com/pif/000881,-,3M161021-ND,AP596,3M,ADHESION PROMOTER AP596 CLEAR 10,16,0,"80.52000","0","1","-","Active","-","-"
http://multimedia.3m.com/mws/media/372489O/adhesives-and-tapes-design-guide.pdf,//media.digikey.com/Photos/3M%20Photos/9170-2;1.jpg,3M156042-ND,9170-2:1,3M,SCTCH-WLD EPX PLUSII 1:2 PLUNGER,3,0,"12.76000","0","1","Scotch-Weld™ EPX™","Active","Plunger","Duo-Pak Cartridges, 37mL"
http://multimedia.3m.com/mws/media/372489O/adhesives-and-tapes-design-guide.pdf,//media.digikey.com/Photos/3M%20Photos/9170(Side-A).jpg,3M155927-ND,9170,3M,SCTCH-WLD EPX PLUSII 1:1 PLUNGER,0,0,"12.76000","0","1","Scotch-Weld™ EPX™","Active","Plunger","Duo-Pak Cartridges, 50mL"
http://multimedia.3m.com/mws/media/328280O/3mtm-scotch-weldtm-structural-adhesives-sel-gd.pdf,//media.digikey.com/Photos/3M%20Photos/EPX-2%5E1-PLUNGER.jpg,3M156227-ND,EPX-2:1-PLUNGER,3M,PLUNGER ASSEMBLY,21,0,"14.77000","0","1","*","Active","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_9946.jpg,3M155865-ND,9946,3M,SCOTCH WELD HOT MELT TIP 1=3TIPS,4,0,"44.84000","0","1","Scotch-Weld™","Active","Applicator Tip","Hot Melt Applicator"
https://multimedia.3m.com/mws/media/373366O/adhesion-promoter-111.pdf,-,3M158302-ND,111 8.45OZ,3M,ADHESION PROMOTER 111 250 ML 4 E,0,0,"18.65000","0","1","111","Active","Adhesion Promoter","VHB™ Tape"
http://multimedia.3m.com/mws/media/328280O/3mtm-scotch-weldtm-structural-adhesives-sel-gd.pdf,//media.digikey.com/photos/3M%20Photos/PG-ASSY.jpg,3M157518-ND,PG ASSY,3M,HOT MELT APPL TC AE VALVE ASSY,8,0,"22.00000","0","1","*","Active","-","-"
-,//media.digikey.com/Photos/3M%20Photos/03612.JPG,3M158129-ND,03612,3M,ADHESIVE ERASER WHEEL,4,0,"67.83000","0","1","-","Active","-","-"
http://multimedia.3m.com/mws/media/44021O/hot-melt-bonding-systems-guide.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_9729.jpg,3M160987-ND,9729,3M,HOT MELT APPL HI-FLOW VALVE/TIP,1,0,"94.49000","0","1","Scotch-Weld™","Active","Applicator Tip","Hot Melt Applicator"
-,-,50MLMIXNOZZLE-ND,50ML MIX NOZZLE,3M,50ML MIX NOZZLE 72/CASE,0,0,"3.44000","0","1","*","Active","-","-"
-,//media.digikey.com/Photos/Steinel%20Photos/05011.jpg,106350601-ND,106350601,Steinel America,FEED ROD HIPUR,0,0,"4.23000","0","1","HiPURformer™","Active","Feed Rod","HiPURformer™ Bonding System"
-,-,450ML-MIX-NOZZLE-MANUAL-ND,450ML-MIX-NOZZLE-MANUAL,3M,"450 ML MIX NOZZLES, TO BE USED W",0,0,"4.82000","0","1","*","Active","-","-"
-,-,102179700-ND,102179700,Steinel America,POWER CORD HIPUR,0,0,"6.54000","0","1","HiPURformer™","Active","Power Cord","HiPURformer™ Bonding System"
http://multimedia.3m.com/mws/media/541003O/3m-spray-equipment-products-catalog.pdf,-,16585-ND,16585,3M,ACCUSPRAY 1.4MM ATOMIZING HE,0,0,"7.38000","0","1","-","Active","Applicator Tip","-"
http://multimedia.3m.com/mws/media/541003O/3m-spray-equipment-products-catalog.pdf,-,16584-ND,16584,3M,3M ACCUSPRAY 1.4MM ATOMI,0,0,"7.38000","0","1","-","Active","Applicator Tip","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/37717.pdf,-,37717-ND,37717,3M,SPRAY TRIGGER NOZZLE HEAD 24/CS,0,0,"8.61292","0","24","*","Active","-","-"
-,-,35408-ND,35408,Master Appliance Co,"TIP, STANDARD GENERAL PURPOSE",0,0,"9.33000","0","1","-","Active","Applicator Tip","PortaPro® Glue Gun"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_35409.jpg,35409-ND,35409,Master Appliance Co,"TIP, NEEDLE EXTENSION",0,0,"9.33000","0","1","-","Active","Applicator Tip","PortaPro® Glue Gun"
-,-,38191-ND,38191,3M,STATC MXNG NZZL 50ML 12/BG-6/CS,0,0,"15.36000","0","6","*","Active","-","-"
http://multimedia.3m.com/mws/media/541003O/3m-spray-equipment-products-catalog.pdf,-,16612-ND,16612,3M,3M ACCUSPRAY 1.4MM ATOMI,0,0,"23.74500","0","6","-","Active","Applicator Tip","-"
-,-,05012-ND,05012,Steinel America,TRIGGER HANDLE HIPUR,0,0,"23.80000","0","1","HiPURformer™","Active","Trigger Handle","HiPURformer™ Bonding System"
http://multimedia.3m.com/mws/media/541003O/3m-spray-equipment-products-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_16609.jpg,16609-ND,16609,3M,3M ACCUSPRAY 2.0MM ATOMI,0,0,"24.81667","0","6","-","Active","Applicator Tip","-"
-,-,9773-ND,9773,3M,SW POLY REACTIVE ADH TIP CAP,0,0,"29.86000","0","1","*","Active","-","-"
