Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Width","Length"
http://multimedia.3m.com/mws/media/690175O/environmental-solutions.pdf?&fn=EnvSolutions.pdf,//media.digikey.com/Renders/3M%20Renders/3M%20Specular%20Film.jpg,3M156575-ND,3M DF2000MA 8"" X 10""-60/PACK,3M (TC),SPECULAR MIRROR FILM 1=1SHT,180,0,"12.77000","0","1","DF2000MA","Active","Specular Film","-","-"
https://multimedia.3m.com/mws/media/982449O/3mtm-specular-film-df2000ma-technical-data-sheet.pdf,//media.digikey.com/Renders/3M%20Renders/3M%20Specular%20Film.jpg,3M156831-ND,75347099659,3M,DF2000MA W/ADHESIVE 49INX50YDS,3,0,"3722.28000","0","1","DF2000MA","Active","Specular Film","-","-"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,//media.digikey.com/Photos/3M%20Photos/12-5-9707.JPG,3M162819-ND,12-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 12,5,0,"153.76000","0","1","-","Active","Radiant Light Film","12.00"" (304.80mm)","15' (4.6m) 5 yds"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/IR900_Tech_DS_8-9-2016.pdf,//media.digikey.com/Photos/3M%20Photos/IR900.JPG,3M10816-ND,IR900,3M,IR WINDOW FILM 30.50M LX1.524M W,5,0,"7274.69000","0","1","-","Active","Infrared Blocking Film","-","-"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3M156921-ND,0.5-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,16,0,"9.20000","0","1","-","Active","Radiant Light Film","0.50"" (12.70mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3M156926-ND,0.75-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,3,0,"13.22000","0","1","-","Active","Radiant Light Film","0.75"" (19.05mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3M157163-ND,3M CM592 1"" X 3""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",10,0,"15.84000","0","1","-","Active","Radiant Light Film","1.00"" (25.40mm)","3.00"" (76.2mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3M156972-ND,1-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 1"",3,0,"17.62000","0","1","-","Active","Radiant Light Film","1.00"" (25.40mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3M157013-ND,2-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",2,0,"30.44000","0","1","-","Active","Radiant Light Film","2.00"" (50.80mm)","15' (4.6m) 5 yds"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/AG-SHEETSAMPLE-4_DS.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_AG-SHEETSAMPLE.jpg,445-180939-ND,AG-SHEETSAMPLE-4,TDK Corporation,AG CONDUCTIVE FILM 297MM X 210MM,5,0,"37.00000","0","1","FLECLEAR®","Active","Transparent Conductive Film","8.27"" (210.00mm)","11.69"" (297.0mm)"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/AG-SHEETSAMPLE-10_DS.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_AG-SHEETSAMPLE.jpg,445-180938-ND,AG-SHEETSAMPLE-10,TDK Corporation,AG CONDUCTIVE FILM 297MM X 210MM,0,0,"37.00000","0","1","FLECLEAR®","Active","Transparent Conductive Film","8.27"" (210.00mm)","11.69"" (297.0mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3M157164-ND,3M CM592 CIRCLE-2""-100,3M (TC),3M CM592 RADIANT LIGHT FILM - 2"",3,0,"53.46000","0","1","-","Active","Radiant Light Film","2.00"" (50.80mm) dia","-"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,0.125-5-CM592-ND,0.125-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"2.46125","0","16","-","Active","Radiant Light Film","0.13"" (3.18mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,0.25-5-CM592-ND,0.25-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"4.62313","0","16","-","Active","Radiant Light Film","0.25"" (6.4mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,0.375-5-CM592-ND,0.375-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"6.62188","0","16","-","Active","Radiant Light Film","0.38"" (9.65mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,0.625-5-CM592-ND,0.625-5-CM592,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"10.00000","0","14","-","Active","Radiant Light Film","0.63"" (16.00mm)","15' (4.6m) 5 yds"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X0.5""-25-ND,3M CM592 0.5"" X 0.5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"10.58000","0","6","-","Active","Radiant Light Film","0.50"" (12.70mm)","0.50"" (12.70mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X0.75""-25-ND,3M CM592 0.5"" X 0.75""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"10.85667","0","6","-","Active","Radiant Light Film","0.50"" (12.70mm)","0.75"" (19.05mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X1""-25-ND,3M CM592 0.75"" X 1""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"11.13167","0","6","-","Active","Radiant Light Film","0.75"" (19.05mm)","1.00"" (25.4mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X1""-25-ND,3M CM592 0.5"" X 1""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"11.15500","0","6","-","Active","Radiant Light Film","0.50"" (12.70mm)","1.00"" (25.4mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X1.5""-25-ND,3M CM592 0.5"" X 1.5""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"11.22000","0","6","-","Active","Radiant Light Film","0.50"" (12.70mm)","1.50"" (38.1mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X0.75""-25-ND,3M CM592 0.75"" X 0.75""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"11.24667","0","6","-","Active","Radiant Light Film","0.75"" (19.05mm)","0.75"" (19.05mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.5""X1.25""-25-ND,3M CM592 0.5"" X 1.25""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"11.43167","0","6","-","Active","Radiant Light Film","0.50"" (12.70mm)","1.25"" (31.75mm)"
http://multimedia.3m.com/mws/media/397029O/radiant-light-films-for-labelling-applications.pdf,-,3MCM5920.75""X1.25""-25-ND,3M CM592 0.75"" X 1.25""-25,3M (TC),3M CM592 RADIANT LIGHT FILM - 0.,0,0,"11.50667","0","6","-","Active","Radiant Light Film","0.75"" (19.05mm)","1.25"" (31.75mm)"
