Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products"
http://multimedia.3m.com/mws/media/1245168O/3m-hot-melt-adhesive-3747-3779-3789-3797-technical-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/3779-TC.jpg,3M6422-ND,3779-TC,3M,HOT MELT ADHESIVE 5/8""X2"",2761,0,"2.32000","0","1","Scotch-Weld™","Active","Hot Melt","High Temperature","Leather, Vinyl, Wood"
http://multimedia.3m.com/mws/media/1245163O/3m-hot-melt-adhesive-3764-3748-technical-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/3M6417-ND.jpg,3M6417-ND,3748-Q-5/8""X8"",3M,HOT MELT ADHESIVE Q 5/8""X8"",3155,0,"4.20000","0","1","Scotch-Weld™","Active","Hot Melt","Non-Corrosive","Ceramic, Glass, Polyolefin"
http://multimedia.3m.com/mws/media/1245163O/3m-hot-melt-adhesive-3764-3748-technical-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/3748-V-O-Q-5%20SERIES.jpg,3M6415-ND,3748-V-O-Q-5/8""X8"",3M,HOT MELT ADHESIVE VO-Q 5/8""X8"",1914,0,"4.26000","0","1","Scotch-Weld™","Active","Hot Melt","Non-Corrosive","Ceramic, Glass, Polyolefin"
http://multimedia.3m.com/mws/media/1245163O/3m-hot-melt-adhesive-3764-3748-technical-data-sheet.pdf,//media.digikey.com/Photos/3M%20Photos/3748-Q-BLACK.jpg,3M10542-ND,3748-Q-BLACK,3M,HOT MELT ADHESIVE Q 5/8""X8"" BLCK,339,0,"4.40000","0","1","Scotch-Weld™","Active","Hot Melt","Non-Corrosive","Q Adhesives"
http://multimedia.3m.com/mws/media/1245168O/3m-hot-melt-adhesive-3747-3779-3789-3797-technical-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/3779-Q.jpg,3M6421-ND,3779-Q,3M,HOT MELT ADHESIVE Q 5/8""X8"",5911,0,"6.33000","0","1","Scotch-Weld™","Active","Hot Melt","High Temperature","Leather, Vinyl, Wood"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/RTV108.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/RTV108-85ML.jpg,473-1139-ND,RTV108-85ML,MG Chemicals,ADHESIVE SEALANT SIL TRANSLUCENT,256,0,"14.92000","0","1","RTV","Active","Potting Compound, 1 Part","High Strength","Multi-Purpose"
http://multimedia.3m.com/mws/media/1245165O/3m-hot-melt-adhesive-3792lm-3776lm-3738-3792-technical-data.pdf,//media.digikey.com/Photos/3M%20Photos/3750AE-1%5E2-10-CLEAR-11LB.JPG,3M156665-ND,3750AE-1/2-10-CLEAR-11LB,3M (TC),3M 3750 SCOTCH-WELD HOT MELT 1LB,589,0,"16.34000","0","1","-","Active","Hot Melt","High Strength","Multi-Purpose"
http://multimedia.3m.com/mws/media/189880O/scotch-weld-urethane-adhesive-dp-620ns-black.pdf,//media.digikey.com/Photos/3M%20Photos/DP620NS-BLACK-48.jpg,3M157600-ND,DP620NS-BLACK,3M,URETHANE ADH DP620NS BLK 48.5ML,262,0,"21.68000","0","1","Scotch-Weld™ DP620NS","Active","Epoxy, 2 Part","Black, 48.5mL","Multi-Purpose"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/Photos/3M%20Photos/62357514371.jpg,3M157689-ND,DP100-CLEAR,3M,CLEAR EPOXY ADH 48.5ML,267,0,"23.44000","0","1","Scotch-Weld™ DP100","Active","Epoxy, 2 Part","Clear, 48.5mL","Multi-Purpose"
http://multimedia.3m.com/mws/media/66773O/3mtm-scotch-weldtm-epoxy-potting-compound-adhesive-dp270.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_DP270-BLACK.jpg,3M157674-ND,DP270-BLACK,3M,POTTING COMPOUND BLACK 50ML,494,0,"26.36000","0","1","Scotch-Weld™ DP270","Active","Epoxy, 2 Part","Black, 48.5mL","Potting"
https://multimedia.3m.com/mws/media/153955O/3mtm-scotch-weldtm-epoxy-adhesive-2216-b-a.pdf,//media.digikey.com/Photos/3M%20Photos/DP2216.JPG,3M156895-ND,DP2216,3M,SCOTCH-WELD EPOXY ADHESIVE E,266,0,"28.01000","0","1","Scotch-Weld™ DP2216","Active","Epoxy, 2 Part","High Strength","Masonry, Metal, Rubber, Wood"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/Photos/3M%20Photos/62356314385.jpg,3M157688-ND,DP110-TRANSLUCENT,3M,EPOXY ADH TRANSLUCENT 48.5ML,355,0,"29.41000","0","1","Scotch-Weld™ DP110","Active","Epoxy, 2 Part","Translucent, 48.5mL","Multi-Purpose"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/Photos/3M%20Photos/62355314360.jpg,3M157687-ND,DP190-GRAY,3M,EPOXY ADH GRAY DUOPAK 48.5ML,224,0,"29.41000","0","1","Scotch-Weld™ DP190","Active","Epoxy, 2 Part","Gray, 48.5mL","Multi-Purpose"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/photos/3M%20Photos/DP110-GRAY.JPG,3M157685-ND,DP110-GRAY,3M,EPOXY ADHESIVE GRAY 50ML,210,0,"29.41000","0","1","Scotch-Weld™ DP110","Active","Epoxy, 2 Part","Gray, 48.5mL","Multi-Purpose"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/Photos/3M%20Photos/62326514361.JPG,3M157673-ND,DP100NS-TRANSLUCENT,3M,EPOXY TRANSLUCENT 48.5ML,484,0,"29.97000","0","1","Scotch-Weld™ DP100NS","Active","Epoxy, 2 Part","Translucent, 48.5mL","Multi-Purpose"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,-,3M157679-ND,DP105-CLEAR,3M,EPOXY ADH CLEAR 48.5ML,233,0,"32.07000","0","1","Scotch-Weld™ DP105","Active","Epoxy, 2 Part","Clear, 48.5mL","Multi-Purpose"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/Photos/3M%20Photos/MFG_DP125-GRAY.jpg,3M157682-ND,DP125-GRAY,3M,EPOXY ADHESIVE GRAY 48.5ML,168,0,"32.07000","0","1","Scotch-Weld™ DP125","Active","Epoxy, 2 Part","Gray, 48.5mL","Multi-Purpose"
https://tdsna.henkel.com/NA/UT/HNAUTTDS.nsf/web/F70E295D336288C1882571870000D7D7/$File/SI%205140-EN.pdf,//media.digikey.com/Photos/Loctite/135264.JPG,1000-111-ND,135264,LOCTITE,SI 5140 METHOXY 85 GR TB/BN,130,0,"32.22000","0","1","LOCTITE® 5140™","Active","Potting Compound, 1 Part","Non-Corrosive","Potting"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/Photos/3M%20Photos/62279214365.jpg,3M157668-ND,DP460NS-OFFWHT,3M,EPOXY ADHESIVE DP-460 NS 50ML,109,0,"39.78000","0","1","Scotch-Weld™ DP460NS","Active","Epoxy, 2 Part","Off-White, 50mL","Multi-Purpose"
http://multimedia.3m.com/mws/media/66998O/scotch-weldtm-epoxy-adhesive-dp420-blck-ns-blck-offwhit-lh.pdf,//media.digikey.com/Photos/3M%20Photos/62329914360.JPG,3M157683-ND,DP420NS-BLACK,3M,EPOXY ADHESIVE BLACK 50ML,383,0,"40.99000","0","1","Scotch-Weld™ DP420NS","Active","Epoxy, 2 Part","Black, 50mL","Multi-Purpose"
http://multimedia.3m.com/mws/media/66998O/scotch-weldtm-epoxy-adhesive-dp420-blck-ns-blck-offwhit-lh.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_DP420-BLACK.jpg,3M157666-ND,DP420-BLACK,3M,EPOXY ADHESIVE DP 420 BLACK 50ML,230,0,"40.99000","0","1","Scotch-Weld™ DP420","Active","Epoxy, 2 Part","Black, 50mL","Multi-Purpose"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/RTV162.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_RTV162-85ML.jpg,473-1204-ND,RTV162-85ML,MG Chemicals,ADHESIVE SEAL SIL NON-CORROSIVE,413,0,"43.81000","0","1","RTV","Active","Potting Compound, 1 Part","-","Non Corrosive"
https://multimedia.3m.com/mws/media/1468817O/structural-adhesive-duo-pak-delivery-system-updates.pdf ,//media.digikey.com/Photos/3M%20Photos/62327714366.jpg,3M157676-ND,DP820-OFFWHT,3M,ACRYLIC ADH LO ODOR OWHT 48.5ML,392,0,"47.93000","0","1","Scotch-Weld™ DP820","Active","Acrylic","Off-White, 48.5mL, 2 Part","Multi-Purpose"
