Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Tape Type","Adhesive","Backing, Carrier","Thickness","Thickness - Adhesive","Thickness - Backing, Carrier","Width","Length","Color","Usage","Temperature Range"
http://multimedia.3m.com/mws/media/104064O/high-performance-adhesive-transfer-tapes-with-3m-adhesive-200mp.pdf,//media.digikey.com/Photos/3M%20Photos/12X12-6-467MP.jpg,3M9726-ND,12X12-6-467MP,3M (TC),TAPE ADHSV TRNSFR CLEAR 12""X 12"",984,0,"4.24000","0","1","Bulk","467MP","Active","Adhesive Transfer","Acrylic, 200MP","Polycoated Kraft Liner","0.0065"" (6.5 mils, 0.165mm)","0.0023"" (2.3 mils, 0.058mm)","0.0042"" (4.2 mils, 0.107mm)","12.00"" (304.80mm)","12.00"" (304.80mm)","Clear","Attachment, High Temperature Applications","-40°F ~ 300°F (-40°C ~ 149°C)"
http://multimedia.3m.com/mws/media/104792O/scotch-super-33-vinyl-electrical-tape-pdf-27-3kb.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_33+SUPER.jpg,3M33+A-ND,33+ SUPER (3/4""X66'),3M,TAPE ELECTRICAL BLK 3/4""X 22YDS,904,0,"8.50000","0","1","Roll","Scotch® Super 33+","Active","Electrical","Rubber","PVC (Poly Vinyl Chloride)","0.0070"" (7.0 mils, 0.178mm)","-","-","0.75"" (19.05mm) 3/4""","66' (20.1m) 22 yds","Black","Electrically Insulating","176°F (80°C)"
http://multimedia.3m.com/mws/media/85972O/scotch-cellophane-film-tape-610.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_610_CLEAR-1%20inch.jpg,3M156169-ND,610-1""X72YD,3M,TAPE FILM CLEAR 1""X 72YDS,620,0,"23.03000","0","1","Roll","Scotch® 610","Active","Film","Pressure Sensitive Adhesive (PSA)","Cellophane","0.0023"" (2.3 mils, 0.058mm)","0.0009"" (0.9 mils, 0.023mm)","0.0014"" (1.4 mils, 0.036mm)","1.00"" (25.40mm)","216' (66.0m) 72 yds","Clear","General Purpose","300°F (149°C)"
http://multimedia.3m.com/mws/media/98989O/vhbtm-durability.PDF,//media.digikey.com/Photos/3M%20Photos/MFG_4926-5YD.jpg,3M9843-ND,1/2-5-4926,3M (TC),TAPE DBL COATED GRAY 1/2""X 5YDS,147,0,"27.76000","0","1","Roll","VHB™ 4926","Active","Double Coated, Double Sided","Acrylic","Paper","0.0150"" (15.0 mils, 0.381mm)","-","0.0030"" (3.0 mils, 0.076mm)","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Gray","General Purpose","200°F (93°C)"
http://multimedia.3m.com/mws/media/37380O/3m-polyimide-film-tape-1205-with-acrylic-adhesive.pdf,//media.digikey.com/Photos/3M%20Photos/1205%201%5E2.JPG,3M1205A-ND,1205 1/2"",3M,TAPE FILM AMBER 1/2""X 36YDS,197,0,"28.71000","0","1","Roll","1205","Active","Film","Acrylic","Polyimide","0.0030"" (3.0 mils, 0.076mm)","0.0020"" (2.0 mils, 0.051mm)","0.0010"" (1.0 mils, 0.025mm)","0.50"" (12.70mm) 1/2""","108' (32.9m) 36 yds","Amber","Insulating, High Temperature","-40°F ~ 311°F (-40°C ~ 155°C)"
http://multimedia.3m.com/mws/media/282911O/3mtm-water-contact-indicator-tape-5558.pdf,//media.digikey.com/Photos/3M%20Photos/3M5557NP-3MMSQ-100.jpg,3M10512-ND,3M5558-2MMSQ-100,3M (TC),TAPE INDICAT 0.08""X 0.08"" 100PK,931,0,"29.36000","0","1","Bulk","5558","Active","Indicator","Acrylic","Polyester Film","0.0060"" (6.0 mils, 0.152mm)","-","-","0.08"" (2.03mm)","0.08"" (2.03mm)","White","Water Indication","-"
http://multimedia.3m.com/mws/media/1007611O/3m-water-contact-indicator-tape-5557-tds.pdf,//media.digikey.com/Photos/3M%20Photos/3M5557-4MM-DISC-100.jpg,3M10497-ND,3M5557-2MM-DISC-100,3M (TC),TAPE INDICAT WHT 0.08"" DIA 100PK,566,0,"29.93000","0","1","Bulk","5557","Active","Indicator","Acrylic","Paper","0.0102"" (10.2 mils, 0.259mm)","-","-","0.08"" (2.03mm) dia","-","White","Water Indication","-"
http://multimedia.3m.com/mws/media/411618O/3m-tape-1218-data-sheet.pdf,//media.digikey.com/photos/3M%20Photos/3M1218A-ND.jpg,3M1218A-ND,1218 X 1/2"",3M,TAPE INSULATING AMBER 1/2""X 36YD,230,0,"30.77000","0","1","Roll","1218","Active","Insulating, High Temperature","Acrylic","Polyimide","0.0030"" (3.0 mils, 0.076mm)","0.0020"" (2.0 mils, 0.051mm)","0.0010"" (1.0 mils, 0.025mm)","0.50"" (12.70mm) 1/2""","108' (32.9m) 36 yds","Amber","Insulating, High Temperature","356°F (180°C)"
http://multimedia.3m.com/mws/media/37434O/3m-92-tape.pdf,//media.digikey.com/photos/3M%20Photos/3M92A-ND.jpg,3M92A-ND,92-AMBER-1/2""X36YD,3M,TAPE ELECTRICAL AMBER 1/2""X 36YD,291,0,"32.01000","0","1","Roll","92","Active","Electrical","Silicone Thermosetting","Polyimide","0.0030"" (3.0 mils, 0.076mm)","0.0020"" (2.0 mils, 0.051mm)","0.0010"" (1.0 mils, 0.025mm)","0.50"" (12.70mm) 1/2""","108' (32.9m) 36 yds","Amber","Electrically Insulating","32°F ~ 356°F (0°C ~ 180°C)"
http://multimedia.3m.com/mws/media/326683O/vhbtm-adhesive-transfer-tapes-f9460pc-f9469pc-f9473pc.pdf,//media.digikey.com/photos/3M%20Photos/F9469PC%2038X60YD.JPG,3M9039-ND,F9469PC 3/8""X60YD,3M,TAPE ADHSV TRNSFR CLR 3/8""X 60YD,892,0,"32.30000","0","1","Roll","VHB™ F9469PC","Active","Adhesive Transfer","Acrylic, 100MP","Polycoated Kraft Liner","0.0090"" (9.0 mils, 0.229mm)","0.0050"" (5.0 mils, 0.127mm)","0.0040"" (4.0 mils, 0.102mm)","0.38"" (9.65mm) 3/8""","180' (55.0m) 60 yds","Clear","Attachment, High Temperature Applications","-"
