Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tape Width - Max"
http://www.vishaypg.com/docs/11021/insttool.pdf,//media.digikey.com/Photos/Micro-Measurements/MMF336554.JPG,1033-1049-ND,MMF336554,Micro-Measurements (Division of Vishay Precision Group),TAPE & DISPENSER PCT-3M 72',59,0,"112.20000","0","1","-","Active","Hand Held Dispenser, Plastic","0.75"" (19.05mm) 3/4"""
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_HB903.jpg,3M157461-ND,HB903,3M,TAPE DISPENSER HAND 2"" WIDE,173,0,"14.20000","0","1","Tartan™","Active","Pistol Grip Dispenser with Hand Brake","2.00"" (50.80mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_H180-40PERCASE.jpg,3M161540-ND,H180-40PERCASE,3M,TAPE DISPENSER HAND - 48MM WIDTH,109,0,"31.91000","0","1","Scotch®","Active","Pistol Grip Dispenser with Hand Brake","2.00"" (50.80mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_H123.jpg,3M161534-ND,H123,3M,TAPE DISPENSER 3"" WIDE 3"" CORE,464,0,"59.40000","0","1","Scotch®","Active","Hand Held Dispenser with Hand Brake","3.00"" (76.20mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/M96_Ds.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_M96_View-1.jpg,3M157469-ND,M96,3M,SCOTCH DEFINITE LENGTH DISPENSER,42,0,"265.77000","0","1","-","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/photos/3M%20Photos/P56W.jpg,3M56W-ND,P56W,3M,DISPENSER TAPE 6"" X 6 7/8"" DIA,15,0,"106.13000","0","1","-","Active","Desktop Dispenser for Multiple Rolls (3"" Core)","6.00"" (152.40mm)"
http://documents.desco.com/PDF/81282.pdf,//media.digikey.com/Photos/Desco%20Photos/81282.jpg,16-1305-ND,81282,Desco,TAPE DISPENSER ESD 2"" WIDE,18,0,"140.74000","0","1","-","Active","Desktop for Antistatic","2.00"" (50.80mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/photos/3M%20Photos/M712.jpg,3M712-ND,M-712,3M,DISPENSER TAPE PULL & CUT,6,0,"360.17000","0","1","Scotch®","Active","Desktop Dispenser with Sliding Knife Attachment","2.00"" (50.80mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/photos/3M%20Photos/P448.jpg,3M448-ND,P448,3M,DISPENSER TAPE 8"" X 7 1/2"" DIA,4,0,"162.91000","0","1","Scotch®","Active","Desktop Dispenser for Multiple Rolls (3"" Core)","8.00"" (203.20mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/3m_packaing_solutions_scotch_tape_dispensers.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_HB902.jpg,3M161605-ND,HB902,3M,TAPE DISPENSER HAND 2"" WIDE,33,0,"7.73000","0","1","Tartan™","Active","Hand Held Dispenser, Plastic","2.00"" (50.80mm)"
