Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Contact Size","Module Capacity","Size / Dimension"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1841-1-5620&DocType=Customer+Drawing&DocLang=English,-,1508-1201-ND,1841-1-5620,TE Connectivity Deutsch Connectors,CONN CONTACT SZ20 0.281"" L,7071,0,"1.13000","0","1","-","Active","Contact","20","20","0.281"" L (7.14mm)"
-,//media.digikey.com/Photos/TE%20Connectivity/M39029%5E1-100.jpg,1506-1012-ND,M39029/1-100,TE Connectivity Deutsch Connectors,CONN CONTACT SZ22 0.418"" L,4519,0,"1.52000","0","1","Military, MIL-C-39029","Active","Contact","22","-","0.418"" L (10.62mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TSE-xx-xx&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/TSE-20-01.jpg,1508-1170-ND,TSE-20-01,TE Connectivity Deutsch Connectors,CONN WIRE SPLICE SZ20 1.109"" L,138,0,"16.34000","0","1","Jiffy Junction","Active","Wire Splice","20","2","1.109"" L (28.17mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=591833&DocType=Customer+Drawing&DocLang=English,-,A132262-ND,591833-1,"TE Connectivity Aerospace, Defense and Marine",CONN FEEDBACK MOD SZ20 0.850"" L,53,0,"215.49000","0","1","TJS (Terminal Junction System)","Active","Feedback Module Block","20","4","0.850"" L x 0.390"" W x 0.847"" H (21.59mm x 9.91mm x 21.51mm)"
-,//media.digikey.com/Photos/TE%20Connectivity/M39029%5E1-102.jpg,1506-1014-ND,M39029/1-102,TE Connectivity Deutsch Connectors,CONN CONTACT SZ16 0.501"" L,2147,0,"2.43000","0","1","Military, MIL-C-39029","Active","Contact","16","-","0.501"" L (12.73mm)"
-,//media.digikey.com/Photos/TE%20Connectivity/M39029%5E22-605.jpg,1506-1030-ND,M39029/22-605,TE Connectivity Deutsch Connectors,CONN CONTACT SZ12 0.455"" L,1136,0,"4.12000","0","1","Military, MIL-C-39029","Active","Contact","12","-","0.455"" L (11.56mm)"
http://www.amphenol-aerospace.com/pdf/LMS_Section_12-R3.pdf,//media.digikey.com/Photos/Amphenol%20Photos/LMD-4120-96LD.JPG,LMD-4120-96LD-ND,LMD-4120-96LD,Amphenol Aerospace Operations,CONN CONTACT SZ20 0.656"" L,196,0,"12.86000","0","1","LMD","Active","Contact","20","-","0.656"" L (16.56mm)"
http://www.amphenol-aerospace.com/pdf/LMS_Section_12-R3.pdf,//media.digikey.com/Photos/Amphenol%20Photos/LMD-3005-S.JPG,LMD-3005-S-ND,LMD-3005-S,Amphenol Aerospace Operations,CONN FEEDBACK MOD SZ16 0.500""L,162,0,"60.96000","0","1","LMD","Active","Feedback Module Block","16","4","0.500"" L x 0.449"" W (12.70mm x 11.40mm)"
http://www.amphenol-aerospace.com/pdf/LMS_Section_12-R3.pdf,//media.digikey.com/Photos/Amphenol%20Photos/LMD-06RK1.jpg,LMD-06RK1-ND,LMD-06RK1,Amphenol Aerospace Operations,CONN HSG MOD 5.045"" L X 1.1"" W,32,0,"132.82000","0","1","LMD","Active","Module Housing","-","6","5.045"" L x 1.100"" W x 0.740"" H (128.14mm x 27.94mm x 18.80mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=592404&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2-592404-1.jpg,A105506-ND,2-592404-1,"TE Connectivity Aerospace, Defense and Marine",CONN CONTACT SZ20 0.418"" L,877,0,"3.03000","0","1","TJS (Terminal Junction System)","Active","Contact","20","-","0.418"" L (10.62mm)"
