Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Terminal Type","Number of Positions","Pitch","Number of Rows","Row Spacing","Board Size","Material - Board","Features","Material Flammability Rating"
http://www.keyelco.com/product-pdf.cfm?p=3729,//media.digikey.com/photos/Keystone%20Elect%20Photos/810.JPG,36-810-ND,810,Keystone Electronics,TERM LUG STRIP 3POS 0.375"" SNGLE,7534,6300,"0.74000","0","1","-","Active","Terminal Lug Strip","Terminal Lug, Single End","3 (2 + 1 Ground)","0.375"" (9.53mm)","1","-","1.125"" L x 0.375"" W x 0.062"" H (28.58mm x 9.53mm x 1.57mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3732,//media.digikey.com/photos/Keystone%20Elect%20Photos/813.JPG,36-813-ND,813,Keystone Electronics,TERM LUG STRIP 4POS 0.375"" SNGLE,1313,2600,"0.77000","0","1","-","Active","Terminal Lug Strip","Terminal Lug, Single End","4 (3 + 1 Ground)","0.375"" (9.53mm)","1","-","1.500"" L x 0.375"" W x 0.062"" H (38.10mm x 9.53mm x 1.57mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3736,//media.digikey.com/Photos/Keystone%20Elect%20Photos/817.JPG,36-817-ND,817,Keystone Electronics,TERM LUG STRIP 5POS 0.375"" SNGLE,1236,2000,"0.89000","0","1","-","Active","Terminal Lug Strip","Terminal Lug, Single End","5 (4 + 1 Ground)","0.375"" (9.53mm)","1","-","1.875"" L x 0.375"" W x 0.062"" H (47.63mm x 9.53mm x 1.57mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3497,//media.digikey.com/Photos/Keystone%20Elect%20Photos/15222.JPG,36-15232-ND,15232,Keystone Electronics,TURRET BOARD 50POS 0.375"" SINGLE,121,0,"29.25000","0","1","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","50","0.375"" (9.53mm)","2","1.000"" (25.40mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3488,//media.digikey.com/Photos/Keystone%20Elect%20Photos/15222.JPG,36-15222-ND,15222,Keystone Electronics,TURRET BOARD 50POS 0.218"" SINGLE,107,161,"25.72000","0","1","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","50","0.218"" (5.54mm)","2","0.750"" (19.05mm)","7.812"" L x 1.000"" W x 0.062"" H (198.40mm x 25.40mm x 1.57mm)","Glass Epoxy","Miniature Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3501,//media.digikey.com/Photos/Keystone%20Elect%20Photos/15222.JPG,36-15236-ND,15236,Keystone Electronics,TURRET BOARD 50POS 0.375"" SINGLE,114,0,"32.39000","0","1","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","50","0.375"" (9.53mm)","2","1.187"" (30.10mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3728,-,36-809-ND,809,Keystone Electronics,TERM LUG STRIP 3POS 0.375"" SNGLE,768,0,"0.72000","0","1","-","Active","Terminal Lug Strip","Terminal Lug, Single End","3 (2 + 1 Ground)","0.375"" (9.53mm)","1","-","1.125"" L x 0.375"" W x 0.062"" H (28.58mm x 9.53mm x 1.57mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3751,//media.digikey.com/photos/Keystone%20Elect%20Photos/832.JPG,36-832-ND,832,Keystone Electronics,TERM LUG STRIP 2POS DUAL,266,500,"0.79000","0","1","-","Active","Terminal Lug Strip","Terminal Lug, Dual End","2 (1 + 1 Ground)","-","1","-","0.750"" L x 0.375"" W x 0.062"" H (19.05mm x 9.53mm x 1.57mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3744,-,36-825-ND,825,Keystone Electronics,TERM LUG STRIP 7POS 0.375"" SNGLE,473,1400,"0.99000","0","1","-","Active","Terminal Lug Strip","Terminal Lug, Single End","7 (6 + 1 Ground)","0.375"" (9.53mm)","1","-","2.625"" L x 0.375"" W x 0.062"" H (66.68mm x 9.53mm x 1.57mm)","XP Phenolic","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3740,//media.digikey.com/photos/Keystone%20Elect%20Photos/821.JPG,36-821-ND,821,Keystone Electronics,TERM LUG STRIP 6POS 0.375"" SNGLE,379,1200,"1.20000","0","1","-","Active","Terminal Lug Strip","Terminal Lug, Single End","6 (4 + 2 Ground)","0.375"" (9.53mm)","1","-","2.250"" L x 0.375"" W x 0.062"" H (57.15mm x 9.53mm x 1.57mm)","XP Phenolic","Standard Strip","-"
