Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Abrasive Material","Abrasive Grade","Abrasive Grit","Micron Size","Color","Width","Length","Diameter","Applications"
http://multimedia.3m.com/mws/media/314857O/3mtm-lapping-films-562x-and-566x-tds.pdf,//media.digikey.com/Photos/3M%20Photos/562X.jpg,3M156133-ND,562X,3M,LAPPING FILM CERIUM OXIDE 5""DIA,2162,0,"1.25000","0","1","-","Active","Lapping Film","Cerium Oxide","-","-","-","-","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/276103O/3mtm-polishing-film-291x-298x-491x-498x-591x-598x.pdf,//media.digikey.com/Photos/3M%20Photos/298X-1MIC.JPG,3M156284-ND,298X-1MIC,3M,POLISH FILM ALUM OXIDE 5"" DIA,221,0,"5.69000","0","1","298X","Active","Polishing Film","Aluminum Oxide","-","-","1µ","Green","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/245184O/3mtm-diamond-lapping-film-600x-series.pdf,//media.digikey.com/Photos/3M%20Photos/%5E5MIC%203M662XW%20DLF%203MIL%20TH%205%20IN.JPG,3M10774-ND,.5MIC 3M662XW DLF 3MIL TH 5 IN,3M,LAPPING FILM DIAMOND 5"",124,0,"10.83000","0","1","662XW","Active","Lapping Film","Diamond","-","-","0.5µ","White","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
https://multimedia.3m.com/mws/media/276102O/3mtm-lapping-film-461x-462x-463x-466x-468x-468xy-468xw.pdf,//media.digikey.com/Photos/3M%20Photos/5MIC%203M466X%20LF%20SC%203MIL%20TP%204%20IN.JPG,3M10806-ND,5MIC 3M466X LF SC 3MIL TP 4 IN,3M,LAPPING FILM ALUMINUM OXIDE 4"",1008,0,"0.99000","0","1","466X","Active","Lapping Film","Aluminum Oxide","-","-","5µ","Gray","-","-","4.00"" (101.60mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/248230O/3mtm-lapping-film-865x-for-final-polishing-of-fiber-optic-conn.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_3M863X-LAPPING-4.125-IN.jpg,3M10807-ND,3M863X LAPPING 4.125 IN,3M,LAPP FILM SILICON DIOXIDE 4.13"",2033,0,"3.17000","0","1","863X","Active","Lapping Film","Silicon Dioxide","-","-","-","-","-","-","4.13"" (105.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/248230O/3mtm-lapping-film-865x-for-final-polishing-of-fiber-optic-conn.pdf,//media.digikey.com/Photos/3M%20Photos/3M865X%20LAPPING%203MIL%204.125%20IN.JPG,3M10812-ND,3M865X LAPPING 3MIL 4.125 IN,3M,LAPP FILM SILICON DIOXIDE 4.13"",245,0,"4.68000","0","1","865X","Active","Lapping Film","Silicon Dioxide","-","-","-","-","-","-","4.13"" (105.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/248230O/3mtm-lapping-film-865x-for-final-polishing-of-fiber-optic-conn.pdf,//media.digikey.com/Photos/3M%20Photos/3M863X%20LF%205%20IN.JPG,3M10808-ND,3M863X LF 5 IN,3M,LAPPING FILM SILICON DIOXIDE 5"",570,0,"4.80000","0","1","863X","Active","Lapping Film","Silicon Dioxide","-","-","-","-","-","-","5.00"" (127.00mm)","Fiber Optic Connector Polishing"
http://multimedia.3m.com/mws/media/524507O/3mtm-power-tools-abrasives-and-accessories-catalog.pdf,-,3M160613-ND,80509,3M,ROLOC DISC,2400,0,"2.13000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_61500292xxx-red.jpg,3M160369-ND,61500292661,3M,LT GRIND&BLEND DISC TR 2"" A CRS,400,0,"2.20000","0","1","Scotch-Brite™","Active","Disc","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/686656O/3mtm-industrial-products-for-welding-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_61500292xxx-red.jpg,3M160370-ND,61500292679,3M,LT GRIND&BLEND DISC TR 2"" A CRS,200,0,"2.20000","0","1","Scotch-Brite™","Active","Disc","-","-","-","-","-","-","-","-","-"
