Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Usage","Contents"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_CTK148MPN.jpg,CTK148MPN-ND,CTK148MPN,Apex Tool Group,"MECHANICS TOOL SET,148PC",28,0,"223.57000","0","1","-","Active","General Purpose","Mechanics Tool Sets"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/136_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_136.jpg,1528-2451-ND,136,Adafruit Industries LLC,LADYADAS ELECTRONICS TOOLKIT,35,0,"100.00000","0","1","-","Active","Soldering","Breadboard, Cutter, Desoldering Tool, Holder, Multimeter, Plier, Power Pack, Soldering Iron, Solder, Vise, Wire Stripper"
https://greenlee-cdn.ebizcdn.com/media/2015%20Communications.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/MFG_4370.jpg,PA4370-ND,PA4370,Greenlee Communications,KIT COMPUTER SERVICE ECONOMY,26,0,"153.35000","0","1","-","Discontinued at Digi-Key","Computer Service","Bit, Cordless Screwdriver, ESD Wrist Strap, Extension, Plier, Sockets, Soldering Iron, Tweezers, Wire Cutter"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/IFIX%20EU145348-2_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_IFIX-EU145348-2.jpg,1778-1123-ND,IFIX EU145348-2,Pimoroni Ltd,ESSENTIAL ELECTRONICS TOOLKIT,33,0,"24.68000","0","1","iFixit","Active","Mobile, PC Repair","-"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_99MP.jpg,99MPN-ND,99MPN,Apex Tool Group,TOOL KIT 39PC 99 SER MULTI-PURP,9,0,"266.00000","0","1","Xcelite®, 99®","Active","General Purpose","39 Pieces - Blades, Extension, Handle, Pouch"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1208843.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1208843.jpg,277-2526-ND,1208843,Phoenix Contact,TOOL SET PLIER/CUTTER/STRIPPER,4,8,"419.27000","0","1","CRIMPFOX, CUTFOX, WIREFOX","Active","General Purpose","Case, Crimper, Wire Cutter, Wire Stripper"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV226-817.JPG,1742-1159-ND,VDV226-817,"Klein Tools, Inc.",MODULAR INSTALLATION KIT,12,0,"42.70000","0","1","-","Active","Datacom, Networking, Telecom","-"
https://assets.tripplite.com/product-pdfs/en/t016004k.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_T016-004-K.JPG,TL1377-ND,T016-004-K,Tripp Lite,4-PIECE NETWORK INSTALLER TOOL K,6,0,"66.26000","0","1","-","Active","Datacom, Networking, Telecom","-"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/0159-36.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_0159-36.jpg,0159-36-ND,0159-36,Greenlee Communications,APPRENTICE TOOL SET,3,0,"83.76000","0","1","-","Active","General Purpose","-"
-,//media.digikey.com/photos/Linx%20Tech%20Photos/CTK-58-01.jpg,CTK-58-01-ND,CTK-58-01,Linx Technologies Inc.,KIT CRIMPER RG58/59/62,2,0,"89.25000","0","1","-","Active","General Purpose","Case, Crimper, Wire Cutter, Wire Stripper"
-,//media.digikey.com/photos/Linx%20Tech%20Photos/CTK-174-02.JPG,CTK-174-02-ND,CTK-174-02,Linx Technologies Inc.,KIT CRIMPER WITH RG-174 DIE,3,0,"93.00000","0","1","-","Active","Crimping","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV026-812.JPG,1742-1184-ND,VDV026-812,"Klein Tools, Inc.",LAN INSTALLER STARTER KIT - MODU,8,0,"126.49000","0","1","-","Active","Datacom, Networking, Telecom","-"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/TK-110INS.JPG,K543-ND,TK-110INS,Jonard Tools,TOOL KIT INSULATED SCRWDRVR/PLR,9,0,"131.81000","0","1","TK","Active","Electrical, Industrial","-"
https://cdn.wihatoolsus.com/pdfs/WihaPliersCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32608.jpg,431-1312-ND,32608,Wiha,"PLIERS, CUTTERS SET 8PC",10,0,"165.96000","0","1","-","Active","General Purpose","-"
https://cdn.wihatoolsus.com/pdfs/WihaPliersCatalog.pdf,//media.digikey.com/Photos/Wiha/45890.jpg,431-1412-ND,45890,Wiha,ESD SAFE PROTURN PRECISION COMBO,15,0,"181.50000","0","1","Proturn®","Active","Electrical, Industrial","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ESD%20Safe%20Pliers%20and%20Cutters.pdf,//media.digikey.com/photos/Wiha/mfg32790.jpg,431-1576-ND,32790,Wiha,TOOL SET PLIERS/CUTTERS 4PCS,3,0,"238.38000","0","1","-","Active","General Purpose","Case, Cutter, Plier"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ESD%20Safe%20Pliers%20and%20Cutters.pdf,//media.digikey.com/Photos/Wiha/MFG_32793.jpg,431-1411-ND,32793,Wiha,TOOL SET ESD SAFE 11PC IN POUCH,9,0,"284.94000","0","1","-","Active","General Purpose","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_ToolSets.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_80118.JPG,1742-1215-ND,80118,"Klein Tools, Inc.",18-PIECE JOURNEYMAN TOOL SET,2,0,"380.30000","0","1","Journeyman™, Klein-Kurve®, Rapi-Driv®","Active","Electrical, Industrial","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_ToolSets.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_80141.JPG,1742-1221-ND,80141,"Klein Tools, Inc.",41-PIECE JOURNEYMAN TOOL SET,4,0,"855.89000","0","1","Journeyman™, Klein-Kurve®, Rapi-Driv®","Active","Electrical, Industrial","-"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Pliers,%20High%20Visibility%20Comfort%20Grip.pdf",//media.digikey.com/Photos/Wiha/32888.jpg,431-1092-ND,32888,Wiha,PLIER/CUTTER INSUL 11PC IN POUCH,4,0,"225.46000","0","1","-","Active","Electrical","-"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Pliers,%20High%20Visibility%20Comfort%20Grip.pdf",//media.digikey.com/photos/Wiha/mfg32891.jpg,431-1060-ND,32891,Wiha,PLIER/SCRWDRVR INSUL 10PC W/CASE,2,0,"256.20000","0","1","-","Active","General Purpose","Case, Cutter, Plier, Screwdriver"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/32874_48pc-Tool-Set.pdf,//media.digikey.com/photos/Wiha/MFG_32874.jpg,431-1098-ND,32874,Wiha,INSULATED 48 PIECE TOOL SET,2,0,"845.90000","0","1","-","Active","Industrial Applications","Cutter, Nut Drivers, Plier, Screwdriver, Case"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_TK-400.jpg,K690-ND,TK-400,Jonard Tools,TOOL KIT SPLICERS,8,0,"28.53000","0","1","TK","Active","Electrical, Industrial","-"
-,-,1742-1682-ND,VDV011852,"Klein Tools, Inc.",COAX INSTALLATION KIT WITH POUCH,10,0,"48.45000","0","1","-","Active","Coaxial Cable","Cable Stripper, Connectors, Crimper, Cutter, Pouch"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14681_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-14681.jpg,1568-1920-ND,TOL-14681,SparkFun Electronics,SPARKFUN BEGINNER TOOL KIT,31,0,"54.95000","0","1","-","Active","General Purpose","-"
