Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Chemical Component","Applications","Size","Shipping Info"
https://www.chemtronics.com/content/msds/TDS_ES1052.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES1052.jpg,ES1052-ND,ES1052,Chemtronics,FREEZE SPRAY ELECTRONICS 11 OZ,175,0,"18.68000","0","1","Aerosol Can","-","Active","Freeze Spray","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
http://www.mgchemicals.com/downloads/tds/tds-403a-a.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_403A-400G.jpg,473-1194-ND,403A-400G,MG Chemicals,FREEZE SPRAY ELECTRONICS 14 OZ,184,0,"19.87000","0","1","Aerosol Can","Super Cold™ 134","Active","Freeze Spray","-","Electronics","14 oz","Due to possible restrictions, a change in ship method may be required."
http://www.mgchemicals.com/downloads/tds/tds-824-l.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_824-500ML.jpg,473-1150-ND,824-500ML,MG Chemicals,CLEANER ELECTRONICS 500ML/17 OZ,173,0,"11.32000","0","1","Spray Bottle","-","Active","Cleaner","Isopropyl Alcohol","Electronics","500ml","Due to possible restrictions, a change in ship method may be required."
http://www.mgchemicals.com/downloads/pdf/dustercomparo.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_402A-285G.jpg,473-1191-ND,402A-285G,MG Chemicals,DUSTER ELECTRONICS 10 OZ,128,0,"13.60000","0","1","Aerosol Can","Super Duster™ 134","Active","Duster","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
https://www.mgchemicals.com/downloads/tds/tds-409b-a.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/409B-340G.JPG,473-1147-ND,409B-340G,MG Chemicals,CLEANER CONTACTS 12 OZ,154,0,"16.27000","0","1","Aerosol Can","Electrosolve™","Active","Cleaner","-","Contacts","12 oz","Due to possible restrictions, a change in ship method may be required."
https://www.chemtronics.com/content/msds/TDS_ES1217.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES1617.jpg,ES1617-ND,ES1617,Chemtronics,DUSTER ELECTRONICS 12 OZ,107,0,"21.20000","0","1","Aerosol Can","Ultrajet®","Active","Duster","-","Electronics","12 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/Content/msds/2851%20PWR-4%20Aviation%20Degreaser%20TDS_11-15-2016.pdf,//media.digikey.com/Photos/Techspray/MFG_2851-20S.jpg,1873-1110-ND,2851-20S,Techspray,PWR4 AVIATION DEGREASER,103,0,"31.04000","0","1","Aerosol Can","PWR4™","Active","Cleaner, Degreaser","-","Aviation","10 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1697_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1697-8S.jpg,1873-1004-ND,1697-8S,Techspray,VORTEX 360 DUSTER,114,0,"16.96000","0","1","Aerosol Can","Vortex™","Active","Duster","-","Electronics","8 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1671_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1671-10S.jpg,1873-1002-ND,1671-10S,Techspray,DUSTER,96,0,"13.97000","0","1","Aerosol Can","-","Active","Duster","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
https://www.techspray.com/content/msds/TS-1672_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1672-10S.jpg,1873-1003-ND,1672-10S,Techspray,FREEZER,79,0,"14.98000","0","1","Aerosol Can","-","Active","Freeze Spray","-","Electronics","10 oz","Due to possible restrictions, a change in ship method may be required."
