Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Primary","Voltage - Secondary","Power (Watts)","1st Connector","2nd Connector"
https://hubbellcdn.com/specsheet/480-277-250VA-L.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/MFG_480277-250VA-L.JPG,1121-1508-ND,480:277-250VA-L,Thomas Research Products,XFRMR 480/277V 250VA STEP-DOWN,116,0,"28.56000","0","1","-","Active","Autotransformer (Non-Isolated)","347V, 480V","200V, 277V","180VA, 250VA","Wire Leads","Wire Leads"
https://hubbellcdn.com/specsheet/480-277-375VA-L.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/MFG_480277-375VA-L.JPG,1121-1509-ND,480:277-375VA-L,Thomas Research Products,XFRMR 480/277V 375VA STEP-DOWN,431,0,"36.18000","0","1","-","Active","Autotransformer (Non-Isolated)","347V, 480V","200V, 277V","270VA, 375VA","Wire Leads","Wire Leads"
https://hubbellcdn.com/specsheet/Step-down%20Transformer.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/120%5E268-277-500VA-IC.jpg,1121-1003-ND,480:347:277-125VA-IC,Thomas Research Products,XFRMR 347/277V 125VA STEP-DOWN,2013,0,"37.20000","0","1","ATX","Active","Autotransformer (Non-Isolated)","347V, 480V","277V","125VA","Wire Leads","Wire Leads"
https://hubbellcdn.com/specsheet/Step-down%20Transformer.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/120%5E268-277-500VA-IC.jpg,1121-1004-ND,480:347:277-460VA-IC,Thomas Research Products,XFRMR 347/277V 460VA STEP-DOWN,448,0,"44.30000","0","1","ATX","Active","Autotransformer (Non-Isolated)","347V, 480V","277V","460VA","Wire Leads","Wire Leads"
https://www.hammfg.com/files/parts/pdf/171E.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/171-Series.jpg,HM1560-ND,171E,Hammond Manufacturing,TRANSFM ISOL 115 TO 115VAC 500VA,67,113,"145.92000","0","1","171","Active","Isolation","115V","115V","500VA","NEMA 5-15P","NEMA 5-15R"
https://system.netsuite.com/core/media/media.nl?id=343767&c=ACCT126831&h=bd883ff2c12e4f9d7bac&_xt=.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MFG_MD-1000-U.JPG,237-2073-ND,MD-1000-U,Triad Magnetics,MED GRADE ENC ISOLATION XFORMR,32,40,"205.16000","0","1","MD","Active","Isolation, Medical Grade","120V","120V","1000VA","NEMA 5-15P","NEMA 5-15R (2)"
https://www.hammfg.com/electronics/transformers/line/176.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_176G.jpg,HM1563-ND,176G,Hammond Manufacturing,TRANSFORMER AUTO STEP UP/PLG,145,68,"221.42000","0","1","176","Active","Autotransformer (Non-Isolated)","115V","230V","1500VA","NEMA 5-15P","NEMA 6-15R"
https://system.netsuite.com/core/media/media.nl?id=343768&c=ACCT126831&h=4495073ca21bff1796e1&_xt=.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MFG_MD-2000-U.JPG,237-2074-ND,MD-2000-U,Triad Magnetics,MED GRADE ENC ISOLATION XFORMR,39,118,"370.71000","0","1","MD","Active","Isolation, Medical Grade","120V","120V","2000VA","NEMA 5-15P","NEMA 5-15R (2)"
http://catalog.triadmagnetics.com/Asset/N-48X.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/N-48X.jpg,237-1856-ND,N-48X,Triad Magnetics,TRANSFORMER ISOL,248,357,"14.31000","0","1","N","Active","Isolation","115V","115V","15VA","Wire Leads","Wire Leads"
http://catalog.triadmagnetics.com/Asset/N-68X.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/N-68X.jpg,237-1624-ND,N-68X,Triad Magnetics,TRANSFORMER ISOL 50VA 115/230VAC,105,433,"15.84000","0","1","N","Active","Isolation","115V, 230V","115V","50VA","Wire Leads","Wire Leads"
