Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transformer Type","Inductance","ET (Volt-Time)","Turns Ratio - Primary:Secondary","Mounting Type","Size / Dimension","Height - Seated (Max)","Operating Temperature"
https://katalog.we-online.de/ctm/datasheet/750082154.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/750082154.JPG,732-2228-2-ND,750082154,Wurth Electronics Midcom,TRANS MODEM CONEXANT SMARTDAA,27000,0,"0.55300","0","3000","Tape & Reel (TR)","WE-AMT, MID-DAA","Active","-","30µH","-","1.67:1","Surface Mount","0.173"" L x 0.360"" W (4.39mm x 9.14mm)","0.078"" (1.98mm)","-"
https://katalog.we-online.de/ctm/datasheet/750082154.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/750082154.JPG,732-2228-1-ND,750082154,Wurth Electronics Midcom,TRANS MODEM CONEXANT SMARTDAA,27918,0,"0.75000","0","1","Cut Tape (CT)","WE-AMT, MID-DAA","Active","-","30µH","-","1.67:1","Surface Mount","0.173"" L x 0.360"" W (4.39mm x 9.14mm)","0.078"" (1.98mm)","-"
https://katalog.we-online.de/ctm/datasheet/750082154.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/750082154.JPG,732-2228-6-ND,750082154,Wurth Electronics Midcom,TRANS MODEM CONEXANT SMARTDAA,27918,0,"Digi-Reel","0","1","Digi-Reel®","WE-AMT, MID-DAA","Active","-","30µH","-","1.67:1","Surface Mount","0.173"" L x 0.360"" W (4.39mm x 9.14mm)","0.078"" (1.98mm)","-"
https://product.tdk.com/info/en/catalog/datasheets/090007/trans_alt_en.pdf,//media.digikey.com/Renders/TDK%20Renders/TDK-ALT3232M.jpg,445-174375-2-ND,ALT3232M-151-T001,TDK Corporation,PULSE XFMR 1CT:1CT 150UH,10000,0,"0.78400","0","2000","Tape & Reel (TR)","ALT","Active","LAN 10/100/1000 Base-T","150µH","-","1CT:1CT","Surface Mount","0.126"" L x 0.126"" W (3.20mm x 3.20mm)","0.114"" (2.90mm)","-40°C ~ 85°C"
https://product.tdk.com/info/en/catalog/datasheets/090007/trans_alt_en.pdf,//media.digikey.com/Renders/TDK%20Renders/TDK-ALT3232M.jpg,445-174375-1-ND,ALT3232M-151-T001,TDK Corporation,PULSE XFMR 1CT:1CT 150UH,10686,0,"1.83000","0","1","Cut Tape (CT)","ALT","Active","LAN 10/100/1000 Base-T","150µH","-","1CT:1CT","Surface Mount","0.126"" L x 0.126"" W (3.20mm x 3.20mm)","0.114"" (2.90mm)","-40°C ~ 85°C"
https://product.tdk.com/info/en/catalog/datasheets/090007/trans_alt_en.pdf,//media.digikey.com/Renders/TDK%20Renders/TDK-ALT3232M.jpg,445-174375-6-ND,ALT3232M-151-T001,TDK Corporation,PULSE XFMR 1CT:1CT 150UH,10686,0,"Digi-Reel","0","1","Digi-Reel®","ALT","Active","LAN 10/100/1000 Base-T","150µH","-","1CT:1CT","Surface Mount","0.126"" L x 0.126"" W (3.20mm x 3.20mm)","0.114"" (2.90mm)","-40°C ~ 85°C"
https://product.tdk.com/info/en/catalog/datasheets/090007/trans_alt_en.pdf,//media.digikey.com/photos/TDK%20Photos/ALT4532M-201-T001.JPG,445-15085-2-ND,ALT4532M-201-T001,TDK Corporation,XFRMR LAN 1CT:1CT 200UH,20000,0,"0.79000","0","2000","Tape & Reel (TR)","ALT","Active","LAN","200µH","-","1CT:1CT","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.114"" (2.90mm)","-40°C ~ 85°C"
https://product.tdk.com/info/en/catalog/datasheets/090007/trans_alt_en.pdf,//media.digikey.com/photos/TDK%20Photos/ALT4532M-201-T001.JPG,445-15085-1-ND,ALT4532M-201-T001,TDK Corporation,XFRMR LAN 1CT:1CT 200UH,20424,0,"1.65000","0","1","Cut Tape (CT)","ALT","Active","LAN","200µH","-","1CT:1CT","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.114"" (2.90mm)","-40°C ~ 85°C"
https://product.tdk.com/info/en/catalog/datasheets/090007/trans_alt_en.pdf,//media.digikey.com/photos/TDK%20Photos/ALT4532M-201-T001.JPG,445-15085-6-ND,ALT4532M-201-T001,TDK Corporation,XFRMR LAN 1CT:1CT 200UH,20424,0,"Digi-Reel","0","1","Digi-Reel®","ALT","Active","LAN","200µH","-","1CT:1CT","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.114"" (2.90mm)","-40°C ~ 85°C"
https://www.bourns.com/docs/Product-Datasheets/PT61017PEL.pdf,//media.digikey.com/Photos/Bourns%20Photos/PT61017PEL.jpg,PT61017PELTR-ND,PT61017PEL,Bourns Inc.,PULSE XFMR 1CT:1CT 350UH,14400,0,"0.89250","0","600","Tape & Reel (TR)","-","Active","LAN 10/100 Base-T","350µH","-","1CT:1CT","Surface Mount","0.504"" L x 0.272"" W (12.80mm x 6.90mm)","0.222"" (5.65mm)","0°C ~ 70°C"
https://www.bourns.com/docs/Product-Datasheets/PT61017PEL.pdf,//media.digikey.com/Photos/Bourns%20Photos/PT61017PEL.jpg,PT61017PELCT-ND,PT61017PEL,Bourns Inc.,PULSE XFMR 1CT:1CT 350UH,14411,0,"1.65000","0","1","Cut Tape (CT)","-","Active","LAN 10/100 Base-T","350µH","-","1CT:1CT","Surface Mount","0.504"" L x 0.272"" W (12.80mm x 6.90mm)","0.222"" (5.65mm)","0°C ~ 70°C"
https://www.bourns.com/docs/Product-Datasheets/PT61017PEL.pdf,//media.digikey.com/Photos/Bourns%20Photos/PT61017PEL.jpg,PT61017PELDKR-ND,PT61017PEL,Bourns Inc.,PULSE XFMR 1CT:1CT 350UH,14411,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","LAN 10/100 Base-T","350µH","-","1CT:1CT","Surface Mount","0.504"" L x 0.272"" W (12.80mm x 6.90mm)","0.222"" (5.65mm)","0°C ~ 70°C"
http://productfinder.pulseeng.com/products/datasheets/P663.pdf,//media.digikey.com/Photos/Pulse%20Photos/PE-68386NL.jpg,553-1993-2-ND,PA2001NLT,Pulse Electronics Power,PULSE XFMR 1:1 403UH,3000,0,"1.02700","0","1500","Tape & Reel (TR)","-","Active","-","403µH","12VµS","1:1","Surface Mount","0.340"" L x 0.265"" W (8.64mm x 6.73mm)","0.098"" (2.49mm)","-40°C ~ 130°C"
http://productfinder.pulseeng.com/products/datasheets/P663.pdf,//media.digikey.com/Photos/Pulse%20Photos/PE-68386NL.jpg,553-1993-1-ND,PA2001NLT,Pulse Electronics Power,PULSE XFMR 1:1 403UH,5932,0,"2.15000","0","1","Cut Tape (CT)","-","Active","-","403µH","12VµS","1:1","Surface Mount","0.340"" L x 0.265"" W (8.64mm x 6.73mm)","0.098"" (2.49mm)","-40°C ~ 130°C"
http://productfinder.pulseeng.com/products/datasheets/P663.pdf,//media.digikey.com/Photos/Pulse%20Photos/PE-68386NL.jpg,553-1993-6-ND,PA2001NLT,Pulse Electronics Power,PULSE XFMR 1:1 403UH,5932,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","403µH","12VµS","1:1","Surface Mount","0.340"" L x 0.265"" W (8.64mm x 6.73mm)","0.098"" (2.49mm)","-40°C ~ 130°C"
https://www.bourns.com/docs/Product-Datasheets/SM51108PEL.pdf,//media.digikey.com/Photos/Bourns%20Photos/SM51108PEL.JPG,SM51108PELTR-ND,SM51108PEL,Bourns Inc.,PULSE XFMR 1CT:1CT 350UH,6000,0,"1.07100","0","600","Tape & Reel (TR)","-","Active","LAN 10/100 Base-T","350µH","-","1CT:1CT","Surface Mount","0.504"" L x 0.272"" W (12.80mm x 6.90mm)","0.222"" (5.65mm)","-40°C ~ 85°C"
https://www.bourns.com/docs/Product-Datasheets/SM51108PEL.pdf,//media.digikey.com/Photos/Bourns%20Photos/SM51108PEL.JPG,SM51108PELCT-ND,SM51108PEL,Bourns Inc.,PULSE XFMR 1CT:1CT 350UH,6117,0,"1.98000","0","1","Cut Tape (CT)","-","Active","LAN 10/100 Base-T","350µH","-","1CT:1CT","Surface Mount","0.504"" L x 0.272"" W (12.80mm x 6.90mm)","0.222"" (5.65mm)","-40°C ~ 85°C"
https://www.bourns.com/docs/Product-Datasheets/SM51108PEL.pdf,//media.digikey.com/Photos/Bourns%20Photos/SM51108PEL.JPG,SM51108PELDKR-ND,SM51108PEL,Bourns Inc.,PULSE XFMR 1CT:1CT 350UH,6117,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","LAN 10/100 Base-T","350µH","-","1CT:1CT","Surface Mount","0.504"" L x 0.272"" W (12.80mm x 6.90mm)","0.222"" (5.65mm)","-40°C ~ 85°C"
