Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Applications","Intended Chipset","Chipset Manufacturer","Voltage - Primary","Voltage - Auxiliary","Voltage - Isolation","Inductance @ Frequency","Frequency","Operating Temperature","Mounting Type","Size / Dimension","Height - Seated (Max)","Footprint","Style"
https://katalog.we-online.de/ctm/datasheet/760390012.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4456-2-ND,760390012,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,46800,0,"1.19001","0","1200","Tape & Reel (TR)","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390012.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4456-1-ND,760390012,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,47599,0,"1.90000","0","1","Cut Tape (CT)","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390012.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4456-6-ND,760390012,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,47599,0,"Digi-Reel","0","1","Digi-Reel®","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390014.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4458-2-ND,760390014,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,40800,0,"1.19001","0","1200","Tape & Reel (TR)","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390014.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4458-1-ND,760390014,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,41408,0,"1.90000","0","1","Cut Tape (CT)","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390014.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4458-6-ND,760390014,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,41408,0,"Digi-Reel","0","1","Digi-Reel®","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390013.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4457-2-ND,760390013,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,32400,0,"1.19001","0","1200","Tape & Reel (TR)","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390013.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4457-1-ND,760390013,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,33006,0,"1.90000","0","1","Cut Tape (CT)","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390013.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390014.JPG,732-4457-6-ND,760390013,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,33006,0,"Digi-Reel","0","1","Digi-Reel®","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
https://katalog.we-online.de/ctm/datasheet/760390015.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760390015.JPG,732-4459-2-ND,760390015,Wurth Electronics Midcom,TRANSFORMER 475UH SMD,26400,0,"1.19001","0","1200","Tape & Reel (TR)","WE-PP, MID-PPTI","Active","For DC/DC Converters","Forward, Push-Pull Converters","SN6501","Texas Instruments","-","-","3125Vrms","475µH @ 10kHz","10kHz","-40°C ~ 125°C","Surface Mount","0.265"" L x 0.281"" W (6.73mm x 7.14mm)","0.170"" (4.32mm)","0.265"" L x 0.395"" W (6.73mm x 10.05mm)","-"
