Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status"
-,-,SL3ICS1002FUG/V7AF-ND,SL3ICS1002FUG/V7AF,NXP USA Inc.,IC UCODE G2XM FFC,0,0,"Active","0","0","*","Active"
https://www.nxp.com/docs/en/data-sheet/MC33912.pdf,-,KIT33912G5DGEVME-ND,KIT33912G5DGEVME,NXP USA Inc.,KIT EVAL 33912G5 LIN SBC KIT,0,0,"Active","0","0","*","Active"
https://www.nxp.com/docs/en/data-sheet/MC33937.pdf,-,KIT33937AEKEVBE-ND,KIT33937AEKEVBE,NXP USA Inc.,KIT EVAL 3PHASE FET PRE-DRIVER,0,0,"Active","0","0","*","Active"
-,-,NT2H1611F0DTLH-ND,NT2H1611F0DTLH,NXP USA Inc.,NFC TYPE2 TAG IC 144/888 BYTES,0,0,"Active","0","0","*","Active"
-,-,1927-5655-ND,5655,Kitronik Ltd.,CLIPPABLE MOTOR DIVER FOR MICRO:,0,0,"Active","0","0","*","Active"
-,-,480-MPRLS0015PG0000SACT-ND,MPRLS0015PG0000SA,Honeywell Sensing and Productivity Solutions,"MICRO PRESSURE, AMPLIFIED, COMPE",0,0,"Active","0","0","*","Active"
-,-,1927-5651-ND,5651,Kitronik Ltd.,TERMINAL BLOCK BREAKOUT FOR MICR,0,0,"Active","0","0","*","Active"
-,-,1927-5650-ND,5650,Kitronik Ltd.,:VIEW TEXT32 LCD SCREEN FOR MICR,0,0,"Active","0","0","*","Active"
-,-,480-MPRLS02.5BG0000SADKR-ND,MPRLS02.5BG0000SA,Honeywell Sensing and Productivity Solutions,"MICRO PRESSURE, AMPLIFIED, COMPE",0,0,"Active","0","0","*","Active"
-,-,1927-2593-D-ND,2593-D,Kitronik Ltd.,"PAIR OF 5 SPOKE WHEELS, D-SHAFT",0,0,"Active","0","0","*","Active"
-,-,WM26596-ND,2112973000,Molex,2IN1 (4G/GPS) FAKRA WITH CABLE 3,0,0,"Active","0","0","*","Active"
-,-,480-MPRLS0015PG0000SATR-ND,MPRLS0015PG0000SA,Honeywell Sensing and Productivity Solutions,"MICRO PRESSURE, AMPLIFIED, COMPE",0,0,"Active","0","0","*","Active"
-,-,480-MPRLS02.5BG0000SATR-ND,MPRLS02.5BG0000SA,Honeywell Sensing and Productivity Solutions,"MICRO PRESSURE, AMPLIFIED, COMPE",0,0,"Active","0","0","*","Active"
-,-,480-MPRLS0300YG00001BCT-ND,MPRLS0300YG00001B,Honeywell Sensing and Productivity Solutions,"MICRO PRESSURE, AMPLIFIED, COMPE",0,0,"Active","0","0","*","Active"
-,-,480-MPRLS02.5BG0000SACT-ND,MPRLS02.5BG0000SA,Honeywell Sensing and Productivity Solutions,"MICRO PRESSURE, AMPLIFIED, COMPE",0,0,"Active","0","0","*","Active"
-,-,480-MPRLS0015PG0000SADKR-ND,MPRLS0015PG0000SA,Honeywell Sensing and Productivity Solutions,"MICRO PRESSURE, AMPLIFIED, COMPE",0,0,"Active","0","0","*","Active"
-,-,480-MPRLS0300YG00001BDKR-ND,MPRLS0300YG00001B,Honeywell Sensing and Productivity Solutions,"MICRO PRESSURE, AMPLIFIED, COMPE",0,0,"Active","0","0","*","Active"
-,-,1927-2593-S-ND,2593-S,Kitronik Ltd.,"PAIR OF 5 SPOKE WHEELS, SERVO MO",0,0,"Active","0","0","*","Active"
-,-,1927-2589-ND,2589,Kitronik Ltd.,MINI 360 DEGREE CONTINUOUS ROTAT,0,0,"Active","0","0","*","Active"
-,-,1927-2591-ND,2591,Kitronik Ltd.,SOLDERLESS GEAR MOTOR,0,0,"Active","0","0","*","Active"
-,-,1927-2593-TT-ND,2593-TT,Kitronik Ltd.,"PAIR OF 5 SPOKE WHEELS, TT MOTOR",0,0,"Active","0","0","*","Active"
-,-,1927-2588-ND,2588,Kitronik Ltd.,KLAW,0,0,"Active","0","0","*","Active"
-,-,2014-IT01401/10-ND,IT01401/10,Ideal-tek S.A.,1MM � HEAD STICKY SWABS / 10 PCS,0,0,"Active","0","0","*","Active"
-,-,974-1191-2-ND,AK09940,AKM Semiconductor Inc.,IC 3AXIS ELECT MAGNETOMETER 11LG,0,0,"Active","0","0","*","Active"
-,-,2014-IT01401/25-ND,IT01401/25,Ideal-tek S.A.,1MM � HEAD STICKY SWABS / 25 PCS,0,0,"Active","0","0","*","Active"
-,-,2014-IT01403/10-ND,IT01403/10,Ideal-tek S.A.,3MM � HEAD STICKY SWABS / 10 PCS,0,0,"Active","0","0","*","Active"
-,-,974-1191-1-ND,AK09940,AKM Semiconductor Inc.,IC 3AXIS ELECT MAGNETOMETER 11LG,0,0,"Active","0","0","*","Active"
-,-,255-6557-ND,AQY222R2V,Panasonic Electric Works,SSR RELAY SPST-NO 400MA 0-60V,0,0,"Active","0","0","*","Active"
-,-,2014-IT0140123/75-ND,IT0140123/75,Ideal-tek S.A.,STICKY SWABS KIT - BOX OF 75 SWA,0,0,"Active","0","0","*","Active"
-,-,2014-IT01402/10-ND,IT01402/10,Ideal-tek S.A.,2MM � HEAD STICKY SWABS / 10 PCS,0,0,"Active","0","0","*","Active"
-,-,2014-IT01403/25-ND,IT01403/25,Ideal-tek S.A.,3MM � HEAD STICKY SWABS / 25 PCS,0,0,"Active","0","0","*","Active"
-,-,2014-IT01402/25-ND,IT01402/25,Ideal-tek S.A.,2MM � HEAD STICKY SWABS / 25 PCS,0,0,"Active","0","0","*","Active"
-,-,974-1191-6-ND,AK09940,AKM Semiconductor Inc.,IC 3AXIS ELECT MAGNETOMETER 11LG,0,0,"Digi-Reel","0","0","*","Active"
